,# contigs,# contigs,# contigs,Largest contig,Largest contig,Largest contig,Total length,Total length,Total length,N50,N50,N50,N75,N75,N75,L50,L50,L50,L75,L75,L75
17AC0003893,178,80,0.449438202247191,62544,131945,2.1096348170887693,1873326,1907368,1.0181719572567722,19141,48808,2.549919021994671,10824,33082,3.0563562453806354,31,13,0.41935483870967744,63,25,0.3968253968253968
17AC0003894N,122,104,0.8524590163934426,87399,87516,1.001338688085676,1767519,1775079,1.004277181744581,21726,25172,1.158611801528123,14289,16942,1.1856672965218,28,25,0.8928571428571429,53,46,0.8679245283018868
17AC0006310,1473,836,0.5675492192803802,109275,103357,0.9458430565088081,4964034,5146470,1.036751561330966,6518,14488,2.222767720159558,2936,6076,2.069482288828338,195,96,0.49230769230769234,481,232,0.48232848232848236
17AC0006311,98,34,0.3469387755102041,131198,329629,2.5124544581472277,1801953,1814555,1.0069935231385059,42681,168446,3.9466273048897635,21200,76967,3.630518867924528,12,4,0.3333333333333333,27,9,0.3333333333333333
17AC0006312_1,415,212,0.5108433734939759,61348,172542,2.8125122253374193,2276098,2356794,1.0354536579707903,15093,35124,2.327171536473862,6768,15425,2.27910756501182,44,21,0.4772727272727273,98,48,0.4897959183673469
17AC0006312,219,100,0.45662100456621,102301,193367,1.8901770266175306,2444575,2508873,1.0263023224895944,24539,62138,2.532214026651453,13562,32360,2.3860787494469844,30,13,0.43333333333333335,62,27,0.43548387096774194
17AC0006313_1,228,76,0.3333333333333333,89563,204539,2.2837444033808603,2055141,2092663,1.0182576280654223,22373,78890,3.526125240244938,12583,46995,3.7348009218787253,28,10,0.35714285714285715,60,18,0.3
17AC0006313A,226,125,0.5530973451327433,85299,187743,2.2009988393767803,2257240,2293778,1.0161870248622211,22875,44919,1.963672131147541,10508,19020,1.810049486105824,29,15,0.5172413793103449,68,34,0.5
17AC0006314,1911,1498,0.7838827838827839,59057,58971,0.9985437797382191,5903673,5967793,1.0108610351555718,5104,6614,1.295846394984326,2524,3302,1.30824088748019,324,248,0.7654320987654321,742,568,0.7654986522911051
17AC0012453,198,106,0.5353535353535354,82969,167963,2.024406706119153,2795383,2828499,1.0118466771816241,41016,64669,1.5766773941876342,22177,41074,1.8520990215087703,26,14,0.5384615384615384,50,28,0.56
17AC0012454,261,196,0.7509578544061303,50800,83583,1.6453346456692914,1927417,1970202,1.0221981024345017,15195,24661,1.6229680816057914,7815,12265,1.5694177863083814,38,23,0.6052631578947368,81,51,0.6296296296296297
17AC0012455_1A,219,112,0.5114155251141552,82725,138206,1.6706678754910849,1946295,1941928,0.9977562496949332,35349,59094,1.6717304591360433,12820,31063,2.4230109204368175,18,10,0.5555555555555556,42,22,0.5238095238095238
17AC0012455_1AN,255,128,0.5019607843137255,77545,100222,1.2924366496872783,1750141,1751449,1.0007473683548926,15791,26852,1.700462288645431,7723,15564,2.015279036643791,29,17,0.5862068965517241,68,38,0.5588235294117647
17AC0012456_2,468,188,0.4017094017094017,53427,128494,2.4050386508694106,3779444,3839135,1.0157935929200168,16633,46312,2.7843443756387902,8360,22662,2.7107655502392345,76,27,0.35526315789473684,155,57,0.36774193548387096
17AC0012457_1,349,157,0.4498567335243553,54857,149514,2.7255227227154237,2685648,2748642,1.0234557916748583,16082,45698,2.841561994776769,9509,25404,2.671574298033442,52,16,0.3076923076923077,105,36,0.34285714285714286
17AC0012457_2,276,142,0.5144927536231884,82468,227224,2.7552990250763933,2419853,2469815,1.0206467087050328,20159,64667,3.207847611488665,9602,26649,2.775359300145803,40,12,0.3,83,26,0.3132530120481928
18AC0002824,430,134,0.3116279069767442,32413,103400,3.190078055101348,2177137,2193188,1.0073725263959044,8557,30172,3.5260021035409608,4452,20922,4.699460916442049,79,23,0.2911392405063291,168,45,0.26785714285714285
18AC0002825_1,620,459,0.7403225806451613,89525,126052,1.4080089360513823,4637926,4669978,1.006910847650437,13651,19568,1.4334480990403633,7516,10479,1.3942256519425227,104,72,0.6923076923076923,219,153,0.6986301369863014
18AC0002825_2,687,544,0.7918486171761281,38829,40617,1.0460480568647146,2047423,2029968,0.9914746488634737,5571,7218,1.295638126009693,2333,2979,1.276896699528504,91,73,0.8021978021978022,232,181,0.7801724137931034
18AC0002826,153,96,0.6274509803921569,97950,152638,1.5583256763654927,2000268,2005357,1.002544159082683,34655,62744,1.8105323907084114,13779,29267,2.1240293199796794,20,13,0.65,43,25,0.5813953488372093
18AC0002827,1105,1063,0.9619909502262444,31236,41736,1.3361505954667692,4881352,4966461,1.0174355383508504,7410,7692,1.0380566801619433,4079,4139,1.0147094876195146,202,188,0.9306930693069307,424,409,0.964622641509434
18AC0002828,148,98,0.6621621621621622,140234,282579,2.0150534107277838,2853927,2873922,1.0070061357561002,40333,90551,2.2450846701212406,23164,33156,1.4313590053531342,21,11,0.5238095238095238,45,24,0.5333333333333333
18AC0007008CHO,517,186,0.3597678916827853,57470,202896,3.5304680702975464,4786730,4842945,1.0117439253937448,16338,65020,3.9796792753090955,9223,36948,4.0060717770790415,89,25,0.2808988764044944,188,50,0.26595744680851063
18AC0007009CHO,722,438,0.6066481994459834,56903,101603,1.785547334938404,4341173,4428263,1.0200613981520663,10338,18022,1.743277229638228,5866,9960,1.6979202182066144,130,77,0.5923076923076923,267,160,0.599250936329588
18AC0007010CHO,707,248,0.3507779349363508,131713,179664,1.3640566990350231,5288503,5349539,1.0115412622437767,15260,63107,4.1354521625163825,7238,25464,3.5180989223542416,97,28,0.28865979381443296,221,61,0.27601809954751133
18AC0012150R,252,97,0.38492063492063494,100141,464933,4.642783675018224,4014058,4031944,1.004455839950494,28192,88051,3.1232619182746877,18007,47180,2.6200921863719664,42,13,0.30952380952380953,86,28,0.32558139534883723
18AC0012151B1,390,301,0.7717948717948718,55459,138500,2.4973403775762275,3225356,3316055,1.0281206167629249,15380,23160,1.505851755526658,8985,12551,1.3968836950473011,65,38,0.5846153846153846,131,88,0.6717557251908397
18AC0012151C2,162,78,0.48148148148148145,183540,229814,1.2521194290073008,2451193,2511880,1.024758148379177,38786,95635,2.4657092765430826,17702,50320,2.8426166534854818,20,9,0.45,42,18,0.42857142857142855
18AC0012152,166,78,0.46987951807228917,67919,139799,2.0583194687789867,1868856,1909382,1.0216849238250567,22159,67139,3.029874994358951,11521,27839,2.416370106761566,28,11,0.39285714285714285,57,24,0.42105263157894735
18AC0012153B1,1612,154,0.09553349875930521,19135,37520,1.960804807943559,1575778,210318,0.133469308493963,1009,1690,1.6749256689791874,708,804,1.1355932203389831,475,20,0.042105263157894736,947,69,0.07286166842661035
18AC0012153M,720,390,0.5416666666666666,44427,99358,2.2364327998739504,4701751,4772944,1.0151418056804795,11744,29843,2.5411273841961854,6743,15120,2.2423253744624057,124,47,0.3790322580645161,255,103,0.403921568627451
18AC0012154M,337,164,0.486646884272997,111581,176559,1.5823392871546231,4792042,4822156,1.0062841686279043,26149,73647,2.8164365750124287,14213,33752,2.3747273622739744,57,23,0.40350877192982454,117,48,0.41025641025641024
18AC0017656,135,164,1.2148148148148148,61519,56243,0.9142378777288317,1765245,1767884,1.0014949766179766,20532,19215,0.9358562244301578,13333,9332,0.6999174979374484,30,32,1.0666666666666667,57,62,1.087719298245614
18AC0017657,186,116,0.6236559139784946,62444,97321,1.5585324450707834,1869001,1895098,1.0139630743910784,19275,31193,1.618313878080415,10994,16047,1.4596143350918682,31,18,0.5806451612903226,62,39,0.6290322580645161
18AC0017658,761,272,0.35742444152431013,32428,115696,3.5677809300604415,4307536,4385950,1.0182039105418967,8775,32488,3.7023361823361824,5104,17092,3.3487460815047023,147,41,0.2789115646258503,308,86,0.2792207792207792
18AC0018934,632,300,0.47468354430379744,62428,123468,1.9777663868776831,4832828,4898120,1.0135101021596464,15076,34603,2.2952374635181747,8347,18865,2.2600934467473346,99,46,0.46464646464646464,203,93,0.458128078817734
18AC0018935,822,423,0.5145985401459854,64155,176814,2.756043956043956,5797468,5869673,1.012454574997223,12933,29266,2.262893373540555,7095,14983,2.111768851303735,131,59,0.45038167938931295,284,131,0.4612676056338028
18AC0018936_2,931,273,0.2932330827067669,25932,65013,2.5070569180934754,2265530,2457238,1.0846194930104656,3831,21463,5.602453667449752,1958,10713,5.471399387129725,177,38,0.21468926553672316,381,78,0.2047244094488189
18AC0018936_ANO2,850,423,0.4976470588235294,52158,115365,2.211837110318647,5192998,5299898,1.0205854113558295,13374,27431,2.051069238821594,6534,15306,2.3425160697887972,115,58,0.5043478260869565,255,122,0.47843137254901963
18AC0018937_BA,137,107,0.781021897810219,96688,107992,1.1169121297368856,2091357,2132306,1.0195801099477517,39279,42918,1.0926449247689605,19088,28718,1.5045054484492875,16,16,1.0,37,30,0.8108108108108109
18AC0018937_BAP,733,554,0.7557980900409277,54029,65230,1.20731459031261,3671964,3744705,1.0198098347369418,10125,14464,1.4285432098765432,5348,7660,1.4323111443530292,111,77,0.6936936936936937,234,163,0.6965811965811965
18AC0018937,137,85,0.6204379562043796,161578,137548,0.8512792583148696,2090266,2133667,1.0207633860953582,34842,44920,1.2892486080018368,19532,30096,1.5408560311284047,16,14,0.875,37,29,0.7837837837837838
18AC0018938_1,622,359,0.5771704180064309,65145,151147,2.320162713945813,4785645,4894326,1.0227097914701153,16328,35639,2.1826923076923075,8664,17282,1.994690674053555,91,41,0.45054945054945056,191,90,0.4712041884816754
19AC0002347,1623,960,0.5914972273567468,41217,47928,1.162821166023728,4543764,4670050,1.0277932568680943,4057,7983,1.9677101306384028,2201,4283,1.9459336665152203,303,163,0.5379537953795379,685,361,0.527007299270073
19AC0002348,424,200,0.4716981132075472,36350,77189,2.123493810178817,2075320,2150750,1.036346202031494,7407,21257,2.869852841906305,4281,13281,3.102312543798178,86,31,0.36046511627906974,177,63,0.3559322033898305
19AC0002349B2,516,241,0.46705426356589147,77777,130087,1.6725638684958277,5162812,5219015,1.0108861217491554,17736,43051,2.4273229589535408,10183,22512,2.2107433958558382,90,37,0.4111111111111111,185,79,0.42702702702702705
19AC0002349,717,400,0.5578800557880056,49120,104723,2.1319828990228014,5151144,5210803,1.0115816991332411,12131,25573,2.1080702332866212,7077,14113,1.9942065847110357,125,65,0.52,260,134,0.5153846153846153
19AC0002350,816,532,0.6519607843137255,43799,101549,2.31852325395557,4495871,4620578,1.0277381179308749,10186,17571,1.7250147260946398,5552,9713,1.7494596541786744,134,76,0.5671641791044776,280,162,0.5785714285714286
19AC0002351,550,325,0.5909090909090909,36515,70992,1.9441873202793372,2278749,2340812,1.0272355577555932,8364,18729,2.2392395982783357,3877,8007,2.065256641733299,75,37,0.49333333333333335,172,86,0.5
19AC0006459,1464,808,0.5519125683060109,40105,101545,2.5319785562897392,6414638,6501847,1.0135953112241096,7627,17416,2.2834666317031598,3958,7935,2.004800404244568,239,105,0.4393305439330544,529,240,0.45368620037807184
19AC0006460,541,166,0.3068391866913124,131768,419491,3.183557464634813,5289583,5346195,1.0107025449832245,19493,66271,3.399733237572462,10454,40697,3.8929596326764875,78,20,0.2564102564102564,171,44,0.2573099415204678
19AC0006461,159,80,0.5031446540880503,67919,131948,1.9427258940797125,1870169,1907092,1.0197431355134214,23069,49180,2.1318652737439856,12205,27836,2.280704629250307,26,12,0.46153846153846156,54,25,0.46296296296296297
19AC0011209_1,3663,2674,0.73000273000273,26766,46697,1.74463872076515,7799920,7966678,1.0213794500456415,3124,4643,1.486235595390525,1563,2226,1.4241842610364683,612,407,0.6650326797385621,1519,1038,0.6833443054641212
19AC0011209PEA,497,95,0.19114688128772636,96624,161876,1.6753187613843352,2304397,2170421,0.9418607123685719,23268,84430,3.6285886195633488,12200,43153,3.5371311475409835,26,11,0.4230769230769231,58,20,0.3448275862068966
19AC0011210,220,108,0.4909090909090909,57790,96944,1.6775220626405953,1845090,1863163,1.0097951861426815,14618,42185,2.8858256943494323,7576,24319,3.210005279831045,36,14,0.3888888888888889,78,28,0.358974358974359
19AC0011211_1,497,314,0.6317907444668008,52226,96989,1.8571018266763681,3679615,3740442,1.016530805532644,14569,26860,1.8436406067677946,7584,12766,1.6832805907172996,80,45,0.5625,166,93,0.5602409638554217
19AC0011211_2,336,150,0.44642857142857145,72860,147006,2.017650288223991,2939197,2973658,1.0117246309110959,17068,62767,3.677466604171549,10209,24702,2.4196297384660594,49,16,0.32653061224489793,104,34,0.3269230769230769
19AC0011212ANO,368,219,0.595108695652174,70262,72839,1.03667700890951,2383556,2482001,1.0413017357259489,20683,34888,1.686795919354059,7072,14535,2.0552884615384617,36,24,0.6666666666666666,83,51,0.6144578313253012
19AC0011212,235,138,0.5872340425531914,58969,132493,2.246824602757381,1877525,1907194,1.015802186388996,14099,27422,1.9449606355060642,8426,14320,1.6995015428435793,43,21,0.4883720930232558,86,44,0.5116279069767442
19AC0011213,820,503,0.6134146341463415,43265,66289,1.5321622558650179,4673641,4740759,1.0143609661075808,9936,18464,1.85829307568438,5692,10335,1.8157062543921294,140,75,0.5357142857142857,293,161,0.5494880546075085
19AC0015929,824,325,0.39441747572815533,40055,169025,4.2198227437273745,4301226,4374993,1.0171502264703134,8290,27138,3.2735826296743062,4766,14924,3.131347041544272,151,47,0.31125827814569534,322,100,0.3105590062111801
19AC0015930,864,581,0.6724537037037037,31717,44958,1.4174732793139326,4243793,4352224,1.0255504922129803,8644,13659,1.580171217029153,4743,7624,1.6074214632089394,159,102,0.6415094339622641,323,207,0.6408668730650154
19AC0015931,560,332,0.5928571428571429,65313,99516,1.5236782876303339,4938658,5029033,1.01829950565518,19964,29079,1.456571829292727,9212,16871,1.8314155449413807,84,55,0.6547619047619048,177,111,0.6271186440677966
19AC0016708,851,386,0.4535840188014101,56964,185132,3.249982445053016,5747813,5810496,1.0109055392024757,12208,29708,2.43348623853211,6553,16191,2.4707767434762706,144,61,0.4236111111111111,304,128,0.42105263157894735
19AC0016709,699,476,0.6809728183118741,44435,62218,1.4002025430403962,3725547,3816000,1.0242791192810077,10214,15654,1.5326023105541413,5569,8853,1.5896929430777518,113,76,0.672566371681416,232,157,0.6767241379310345
19AC0016710,179,113,0.6312849162011173,122248,173598,1.420047771742687,1766676,1762679,0.9977375591223292,29441,37520,1.2744132332461533,12945,21459,1.6577056778679027,20,15,0.75,42,30,0.7142857142857143
19AC0016711,171,50,0.29239766081871343,129450,405341,3.1312553109308614,2540968,2573833,1.0129340471820187,33958,230002,6.773131515401378,17869,106856,5.9799653030387825,22,5,0.22727272727272727,47,9,0.19148936170212766
19AC0016712,399,284,0.7117794486215538,54857,100609,1.834023005268243,2632972,2641668,1.0033027316659653,18217,28342,1.5557995279134873,8310,11982,1.4418772563176896,46,29,0.6304347826086957,99,66,0.6666666666666666
20AC0000919_C1,571,270,0.47285464098073554,111051,236523,2.129859253856336,5525946,5621129,1.0172247430575687,20976,69751,3.3252765064836005,10642,31402,2.9507611351249765,69,23,0.3333333333333333,159,53,0.3333333333333333
20AC0000920_B1,779,303,0.3889602053915276,66174,174999,2.6445280623809957,6589135,6652942,1.0096836686454291,17465,46019,2.6349269968508446,8302,27191,3.2752348831606843,113,44,0.3893805309734513,249,91,0.3654618473895582
20AC0000920_B2,622,644,1.0353697749196142,55186,52345,0.9485195520603051,2229700,2147099,0.9629542090864242,10538,8283,0.7860125260960334,2977,2537,0.8522002015451797,54,59,1.0925925925925926,157,182,1.1592356687898089
20AC0000921_B,527,524,0.9943074003795066,72480,50641,0.698689293598234,2650076,2605040,0.983005770400547,14745,12572,0.8526280094947439,5322,4909,0.9223975948891394,48,53,1.1041666666666667,124,136,1.096774193548387
20AC0000922_BO2,243,157,0.6460905349794238,76584,121474,1.5861537657996447,2020662,2034998,1.007094704606708,22589,36567,1.618796759484705,10376,18619,1.7944294525828837,30,16,0.5333333333333333,63,34,0.5396825396825397
20AC0000922_C2ANO2,1736,1126,0.6486175115207373,29874,76042,2.545424114614715,5972165,6184940,1.0356277832243417,6081,10252,1.6859069232034205,2926,5175,1.7686261107313739,295,169,0.5728813559322034,638,376,0.5893416927899686
20AC0000923_C,320,235,0.734375,85999,87600,1.0186164955406458,2500828,2520581,1.007898583988983,16625,24417,1.4686917293233084,8372,11174,1.3346870520783565,42,31,0.7380952380952381,95,70,0.7368421052631579
