species_index,genus,species,diameter,index1,acc1,index2,acc2
28,Acinetobacter,haemolyticus,0.4921558441558442,1103,GCF_000164055.1,4996,GCF_000309035.1
29,Acinetobacter,indicus,0.5787338528877976,10016,GCF_000488255.1,23527,GCF_000964095.1
30,Acinetobacter,johnsonii,0.6525238318487263,4757,GCF_000301735.1,42396,GCF_001484935.1
31,Acinetobacter,junii,0.5375369042598059,6998,GCF_000368745.1,20475,GCF_000775815.1
32,Acinetobacter,lwoffii,0.6188177429638401,4758,GCF_000301755.1,7014,GCF_000369145.1
33,Acinetobacter,nosocomialis,0.48005192557334486,20479,GCF_000775895.1,23194,GCF_000949695.1
34,Acinetobacter,oleivorans,0.0005698655117392296,1950,GCF_000196795.1,10015,GCF_000488235.1
35,Acinetobacter,parvus,0.5505266813288575,6973,GCF_000368005.1,6974,GCF_000368025.1
36,Acinetobacter,pittii,0.6388057467824004,40676,GCF_001415685.1,45735,GCF_001617545.1
37,Acinetobacter,radioresistens,0.4360376120708506,4276,GCF_000286595.1,4985,GCF_000308075.1
38,Acinetobacter,rudis,0.00418458677205626,8151,GCF_000413895.1,22300,GCF_000829675.1
39,Acinetobacter,schindleri,0.537601818526236,6985,GCF_000368465.1,6992,GCF_000368625.1
40,Acinetobacter,soli,0.39519460752337465,6997,GCF_000368725.1,40625,GCF_001414585.1
41,Acinetobacter,tandoii,0.014027149321266969,7826,GCF_000400735.1,15086,GCF_000621065.1
42,Acinetobacter,tjernbergiae,0.005298715061597563,10013,GCF_000488175.1,20004,GCF_000759995.1
43,Acinetobacter,towneri,0.008017015706806283,7000,GCF_000368785.1,18067,GCF_000688495.1
44,Acinetobacter,ursingii,0.5560370980324174,7002,GCF_000368845.1,7027,GCF_000369885.1
45,Acinetobacter,venetianus,0.6179444750873322,44775,GCF_001584645.1,44776,GCF_001584655.1
46,Actinoalloteichus,cyanogriseus,0.14658803706823925,8463,GCF_000429185.1,18925,GCF_000716095.1
47,Actinobacillus,pleuropneumoniae,0.36776363199615664,1164,GCF_000167095.1,41706,GCF_001460855.1
48,Actinobacillus,suis,0.07881644409531291,4963,GCF_000307145.1,19457,GCF_000739435.1
49,Actinobaculum,massiliense,0.021134593993325918,5179,GCF_000315465.1,41677,GCF_001457435.1
50,Actinomyces,georgiae,0.2500975419430355,4022,GCF_000277685.1,8465,GCF_000429245.1
51,Actinomyces,graevenitzii,0.6018035121025154,2720,GCF_000239695.1,9359,GCF_000466185.1
52,Actinomyces,johnsonii,0.4736890951276102,9360,GCF_000466205.2,9361,GCF_000466245.1
53,Actinomyces,massiliensis,0.30298369732390035,3717,GCF_000269805.1,4618,GCF_000296275.1
54,Actinomyces,neuii,0.09480997139354311,8357,GCF_000420405.1,43730,GCF_001546135.1
55,Actinomyces,odontolyticus,0.46645188401736937,831,GCF_000154225.1,1087,GCF_000163415.1
56,Actinomyces,oris,0.44045328201838785,1572,GCF_000180155.1,43872,GCF_001553935.1
57,Actinomyces,urogenitalis,0.21031188536105647,954,GCF_000159035.1,19973,GCF_000758745.1
58,Actinotignum,schaalii,0.003991403131716303,8464,GCF_000429205.1,19035,GCF_000724605.1
59,Aerococcus,christensenii,0.3018709857581681,43642,GCF_001543105.1,43857,GCF_001552755.1
60,Aerococcus,urinae,0.00040160642570281126,43645,GCF_001543175.1,43679,GCF_001544335.1
61,Aerococcus,urinaeequi,0.2987598647125141,42649,GCF_001518795.1,43646,GCF_001543205.1
62,Aerococcus,viridans,0.009302325581395349,1522,GCF_000178435.1,43649,GCF_001543285.1
63,Aeromonas,allosaccharophila,0.6270957070896925,22002,GCF_000819685.1,22014,GCF_000820245.1
64,Aeromonas,caviae,0.48254860623096746,22003,GCF_000819785.1,22015,GCF_000820265.1
65,Aeromonas,dhakensis,0.0041841004184100415,4658,GCF_000298055.1,18704,GCF_000708085.1
66,Aeromonas,diversa,0.012344107915500127,6970,GCF_000367845.1,22004,GCF_000819805.1
67,Aeromonas,enteropelogenes,0.4743686550885141,22005,GCF_000819845.1,22012,GCF_000820205.1
68,Aeromonas,hydrophila,0.5894194095211188,19044,GCF_000724965.1,42648,GCF_001518775.1
69,Aeromonas,jandaei,0.541121889498102,18706,GCF_000708125.1,22007,GCF_000819955.1
70,Aeromonas,media,0.4891287345534178,4295,GCF_000287215.2,19867,GCF_000754925.1
71,Aeromonas,salmonicida,0.5649290356811248,8802,GCF_000447435.2,20881,GCF_000786805.1
72,Aeromonas,schubertii,0.33246861056345334,22010,GCF_000820105.1,41280,GCF_001447335.1
73,Aeromonas,taiwanensis,0.01407172038129823,18403,GCF_000699185.1,22011,GCF_000820165.1
74,Aeromonas,veronii,0.6030516791903082,22019,GCF_000820385.1,41270,GCF_001446835.1
75,Aggregatibacter,actinomycetemcomitans,0.7781314360606628,45090,GCF_001596315.1,45091,GCF_001596325.1
76,Aggregatibacter,aphrophilus,0.5821675375021068,463,GCF_000022985.1,34920,GCF_001262035.1
77,Agrobacterium,tumefaciens,0.9270978166923453,8508,GCF_000439225.1,16222,GCF_000648215.1
78,Akkermansia,muciniphila,0.25242139770526,390,GCF_000020225.1,19016,GCF_000723745.1
79,Alcaligenes,faecalis,0.9090211400265122,8467,GCF_000429385.1,42612,GCF_001516865.1
80,Algibacter,lectus,0.36437718277066355,20164,GCF_000764755.1,20168,GCF_000764835.1
81,Alicycliphilus,denitrificans,0.4314164506245581,1540,GCF_000179015.2,1981,GCF_000204645.1
82,Aliivibrio,fischeri,0.6471526961196036,191,GCF_000011805.1,4294,GCF_000287175.1
83,Aliivibrio,wodanis,0.31828381653352483,43957,GCF_001557785.1,43962,GCF_001557915.1
84,Altererythrobacter,marensis,0.0004829751267809708,24807,GCF_001028625.1,41713,GCF_001461885.1
85,Alteromonas,australica,0.33131274862663385,19266,GCF_000730385.1,22660,GCF_000934525.1
86,Alteromonas,macleodii,0.6454581515271718,4708,GCF_000300175.1,44051,GCF_001562235.1
87,Alteromonas,mediterranea,0.4511653214836311,398,GCF_000020585.3,44052,GCF_001562315.1
88,Alteromonas,stellipolaris,0.2855317475919009,44050,GCF_001562115.1,45983,GCF_001632825.1
89,Amycolatopsis,mediterranei,0.032749498266739646,1951,GCF_000196835.1,18346,GCF_000696405.1
90,Amycolatopsis,methanolica,0.00012961762799740766,7107,GCF_000371885.1,19449,GCF_000739085.1
91,Amycolatopsis,regifaucium,0.001457858769931663,43969,GCF_001558125.1,45568,GCF_001613935.1
92,Amycolatopsis,vancoresmycina,0.06956072351421189,7371,GCF_000388135.1,18931,GCF_000716785.1
93,Anaerococcus,hydrogenalis,0.5935712339961863,1364,GCF_000173355.1,1819,GCF_000191745.1
94,Anaerococcus,lactolyticus,0.49563274426162907,872,GCF_000156575.1,19974,GCF_000758765.1
95,Anaerococcus,tetradius,0.40421631530705776,955,GCF_000159095.1,43732,GCF_001546165.1
96,Anaerostipes,hadrus,0.511527193988027,5739,GCF_000332875.2,22510,GCF_000876135.1
97,Anaplasma,marginale,0.341376582278481,2112,GCF_000215585.1,10295,GCF_000495535.1
98,Anaplasma,phagocytophilum,0.5264663805436338,23552,GCF_000964915.1,46038,GCF_900000025.1
99,Aneurinibacillus,migulanus,0.3078718108276291,22620,GCF_000878885.1,35309,GCF_001274715.1
100,Anoxybacillus,gonensis,0.005272633744855967,20277,GCF_000770375.1,31626,GCF_001187595.1
101,Aphanizomenon,flos-aquae,0.6120889499441916,10861,GCF_000521175.1,20971,GCF_000789435.1
102,Arcobacter,butzleri,0.6126963770439243,4209,GCF_000284355.1,24212,GCF_001010585.1
103,Arcobacter,lanthieri,0.32370472260430994,13634,GCF_000585115.1,13635,GCF_000585195.1
104,Ardenticatena,maritima,0.004476690336523618,35973,GCF_001293545.1,36293,GCF_001306175.1
105,Arenimonas,composti,0.009327633113097552,8422,GCF_000426365.1,19628,GCF_000747175.1
106,Arenimonas,oryziterrae,0.003125,8359,GCF_000420545.1,19627,GCF_000747135.1
107,Arthrospira,platensis,0.1447578499201703,2020,GCF_000210375.1,45526,GCF_001611905.1
108,Asticcacaulis,benevestitus,0.009010373286893315,7174,GCF_000376105.1,10297,GCF_000495775.1
109,Atopobium,minutum,0.19304038608077217,6854,GCF_000364325.1,41040,GCF_001437015.1
110,Atopobium,rimae,0.0,1382,GCF_000174015.1,41066,GCF_001438885.1
111,Atopobium,vaginae,0.6447667804323094,1519,GCF_000178335.1,44070,GCF_001562845.1
112,Aurantimonas,coralicida,0.0028146813780680026,8372,GCF_000421645.1,41781,GCF_001463825.1
113,Aurantimonas,manganoxydans,0.0026921194322075378,805,GCF_000153465.1,41783,GCF_001463865.1
114,Aureimonas,ureilytica,0.9201525746980292,7253,GCF_000382705.1,42043,GCF_001475555.1
115,Avibacterium,paragallinarum,0.5280898876404494,2275,GCF_000221945.2,23663,GCF_000969305.1
116,Azospirillum,brasilense,0.6920663890948497,2662,GCF_000237365.1,36430,GCF_001315015.1
117,Azospirillum,thiophilum,0.001607840134752316,23434,GCF_000960825.1,36285,GCF_001305595.1
118,Azotobacter,vinelandii,0.21330988773163803,7229,GCF_000380365.1,44348,GCF_001571105.1
119,Bacillus,akibai,0.0,10654,GCF_000513135.1,36433,GCF_001315085.1
120,Bacillus,amyloliquefaciens,0.45644885391720835,289,GCF_000015785.1,40862,GCF_001431285.1
121,Bacillus,anthracis,0.11291085362969969,1598,GCF_000181935.1,5285,GCF_000319695.1
122,Bacillus,aryabhattai,0.3844944563958299,24685,GCF_001025015.1,25256,GCF_001043825.1
123,Bacillus,atrophaeus,0.3590682196339434,1989,GCF_000204805.1,7282,GCF_000385965.2
124,Bacillus,azotoformans,0.5317143892714752,4980,GCF_000307855.1,18715,GCF_000708505.1
125,Bacillus,badius,0.3164399210717624,22298,GCF_000829555.1,45976,GCF_001632185.1
126,Bacillus,boroniphilus,0.0,10784,GCF_000517385.1,36435,GCF_001315165.1
127,Bacillus,cereus,0.9020627593057909,7799,GCF_000399245.1,44761,GCF_001583935.1
128,Bacillus,circulans,0.2530772495755518,24818,GCF_001029855.1,44976,GCF_001591585.1
129,Bacillus,clausii,0.20433145009416195,126,GCF_000009825.1,19414,GCF_000737305.2
130,Bacillus,coagulans,0.7260532591414944,5758,GCF_000333935.1,44588,GCF_001578455.1
131,Bacillus,coahuilensis,0.3131222874648966,42613,GCF_001516885.1,42614,GCF_001516895.1
132,Bacillus,cytotoxicus,0.1479117524628833,328,GCF_000017425.1,25426,GCF_001050335.1
133,Bacillus,endophyticus,0.7180799036942291,23724,GCF_000972245.3,44960,GCF_001590825.1
134,Bacillus,firmus,0.7733952541510274,12794,GCF_000565285.1,25187,GCF_001038755.1
135,Bacillus,gaemokensis,0.010950153986540435,18808,GCF_000712615.1,44961,GCF_001590835.1
136,Bacillus,ginsengihumi,0.19412277424978208,11006,GCF_000526655.1,20866,GCF_000786015.1
137,Bacillus,glycinifermentans,0.17691188854015158,25220,GCF_001042465.1,25221,GCF_001042475.2
138,Bacillus,hemicellulosilyticus,0.0,10653,GCF_000513115.1,36432,GCF_001315065.1
139,Bacillus,licheniformis,0.6546883124386157,12500,GCF_000559105.1,44874,GCF_001587195.1
140,Bacillus,marisflavi,0.2750252780586451,25185,GCF_001038695.1,25193,GCF_001038985.1
141,Bacillus,megaterium,0.6089433023438523,22398,GCF_000832985.1,45017,GCF_001593805.1
142,Bacillus,methanolicus,0.0008183306055646482,3453,GCF_000262735.1,19034,GCF_000724485.1
143,Bacillus,mojavensis,0.6040112259566021,2870,GCF_000245335.1,7881,GCF_000404285.1
144,Bacillus,mycoides,0.9506731872245366,3,GCF_000003925.1,1032,GCF_000161415.1
145,Bacillus,nakamurai,0.2316622237509674,44771,GCF_001584325.1,44773,GCF_001584345.1
146,Bacillus,paralicheniformis,0.29822755019489594,31643,GCF_001188525.1,42504,GCF_001507765.1
147,Bacillus,pumilus,0.8785028122044697,1345,GCF_000172815.1,13810,GCF_000590455.1
148,Bacillus,safensis,0.4873408965135584,8684,GCF_000444215.1,18161,GCF_000691165.1
149,Bacillus,siamensis,0.2580360721442886,3437,GCF_000262045.1,23601,GCF_000966575.1
150,Bacillus,smithii,0.4278404465635539,2698,GCF_000238675.1,44988,GCF_001591985.1
151,Bacillus,sonorensis,0.1070353351291396,5966,GCF_000342105.1,44989,GCF_001592005.1
152,Bacillus,subtilis,0.7989750086375677,22596,GCF_000878265.1,22637,GCF_000931825.1
153,Bacillus,thermoamylovorans,0.3890991672975019,19782,GCF_000751775.1,22372,GCF_000832185.1
154,Bacillus,thuringiensis,0.6832786436970194,1038,GCF_000161735.1,22603,GCF_000878525.1
155,Bacillus,trypoxylicola,0.0038219424460431656,44959,GCF_001590785.1,44990,GCF_001592025.1
156,Bacillus,velezensis,0.4036210182412197,8007,GCF_000408925.1,18015,GCF_000685725.1
157,Bacillus,vietnamensis,0.4043551962446212,19021,GCF_000723905.1,44981,GCF_001591825.1
158,Bacillus,vireti,0.002208777489676366,10594,GCF_000508325.2,24764,GCF_001026695.1
159,Bacillus,wakoensis,0.0,10652,GCF_000513095.1,36431,GCF_001315045.1
160,Bacillus,weihenstephanensis,0.004640095181439619,1020,GCF_000161095.1,20481,GCF_000775975.1
161,Bacteroides,barnesiae,0.00688964048603282,7144,GCF_000374585.1,14826,GCF_000613645.1
162,Bacteroides,caccae,0.39775714035395127,1228,GCF_000169015.1,3858,GCF_000273725.1
163,Bacteroides,cellulosilyticus,0.5578185109753337,932,GCF_000158035.1,3833,GCF_000273015.1
164,Bacteroides,coprophilus,0.020858164481525627,930,GCF_000157915.1,36437,GCF_001315765.1
165,Bacteroides,dorei,0.43007518796992483,939,GCF_000158335.2,3835,GCF_000273055.1
166,Bacteroides,eggerthii,0.45150720838794234,862,GCF_000155815.1,1676,GCF_000185605.1
167,Bacteroides,finegoldii,0.001804479354633266,3707,GCF_000269545.1,4859,GCF_000304195.1
168,Bacteroides,fragilis,0.9281158134117256,14166,GCF_000598225.1,19037,GCF_000724665.1
169,Bacteroides,gallinarum,0.006593963986812072,7142,GCF_000374365.1,14827,GCF_000613665.1
170,Bacteroides,graminisolvens,0.04513491414554374,8453,GCF_000428125.1,14834,GCF_000613825.1
171,Bacteroides,intestinalis,0.41049988228831513,1327,GCF_000172175.1,22843,GCF_000940235.1
172,Bacteroides,massiliensis,0.009029842528355907,7124,GCF_000373085.1,14821,GCF_000613545.1
173,Bacteroides,nordii,0.44843122798394364,3841,GCF_000273175.1,14817,GCF_000613465.1
174,Bacteroides,ovatus,0.6765673278182,3842,GCF_000273195.1,44594,GCF_001578575.1
175,Bacteroides,propionicifaciens,0.007659574468085106,7169,GCF_000375405.1,14831,GCF_000613745.1
176,Bacteroides,pyogenes,0.7241795366795367,9364,GCF_000466505.1,10629,GCF_000511735.1
177,Bacteroides,salyersiae,0.3335361084557226,3844,GCF_000273235.1,14828,GCF_000613685.1
178,Bacteroides,stercoris,0.5384615384615384,8127,GCF_000413395.1,43342,GCF_001535605.1
179,Bacteroides,thetaiotaomicron,0.5487266952890666,7861,GCF_000403155.2,36428,GCF_001314975.1
180,Bacteroides,uniformis,0.5420868040333188,3861,GCF_000273785.1,7862,GCF_000403175.1
181,Bacteroides,vulgatus,0.46532553035844915,7863,GCF_000403235.1,18428,GCF_000699845.1
182,Bacteroides,xylanisolvens,0.006461892537841905,1517,GCF_000178295.1,13318,GCF_000577295.1
183,Bartonella,bacilliformis,0.2177332856632106,5099,GCF_000311905.1,18751,GCF_000709775.1
184,Bartonella,birtlesii,0.09824095585794888,4036,GCF_000278095.1,7813,GCF_000400145.1
185,Bartonella,bovis,0.6479400749063671,7269,GCF_000384965.1,7274,GCF_000385395.1
186,Bartonella,clarridgeiae,0.006265664160401002,3156,GCF_000253015.1,10796,GCF_000518185.1
187,Bartonella,doshiae,0.014,4038,GCF_000278155.1,11011,GCF_000526895.1
188,Bartonella,elizabethae,0.08690680388793597,4039,GCF_000278175.1,4044,GCF_000278315.1
189,Bartonella,grahamii,0.14192903548225888,452,GCF_000022725.1,10791,GCF_000518085.1
190,Bartonella,henselae,0.2130057803468208,10766,GCF_000516675.1,14803,GCF_000612765.1
191,Bartonella,quintana,0.3115225023938717,4562,GCF_000294715.1,10772,GCF_000516795.1
192,Bartonella,rattimassiliensis,0.0423572744014733,4041,GCF_000278215.1,5111,GCF_000312605.1
193,Bartonella,tamiae,0.02873119938295411,4043,GCF_000278275.1,4115,GCF_000279995.1
194,Bartonella,tribocorum,0.012572290671360321,1942,GCF_000196435.1,18095,GCF_000689355.1
195,Bartonella,vinsonii,0.82565168114847,4045,GCF_000278335.1,5948,GCF_000341385.1
196,Bartonella,washoensis,0.3858835651725914,4037,GCF_000278135.1,4040,GCF_000278195.1
197,Bellilinea,caldifistulae,0.002324230098779779,25422,GCF_001050215.1,36291,GCF_001306055.1
198,Bergeyella,zoohelcum,0.4764420959929547,4727,GCF_000301075.1,4728,GCF_000301095.1
199,Bibersteinia,trehalosi,0.400524246395806,6158,GCF_000347595.1,10875,GCF_000521765.1
200,Bifidobacterium,actinocoloniiforme,0.003229813664596273,19496,GCF_000741095.1,20325,GCF_000771585.1
201,Bifidobacterium,adolescentis,0.484755673117082,824,GCF_000154085.1,18489,GCF_000702865.1
202,Bifidobacterium,angulatum,0.37006548175865295,23595,GCF_000966445.2,24689,GCF_001025155.1
203,Bifidobacterium,animalis,0.6736432949618777,14802,GCF_000612705.1,34973,GCF_001263945.1
204,Bifidobacterium,biavatii,0.008585503166783954,19499,GCF_000741165.1,20328,GCF_000771645.1
205,Bifidobacterium,bifidum,0.33290554414784396,24538,GCF_001020355.1,45075,GCF_001595435.1
206,Bifidobacterium,bohemicum,0.004295686414891713,19514,GCF_000741525.1,20326,GCF_000771605.1
207,Bifidobacterium,bombi,0.013774567444985722,19420,GCF_000737845.1,20302,GCF_000771085.1
208,Bifidobacterium,boum,0.0065141404512233875,18055,GCF_000687615.1,19515,GCF_000741535.1
209,Bifidobacterium,breve,0.4887554306158957,8070,GCF_000411435.1,12944,GCF_000569015.1
210,Bifidobacterium,callitrichos,0.007572570466975179,19500,GCF_000741175.1,20329,GCF_000771665.1
211,Bifidobacterium,catenulatum,0.024989673688558447,19516,GCF_000741565.1,20300,GCF_000771025.1
212,Bifidobacterium,choerinum,0.03215547703180212,19498,GCF_000741135.1,20317,GCF_000771425.1
213,Bifidobacterium,coryneforme,0.0027711065952336967,19421,GCF_000737865.1,20314,GCF_000771345.1
214,Bifidobacterium,cuniculi,0.0030115442529697173,19517,GCF_000741575.1,20319,GCF_000771465.1
215,Bifidobacterium,dentium,0.3267131242740999,786,GCF_000149165.1,20332,GCF_000771725.1
216,Bifidobacterium,gallicum,0.0034266133637921186,1365,GCF_000173375.1,19501,GCF_000741205.1
217,Bifidobacterium,gallinarum,0.006204573657152987,19502,GCF_000741215.1,20321,GCF_000771505.1
218,Bifidobacterium,indicum,0.0031787584143605084,18648,GCF_000706765.1,20313,GCF_000771325.1
219,Bifidobacterium,kashiwanohense,0.0056625141562853904,19518,GCF_000741605.1,20323,GCF_000771545.1
220,Bifidobacterium,longum,0.7574605588291199,397,GCF_000020425.1,3410,GCF_000261245.1
221,Bifidobacterium,magnum,0.0020833333333333333,8360,GCF_000420565.1,19504,GCF_000741255.1
222,Bifidobacterium,merycicum,0.005939835217474612,19519,GCF_000741615.1,20296,GCF_000770945.1
223,Bifidobacterium,minimum,0.002839485552029397,8373,GCF_000421685.1,19521,GCF_000741645.1
224,Bifidobacterium,mongoliense,0.0011051468266498263,19505,GCF_000741285.1,20322,GCF_000771525.1
225,Bifidobacterium,pseudocatenulatum,0.3465409809873782,18702,GCF_000708005.1,20318,GCF_000771445.1
226,Bifidobacterium,pseudolongum,0.7500364803735591,8369,GCF_000421365.1,19507,GCF_000741325.1
227,Bifidobacterium,psychraerophilum,0.002489970950338913,19524,GCF_000741705.1,20324,GCF_000771565.1
228,Bifidobacterium,reuteri,0.0016335420637081405,19523,GCF_000741695.1,20330,GCF_000771685.1
229,Bifidobacterium,ruminantium,0.006790875848859481,18056,GCF_000687635.1,20295,GCF_000770925.1
230,Bifidobacterium,saeculare,0.0028662957342775247,19509,GCF_000741375.1,20297,GCF_000770965.1
231,Bifidobacterium,saguini,0.003123972377507399,19525,GCF_000741715.1,20327,GCF_000771625.1
232,Bifidobacterium,scardovii,0.002477930927675391,19510,GCF_000741405.1,20298,GCF_000770985.1
233,Bifidobacterium,subtile,0.005999142979574347,8423,GCF_000426405.1,19527,GCF_000741775.1
234,Bifidobacterium,thermacidophilum,0.0020723736649131195,8424,GCF_000426425.1,19512,GCF_000741455.1
235,Bifidobacterium,thermophilum,0.43080972674855855,6161,GCF_000347695.1,20310,GCF_000771265.1
236,Bifidobacterium,tsurumiense,0.0028867379860757344,19526,GCF_000741765.1,20301,GCF_000771065.1
237,Bilophila,wadsworthia,0.3631796950735877,1677,GCF_000185705.2,18481,GCF_000701705.1
238,Blastochloris,viridis,0.0009044862518089725,40329,GCF_001402875.1,43808,GCF_001548155.2
239,Blautia,[Ruminococcus] gnavus,0.6489977268030585,1233,GCF_000169475.1,11007,GCF_000526735.1
240,Blautia,producta,0.0033174671859224,7139,GCF_000373885.1,8505,GCF_000439125.1
241,Blautia,wexlerae,0.6579819554409869,8398,GCF_000424085.1,9898,GCF_000484655.1
242,Bordetella,avium,0.024461482292807594,573,GCF_000070465.1,21850,GCF_000813405.1
243,Bordetella,bronchiseptica,0.41567653839333213,5126,GCF_000312945.1,16888,GCF_000662095.1
244,Bordetella,hinzii,0.2195504443282802,16683,GCF_000657755.1,43816,GCF_001548475.1
245,Bordetella,holmesii,0.022669706180344477,5220,GCF_000317335.1,16249,GCF_000649045.1
246,Bordetella,pertussis,0.1704481792717087,1865,GCF_000193615.1,31819,GCF_001193835.1
247,Bordetella,pseudohinzii,0.001070090957731407,16685,GCF_000657795.2,43817,GCF_001548485.1
248,Bordetella,trematum,0.1896067415730337,9506,GCF_000471705.1,50751,GCF_900078695.1
249,Borrelia,coriaceae,0.11958874458874459,10793,GCF_000518125.1,12935,GCF_000568755.1
250,Borrelia,crocidurae,0.4891826923076923,12933,GCF_000568715.1,22230,GCF_000825665.1
251,Borrelia,duttonii,0.4219001610305958,380,GCF_000019685.1,10930,GCF_000523535.1
252,Borrelia,hermsii,0.7023681377825619,12931,GCF_000568675.1,23303,GCF_000956315.1
253,Borrelia,miyamotoi,0.5808869456589631,12932,GCF_000568695.1,21620,GCF_000807295.1
254,Borrelia,parkeri,0.23561430793157076,10638,GCF_000512145.1,12934,GCF_000568735.1
255,Borreliella,afzelii,0.3913435527502254,1281,GCF_000170935.2,4876,GCF_000304735.1
256,Borreliella,burgdorferi,0.4344885883347422,1329,GCF_000172295.2,7251,GCF_000382565.1
257,Borreliella,garinii,0.6309963099630996,4705,GCF_000300045.1,10413,GCF_000501195.1
258,Borreliella,valaisiana,0.25716928769657726,1282,GCF_000170955.2,19458,GCF_000739475.1
259,Brachyspira,hyodysenteriae,0.25474472066292436,24304,GCF_001012915.1,24319,GCF_001013205.1
260,Brachyspira,pilosicoli,0.4158288218613045,5270,GCF_000319185.1,5520,GCF_000325665.1
261,Bradyrhizobium,diazoefficiens,0.4363465749139819,173,GCF_000011365.1,43824,GCF_001549695.1
262,Bradyrhizobium,elkanii,0.7412479859381866,3417,GCF_000261505.1,9525,GCF_000472765.1
263,Bradyrhizobium,japonicum,0.9281178008841292,8368,GCF_000421305.1,9845,GCF_000482525.1
264,Bradyrhizobium,liaoningense,0.058860560276990874,3424,GCF_000261645.1,3425,GCF_000261665.1
265,Bradyrhizobium,valentinum,0.2200040845501889,41076,GCF_001440385.1,41077,GCF_001440405.1
266,Bradyrhizobium,yuanmingense,0.5919435487639609,3426,GCF_000261785.1,41072,GCF_001439885.1
267,Brevibacillus,agri,0.27225364691872583,5610,GCF_000328345.1,14793,GCF_000612125.1
268,Brevibacillus,borstelensis,0.2070768298227004,14795,GCF_000612185.1,19445,GCF_000738785.1
269,Brevibacillus,brevis,0.5466344255823135,137,GCF_000010165.1,6125,GCF_000346255.1
270,Brevibacillus,laterosporus,0.5870697879210391,2653,GCF_000237005.1,19346,GCF_000733515.1
271,Brevibacillus,thermoruber,0.3857695574219119,8893,GCF_000454065.1,19600,GCF_000744635.1
272,Brevibacterium,casei,0.3425033087540178,5166,GCF_000314575.1,45783,GCF_001619685.1
273,Brevibacterium,linens,0.516834407356455,21641,GCF_000807915.1,45269,GCF_001606005.1
274,Brevundimonas,diminuta,0.4556882463859208,1965,GCF_000204035.1,24034,GCF_000988015.1
275,Brochothrix,thermosphacta,0.011829492147664695,11001,GCF_000525935.1,15084,GCF_000620985.1
276,Brucella,abortus,0.046370967741935484,7049,GCF_000370345.1,9676,GCF_000477635.1
277,Brucella,canis,0.019126424308193165,4671,GCF_000298575.1,6936,GCF_000366825.1
278,Brucella,ceti,0.061127282349828,950,GCF_000158775.1,13824,GCF_000590795.1
279,Brucella,melitensis,0.04641180415828303,27,GCF_000007125.1,6924,GCF_000366585.1
