id,name,is_root,ngenomes,nleaves,diameter,threshold,max_leaf_threshold,min_inter_src_id,min_inter_src_name,min_inter_dst_id,min_inter_dst_name,min_inter_dist,noverlaps,dst_taxa,dst_genera
36,Sulfurimonas,true,2,1,0.006045949,0.006045949,0.006045949,1583,Sulfurimonas gotlandica,1372,Arcobacter butzleri,0.99344856,0,0,0
37,Salinivibrio,true,2,1,0.26512167,0.26512167,0.26512167,1229,Salinivibrio socompensis,669,Vibrio cholerae,0.9888995,0,0,0
38,Leptospira,true,397,11,0.99856085,0.99856085,0.6762464,1365,Leptospira noguchii,834,Staphylococcus epidermidis,0.9893584,5762,1025,351
39,Leptospirillum,true,3,1,0.42754892,0.42754892,0.42754892,1727,Leptospirillum ferriphilum,1466,Mesorhizobium plurifarium,0.9960396,0,0,0
40,Candidatus Moranella,true,2,1,0.008465609,0.008465609,0.008465609,501,Candidatus Moranella endobia,464,Buchnera aphidicola,0.99712974,0,0,0
41,Oblitimonas,true,7,1,0.41984564,0.41984564,0.41984564,855,Oblitimonas alkaliphila,634,Morganella morganii,0.99265665,0,0,0
42,Shimwellia,true,2,1,0.009786209,0.009786209,0.009786209,627,Shimwellia blattae,1405,Cronobacter turicensis,0.9796503,0,0,0
43,Azospirillum,true,5,2,0.9530471,0.9530471,0.6858578,1414,Azospirillum thiophilum,1466,Mesorhizobium plurifarium,0.9743722,0,0,0
44,Saccharicrinis,true,2,1,0.009228375,0.009228375,0.009228375,755,Saccharicrinis fermentans,914,Bacillus thuringiensis,0.99469537,0,0,0
45,Campylobacter,true,857,10,0.9990478,0.9990478,0.9701104760169983,505,Campylobacter coli,1261,Helicobacter pullorum,0.98408306,8184,1426,451
46,Ferrimicrobium,true,2,1,0.02257484,0.02257484,0.02257484,1709,Ferrimicrobium acidiphilum,575,Rhizobium leguminosarum,0.99656945,0,0,0
47,Mannheimia,true,33,2,0.96179575,0.96179575,0.42669845,1153,Mannheimia haemolytica,1748,Bibersteinia trehalosi,0.9600985,1,1,1
48,Helicobacter,true,501,11,0.9990564,0.9990564,0.858418,511,Helicobacter pylori,600,Neisseria meningitidis,0.9796193,6923,1114,373
49,Hydrogenovibrio,true,2,1,0.009449071,0.009449071,0.009449071,1459,Hydrogenovibrio marinus,1704,Acinetobacter gerneri,0.99611765,0,0,0
50,Achromobacter,true,21,2,0.9315043,0.9315043,0.44396177,1387,Achromobacter xylosoxidans,606,Bordetella bronchiseptica,0.94514495,0,0,0
51,Thermoanaerobacterium,true,2,1,0.56311464,0.56311464,0.56311464,941,Thermoanaerobacterium thermosaccharolyticum,1512,Thermoanaerobacter thermocopriae,0.9884257,0,0,0
52,Alteromonas,true,22,4,0.98972297,0.98972297,0.64545816,1238,Alteromonas mediterranea,669,Vibrio cholerae,0.9866526,1,1,1
53,Brucella,true,276,10,0.95969623,0.95969623,0.4963965117931366,1470,Brucella intermedia,610,Ochrobactrum anthropi,0.8879187,8,1,1
54,Flavobacterium,true,33,6,0.99726176,0.99726176,0.28450888,1694,Flavobacterium psychrophilum,1521,Bacillus safensis,0.98555666,388,236,92
55,Parageobacillus,true,10,3,0.95610374,0.95610374,0.5117788,1648,Parageobacillus toebii,911,Geobacillus stearothermophilus,0.97797745,0,0,0
57,Francisella,true,81,3,0.96783215,0.96783215,0.5035405,1340,Francisella philomiragia,935,Paeniclostridium sordellii,0.99437946,0,0,0
58,Paracoccus,true,6,2,0.9682774,0.9682774,0.6341692,1566,Paracoccus sanguinis,771,Rhodobacter sphaeroides,0.97494483,0,0,0
59,Thermus,true,14,5,0.94217163,0.94217163,0.6328302,1868,Thermus oshimai,540,Meiothermus ruber,0.98535514,0,0,0
60,Comamonas,true,20,2,0.979642,0.979642,0.80393785,1518,Comamonas aquatica,1847,Alicycliphilus denitrificans,0.97474533,5,4,2
61,Pseudomonas,true,1867,41,0.9918033,0.9918033,0.9074616432189941,546,Pseudomonas aeruginosa,1387,Achromobacter xylosoxidans,0.96939194,3662,349,130
63,Thermotoga,true,5,2,0.9367951,0.9367951,0.015068493,1162,Thermotoga neapolitana,484,Pseudothermotoga hypogea,0.99767023,0,0,0
64,Thauera,true,2,1,0.004160666,0.004160666,0.004160666,1169,Thauera linaloolentis,1649,Rubrivivax benzoatilyticus,0.9809359,0,0,0
65,Roseomonas,true,2,1,0.37623763,0.37623763,0.37623763,1186,Roseomonas mucosa,1103,Aurantimonas coralicida,0.975658,0,0,0
66,Marinagarivorans,true,2,1,0.2114579,0.2114579,0.2114579,1673,Marinagarivorans algicola,669,Vibrio cholerae,0.9904294,0,0,0
67,Desulfocurvibacter,true,3,1,0.64289635,0.64289635,0.64289635,740,Desulfocurvibacter africanus,741,Desulfovibrio gigas,0.9869974,0,0,0
68,Geobacillus,true,17,4,0.95925117,0.95925117,0.61247945,911,Geobacillus stearothermophilus,1648,Parageobacillus toebii,0.97797745,0,0,0
69,Brevundimonas,true,2,1,0.45568824,0.45568824,0.45568824,550,Brevundimonas diminuta,1398,Caulobacter henricii,0.9767677,0,0,0
70,Hydrogenophaga,true,2,1,0.033665657,0.033665657,0.033665657,524,Hydrogenophaga intermedia,1847,Alicycliphilus denitrificans,0.97050333,0,0,0
71,Chania,true,2,1,0.0005545082,0.0005545082,0.0005545082,687,Chania multitudinisentens,1766,Serratia fonticola,0.97056776,0,0,0
72,Akkermansia,true,2,1,0.2524214,0.2524214,0.2524214,1166,Akkermansia muciniphila,1094,Nocardiopsis dassonvillei,0.9944711,0,0,0
73,Sulfurospirillum,true,2,1,0.67622817,0.67622817,0.67622817,1682,Sulfurospirillum cavolei,511,Helicobacter pylori,0.9956932,0,0,0
74,Xylella,true,28,1,0.598002,0.598002,0.598002,1167,Xylella fastidiosa,1666,Stenotrophomonas acidaminiphila,0.9943929,0,0,0
75,Limosilactobacillus,true,59,10,0.99800825,0.99800825,0.7485599,976,Limosilactobacillus fermentum,965,Lactiplantibacillus plantarum,0.98072875,3621,1119,358
76,Sporomusa,true,2,1,0.0076793605,0.0076793605,0.0076793605,1168,Sporomusa ovata,936,Clostridium sporogenes,0.9939956,0,0,0
77,Xanthomonas,true,337,13,0.9843814,0.9843814,0.725948,1815,Xanthomonas sacchari,1309,Pseudoxanthomonas suwonensis,0.962195,61,14,10
79,Bergeyella,true,2,1,0.4764421,0.4764421,0.4764421,761,Bergeyella zoohelcum,1368,Capnocytophaga canimorsus,0.9908654,0,0,0
80,Phocaeicola,true,22,5,0.9927323,0.9927323,0.46532553,1581,Phocaeicola dorei,1558,Bacteroides salyersiae,0.9602677,97,22,4
81,Marinilabilia,true,2,1,0.006437768,0.006437768,0.006437768,757,Marinilabilia salmonicolor,755,Saccharicrinis fermentans,0.99559724,0,0,0
82,Kutzneria,true,2,1,0.0070178905,0.0070178905,0.0070178905,1171,Kutzneria albida,1376,Amycolatopsis vancoresmycina,0.9714851,0,0,0
83,Azotobacter,true,4,1,0.21330988,0.21330988,0.21330988,566,Azotobacter vinelandii,1138,Pseudomonas thermotolerans,0.9734181,0,0,0
84,Agrobacterium,true,15,1,0.9270978,0.9270978,0.9270978,569,Agrobacterium tumefaciens,1537,Rhizobium etli,0.96971333,0,0,0
85,Thermosipho,true,2,1,0.35563973,0.35563973,0.35563973,1173,Thermosipho africanus,1512,Thermoanaerobacter thermocopriae,0.99495304,0,0,0
86,Terrisporobacter,true,2,1,0.01045947,0.01045947,0.01045947,1426,Terrisporobacter glycolicus,935,Paeniclostridium sordellii,0.9832098,0,0,0
87,Bradyrhizobium,true,32,6,0.9669746,0.9669746,0.741248,942,Bradyrhizobium yuanmingense,1466,Mesorhizobium plurifarium,0.9742743,0,0,0
88,Wenxinia,true,2,1,0.0048148762,0.0048148762,0.0048148762,1643,Wenxinia marina,1566,Paracoccus sanguinis,0.9768791,0,0,0
89,Teredinibacter,true,9,1,0.8020897,0.8020897,0.8020897,1174,Teredinibacter turnerae,1790,Herbaspirillum rubrisubalbicans,0.9957272,0,0,0
90,Rhizobium,true,33,4,0.9713598,0.9713598,0.8663273,1537,Rhizobium etli,573,Sinorhizobium fredii,0.9623865,11,5,4
91,Caballeronia,true,2,1,0.12763001,0.12763001,0.12763001,1224,Caballeronia zhejiangensis,891,Paraburkholderia caribensis,0.97209406,0,0,0
92,Propionimicrobium,true,2,1,0.45460263,0.45460263,0.45460263,523,Propionimicrobium lymphophilum,1849,Propionibacterium acidifaciens,0.9928997,0,0,0
93,Erysipelatoclostridium,true,2,1,0.51274985,0.51274985,0.51274985,945,[Clostridium] innocuum,1734,Faecalitalea cylindroides,0.98304677,0,0,0
94,Caldibacillus,true,2,1,0.36277643,0.36277643,0.36277643,1695,Caldibacillus debilis,911,Geobacillus stearothermophilus,0.989938,0,0,0
95,Alicycliphilus,true,2,1,0.43141645,0.43141645,0.43141645,1847,Alicycliphilus denitrificans,1795,Acidovorax avenae,0.96681434,0,0,0
96,Anaerostipes,true,2,1,0.5115272,0.5115272,0.5115272,1188,Anaerostipes hadrus,1736,Dorea formicigenerans,0.98448545,0,0,0
97,Methylobacterium,true,10,3,0.96592236,0.96592236,0.40874934,1826,Methylobacterium radiotolerans,579,Methylorubrum extorquens,0.96247417,1,1,1
99,Komagataeibacter,true,9,3,0.973221,0.973221,0.46983537,807,Komagataeibacter europaeus,808,Gluconacetobacter diazotrophicus,0.97757477,0,0,0
100,Methylococcus,true,3,1,0.2949492,0.2949492,0.2949492,580,Methylococcus capsulatus,1327,Rubrivivax gelatinosus,0.9879025,0,0,0
101,Fulvimarina,true,2,1,0.0016273393,0.0016273393,0.0016273393,1471,Fulvimarina pelagi,1103,Aurantimonas coralicida,0.9801495,0,0,0
102,Methylobacter,true,3,1,0.6630165,0.6630165,0.6630165,865,Methylobacter tundripaludum,1943,Pseudomonas syringae subgroup 3,0.9944047,0,0,0
103,Lawsonella,true,2,1,0.13575482,0.13575482,0.13575482,1465,Lawsonella clevelandensis,1508,Corynebacterium otitidis,0.9936314,0,0,0
104,Pontibacillus,true,4,2,0.99537444,0.99537444,0.032061238,1221,Pontibacillus marinus,1934,Bacillus pumilus subgroup 1,0.994416,18,17,5
105,Acetobacter,true,20,6,0.99456984,0.99456984,0.5857047,582,Acetobacter aceti,1821,Gluconobacter albidus,0.976356,122,83,47
106,Oceanobacillus,true,2,1,0.38668403,0.38668403,0.38668403,1876,Oceanobacillus picturae,926,Virgibacillus halodenitrificans,0.9922009,0,0,0
107,Virgibacillus,true,2,1,0.38234165,0.38234165,0.38234165,926,Virgibacillus halodenitrificans,1876,Oceanobacillus picturae,0.9922009,0,0,0
108,Trueperella,true,4,1,0.4151515,0.4151515,0.4151515,1004,Trueperella pyogenes,1097,Curtobacterium flaccumfaciens,0.9907763,0,0,0
109,Actinotignum,true,2,1,0.003991403,0.003991403,0.003991403,1142,Actinotignum schaalii,1688,Actinobaculum massiliense,0.99229586,0,0,0
110,Gluconobacter,true,14,3,0.9800242,0.9800242,0.64285123,1821,Gluconobacter albidus,582,Acetobacter aceti,0.976356,1,1,1
111,Legionella,true,382,11,0.99875635,0.99875635,0.86924297,1332,Legionella cherrii,594,Fluoribacter dumoffii,0.94732356,9535,1366,425
112,Fluoribacter,true,3,1,0.22060767,0.22060767,0.22060767,594,Fluoribacter dumoffii,1332,Legionella cherrii,0.94732356,0,0,0
113,Tatlockia,true,2,1,0.00034287674,0.00034287674,0.00034287674,593,Tatlockia micdadei,591,Legionella pneumophila,0.99175096,0,0,0
114,Tetragenococcus,true,5,2,0.9724988,0.9724988,0.5141252,1184,Tetragenococcus halophilus,878,Enterococcus faecium,0.99150497,0,0,0
115,Acinetobacter,true,1474,28,0.9918111,0.9918111,0.6525238,1334,Acinetobacter lwoffii,1424,Mycobacteroides abscessus,0.96542567,33,32,18
116,Moraxella,true,22,1,0.95658773,0.95658773,0.95658773,597,Moraxella catarrhalis,1436,Enhydrobacter aerosaccus,0.99380076,0,0,0
117,Paraclostridium,true,3,1,0.6112057,0.6112057,0.6112057,931,Paraclostridium bifermentans,935,Paeniclostridium sordellii,0.95789886,0,0,0
118,Fannyhessea,true,4,1,0.6447668,0.6447668,0.6447668,513,Fannyhessea vaginae,893,Atopobium minutum,0.9957806,0,0,0
119,Neisseria,true,1007,7,0.9895186,0.9895186,0.6688838,603,Neisseria elongata,613,Eikenella corrodens,0.965453,10,4,4
120,Mariprofundus,true,3,1,0.46475163,0.46475163,0.46475163,1262,Mariprofundus ferrooxydans,1842,Stenotrophomonas maltophilia,0.995927,0,0,0
121,Paeniclostridium,true,41,1,0.5796024,0.5796024,0.5796024,935,Paeniclostridium sordellii,931,Paraclostridium bifermentans,0.95789886,0,0,0
122,Solobacterium,true,2,1,0.5262083,0.5262083,0.5262083,1396,Solobacterium moorei,878,Enterococcus faecium,0.98859054,0,0,0
123,Peptoniphilus,true,4,2,0.9835469,0.9835469,0.5947641,535,Peptoniphilus lacrimalis,530,Anaerococcus lactolyticus,0.96582,12,8,4
124,Psychrobacter,true,2,1,0.022768434,0.022768434,0.022768434,1526,Psychrobacter phenylpyruvicus,1436,Enhydrobacter aerosaccus,0.99484736,0,0,0
125,Planomicrobium,true,2,1,0.36329553,0.36329553,0.36329553,691,Planomicrobium glaciei,792,Geobacillus thermoleovorans,0.9937436,0,0,0
126,Parabacteroides,true,20,5,0.9930426,0.9930426,0.6034646,785,Parabacteroides goldsteinii,723,Bacteroides fragilis,0.9654817,93,22,4
128,Alcaligenes,true,7,1,0.90902114,0.90902114,0.90902114,605,Alcaligenes faecalis,546,Pseudomonas aeruginosa,0.98715234,0,0,0
129,Mycoplasmopsis,true,4,2,0.99423176,0.99423176,0.29596853,504,Mycoplasmopsis columbina,1575,Mycoplasma meleagridis,0.9863281,7,4,2
130,Bordetella,true,401,7,0.9778782,0.9778782,0.35,606,Bordetella bronchiseptica,1387,Achromobacter xylosoxidans,0.94514495,20,7,6
131,Finegoldia,true,6,1,0.5955998,0.5955998,0.5955998,820,Finegoldia magna,528,Anaerococcus hydrogenalis,0.96990645,0,0,0
132,Robbsia,true,2,1,0.16934296,0.16934296,0.16934296,1336,Robbsia andropogonis,1588,Burkholderia contaminans,0.9887186,0,0,0
133,Acidiphilium,true,2,1,0.012114686,0.012114686,0.012114686,1514,Acidiphilium multivorum,1466,Mesorhizobium plurifarium,0.9826547,0,0,0
134,Ochrobactrum,true,6,1,0.52934337,0.52934337,0.52934337,610,Ochrobactrum anthropi,1470,Brucella intermedia,0.8879187,0,0,0
135,Ardenticatena,true,2,1,0.00447669,0.00447669,0.00447669,1485,Ardenticatena maritima,606,Bordetella bronchiseptica,0.9924237,0,0,0
136,Laribacter,true,2,1,0.28044233,0.28044233,0.28044233,1492,Laribacter hongkongensis,1387,Achromobacter xylosoxidans,0.98846084,0,0,0
137,Chromobacterium,true,15,4,0.97242725,0.97242725,0.62050754,1677,Chromobacterium subtsugae,1387,Achromobacter xylosoxidans,0.9838951,0,0,0
138,Eikenella,true,2,1,0.6616403,0.6616403,0.6616403,613,Eikenella corrodens,603,Neisseria elongata,0.965453,0,0,0
139,Zymomonas,true,9,1,0.5145901,0.5145901,0.5145901,614,Zymomonas mobilis,1625,Sphingobium yanoikuyae,0.99205416,0,0,0
140,Cytobacillus,true,3,1,0.77339524,0.77339524,0.77339524,902,Cytobacillus firmus,924,Bacillus methanolicus,0.99136025,0,0,0
142,Citrobacter,true,60,5,0.965135,0.965135,0.5007955,617,Citrobacter freundii,1915,Enterobacter hormaechei subgroup 2,0.9248329,76,26,8
143,Pannonibacter,true,2,1,0.40860775,0.40860775,0.40860775,1778,Pannonibacter phragmitetus,1846,Tistrella mobilis,0.97528654,0,0,0
144,Alkalihalobacillus,true,4,2,0.9963921,0.9963921,0.20433144,1687,Alkalihalobacillus clausii,1934,Bacillus pumilus subgroup 1,0.99395084,176,139,40
145,Enterobacter,true,260,9,0.98847836,0.98847836,0.7922216653823853,1915,Enterobacter hormaechei subgroup 2,617,Citrobacter freundii,0.9248329,544,78,31
146,Neobacillus,true,2,1,0.0022087775,0.0022087775,0.0022087775,1857,Neobacillus vireti,902,Cytobacillus firmus,0.9932146,0,0,0
147,Varibaculum,true,2,1,0.35966736,0.35966736,0.35966736,1494,Varibaculum cambriense,1105,Mobiluncus curtisii,0.99048406,0,0,0
148,Erwinia,true,22,5,0.9888502,0.9888502,0.53320235,1126,Erwinia billingiae,619,Pantoea agglomerans,0.97261614,199,65,19
149,Escherichia,true,4237,5,0.9106814,0.9106814,0.46164384484291077,1932,Escherichia coli subgroup 2,648,Shigella sonnei,0.36488694,33,8,2
150,Hafnia,true,7,1,0.94035167,0.94035167,0.94035167,629,Hafnia alvei,1919,Enterobacter cloacae subgroup 2,0.98533815,0,0,0
151,Thalassobacter,true,2,1,0.5994478,0.5994478,0.5994478,1496,Thalassobacter stenotrophicus,1345,Phaeobacter gallaeciensis,0.9876843,0,0,0
152,Klebsiella,true,1020,4,0.95557266,0.95557266,0.8461232,631,Klebsiella pneumoniae,1914,Enterobacter hormaechei subgroup 1,0.92821676,40,15,7
153,Pseudoleptotrichia,true,2,1,0.46896553,0.46896553,0.46896553,1102,Pseudoleptotrichia goodfellowii,1100,Leptotrichia hofstadii,0.9891247,0,0,0
154,Morganella,true,15,1,0.83185625,0.83185625,0.83185625,634,Morganella morganii,631,Klebsiella pneumoniae,0.9795897,0,0,0
155,Proteus,true,48,1,0.5902292,0.5902292,0.5902292,635,Proteus mirabilis,639,Providencia stuartii,0.96096545,0,0,0
156,Providencia,true,18,3,0.98362255,0.98362255,0.8991087,639,Providencia stuartii,635,Proteus mirabilis,0.96096545,24,17,13
157,Salmonella,true,4052,2,0.8868819,0.8868819,0.5571412,1460,Salmonella enterica,1932,Escherichia coli subgroup 2,0.92634374,0,0,0
158,Parvimonas,true,3,1,0.5219907,0.5219907,0.5219907,531,Parvimonas micra,1275,Streptococcus constellatus,0.98688364,0,0,0
159,Pedobacter,true,2,1,0.00029312618,0.00029312618,0.00029312618,756,Pedobacter heparinus,527,Sphingobacterium spiritivorum,0.99571514,0,0,0
160,Serratia,true,307,7,0.98677874,0.98677874,0.77709585,643,Serratia marcescens,1915,Enterobacter hormaechei subgroup 2,0.94122505,245,102,39
161,Shigella,true,680,6,0.5818067,0.5818067,0.2614373,648,Shigella sonnei,1932,Escherichia coli subgroup 2,0.36488694,17,3,1
162,Verrucosispora,true,2,1,0.010695893,0.010695893,0.010695893,1383,Verrucosispora maris,1527,Salinispora arenicola,0.9669298,0,0,0
163,Xenorhabdus,true,15,2,0.9690404,0.9690404,0.7281566,649,Xenorhabdus nematophila,781,Photorhabdus temperata,0.9826457,0,0,0
164,Acidovorax,true,8,3,0.9761799,0.9761799,0.49802276,1795,Acidovorax avenae,1847,Alicycliphilus denitrificans,0.96681434,5,2,2
165,Yersinia,true,533,15,0.9809267,0.9809267,0.9,653,Yersinia pestis,618,Klebsiella aerogenes,0.9723371,14,14,10
166,Edwardsiella,true,12,3,0.95268095,0.95268095,0.48066297,1300,Edwardsiella anguillarum,1458,Serratia rubidaea,0.9841382,0,0,0
167,Epibacterium,true,2,1,0.0006908122,0.0006908122,0.0006908122,1183,Epibacterium mobile,1700,Phaeobacter italicus,0.9779489,0,0,0
168,Aeromonas,true,94,12,0.9732014,0.9732014,0.6270957,658,Aeromonas salmonicida,669,Vibrio cholerae,0.9772901,0,0,0
169,Gardnerella,true,39,1,0.96604276,0.96604276,0.96604276,1201,Gardnerella vaginalis,598,Neisseria gonorrhoeae,0.96718717,0,0,0
170,Franconibacter,true,8,2,0.9093285,0.9093285,0.5650283,1574,Franconibacter helveticus,1918,Enterobacter cloacae subgroup 1,0.9493953,0,0,0
171,Photobacterium,true,32,6,0.9943813,0.9943813,0.6326613,1780,Photobacterium iliopiscarium,670,Aliivibrio fischeri,0.99121183,97,31,5
172,Vibrio,true,1140,31,0.9950455,0.9950455,0.7,672,Vibrio parahaemolyticus,1460,Salmonella enterica,0.9596689,515,98,43
173,Faecalitalea,true,2,1,0.5708502,0.5708502,0.5708502,1734,Faecalitalea cylindroides,945,[Clostridium] innocuum,0.98304677,0,0,0
174,Leucobacter,true,2,1,0.68577874,0.68577874,0.68577874,1756,Leucobacter chromiiresistens,1783,Curtobacterium oceanosedimentum,0.97707736,0,0,0
175,Aureimonas,true,4,1,0.92015254,0.92015254,0.92015254,488,Aureimonas ureilytica,1421,Aurantimonas manganoxydans,0.9731774,0,0,0
176,Jonquetella,true,2,1,0.1421848,0.1421848,0.1421848,1207,Jonquetella anthropi,503,Azospirillum brasilense,0.99374825,0,0,0
177,Thermoclostridium,true,2,1,0.00056264066,0.00056264066,0.00056264066,937,Thermoclostridium stercorarium,940,Hungateiclostridium thermocellum,0.9945955,0,0,0
178,Hungateiclostridium,true,9,2,0.98645025,0.98645025,0.23863925,1152,Hungateiclostridium clariflavum,1512,Thermoanaerobacter thermocopriae,0.9901627,0,0,0
179,Marinobacter,true,2,1,0.5909497,0.5909497,0.5909497,1208,Marinobacter hydrocarbonoclasticus,546,Pseudomonas aeruginosa,0.9927606,0,0,0
180,Jejuia,true,3,1,0.012923077,0.012923077,0.012923077,1513,Jejuia pallidilutea,1891,Algibacter lectus,0.9896964,0,0,0
181,Halomonas,true,4,2,0.9889514,0.9889514,0.0027104723,1493,Halomonas anticariensis,1846,Tistrella mobilis,0.99157304,0,0,0
182,Carnobacterium,true,12,4,0.9933448,0.9933448,0.42318386,1210,Carnobacterium maltaromaticum,877,Enterococcus faecalis,0.9912374,19,14,4
183,Plesiomonas,true,2,1,0.5021989,0.5021989,0.5021989,684,Plesiomonas shigelloides,1151,Edwardsiella ictaluri,0.9924541,0,0,0
184,Mesorhizobium,true,7,2,0.93815964,0.93815964,0.5116211,1466,Mesorhizobium plurifarium,1537,Rhizobium etli,0.9686004,0,0,0
185,Moritella,true,2,1,0.0030734842,0.0030734842,0.0030734842,647,Moritella marina,670,Aliivibrio fischeri,0.993986,0,0,0
186,Brochothrix,true,2,1,0.011829492,0.011829492,0.011829492,1212,Brochothrix thermosphacta,1896,Enterococcus moraviensis,0.9939459,0,0,0
187,Actinobacillus,true,25,2,0.8921292,0.8921292,0.36776364,690,Actinobacillus suis,1325,Mannheimia varigena,0.9771529,0,0,0
188,Haemophilus,true,130,5,0.99111515,0.99111515,0.7898983,695,Haemophilus parainfluenzae,698,Aggregatibacter aphrophilus,0.97073233,38,14,11
