id,entity:miniseq_id,biosample_accession,submission_id,amrfinderplus_amr_genes,ts_mlst_predicted_st,gambit_predicted_taxon,city,received_date,Provider,collection_date,dataset,est_coverage,genome_length,kleborate_bla_resistance_genes,kleborate_key_resistance_genes,kleborate_mlst_sequence_type,r1_mean_q,read1,run_id,seq_platform,serotypefinder_serotype,collected_by,contigs_fastg,contigs_lastgraph,design_description,filetype,geo_loc_name,host,host_disease,instrument_model,isolate,isolation_source,isolation_type,lat_lon,library_ID,library_layout,library_selection,library_source,library_strategy,organism,platform,title,jared_notes
20-00317578,20-00317578,SAMN30861879,NV_NSPHL_0000242,"oqxB,oqxA,fosA,emrD,kdeA,aac(6')-Ib,catA1,blaKPC-2,blaSHV-12,mph(A),aadA2,dfrA12,sul1,blaOXA",ST258,Klebsiella pneumoniae,not collected,2020-12-29,TLC Care Center (Quest),2020-12-07,CL2021-00317578,62,5666789,SHV-12*,SHV-12;KPC-2,ST258,34.77,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/941c4e7b-5cf6-40a7-b8b3-3d273070de1c/basespace_fetch/28f20f2f-f4ed-445b-aeea-ee9d973c1148/call-fetch_bs/CL2021-00317578_R1.fastq.gz,NV-MN01149-210610,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000242,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00249822,21-00249822,SAMN30983621,NV_NSPHL_0000243,"fosA,blaSHV-28,kdeA,emrD,blaKPC-2,qnrB1,blaCTX-M-15,aac(3)-IIe,aac(6')-Ib,catB3,blaOXA-1,blaOXA,blaTEM",ST14,Klebsiella pneumoniae,not collected,,PAM SPEC HOSPITAL,2020-09-22,CL2021-00249822-NV-MN01149-210623,70.77,5442639,OXA-1;CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;TEM-122*?;CTX-M-15;KPC-2,ST14,35.79,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/68797ef7-b2c5-4c7a-8093-14e479c32d06/basespace_fetch/41509047-4c75-4597-a26b-558eab453d6f/call-fetch_bs/CL2021-00249822_R1.fastq.gz,NV-MN01149-210623,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000243,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00302750,21-00302750,SAMN30983620,NV_NSPHL_0000244,"blaSHV-28,kdeA,fosA,emrD,blaKPC-2,qnrB1,blaCTX-M-15,aac(3)-IIe,aac(6')-Ib-cr5,blaOXA-1,catB3,blaOXA,blaTEM",ST14,Klebsiella pneumoniae,not collected,,KINDRED HOSP-SAHARA,2020-11-22,CL2021-00302750-NV-MN01149-210615,133.54,5394798,OXA-1;CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;TEM-122*?;CTX-M-15;KPC-2,ST14,34.55,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/c85dd08a-33f4-41e3-991d-47e416efd994/basespace_fetch/242cf699-a97e-4f83-b4b3-c4e470f655ac/call-fetch_bs/CL2021-00302750_R1.fastq.gz,NV-MN01149-210615,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000244,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00302751,21-00302751,SAMN30983619,NV_NSPHL_0000245,"blaSHV-28,fosA,kdeA,emrD,blaKPC-2,qnrB1,blaCTX-M-15,aac(3)-IIe,blaOXA,catB3,blaOXA-1,aac(6')-Ib",ST14,Klebsiella pneumoniae,not collected,,KINDRED SNU,2020-11-26,CL2021-00302751-NV-MN01149-210615,57.43,5529690,OXA-1;CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;CTX-M-15;KPC-2,ST14,34.47,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/c85dd08a-33f4-41e3-991d-47e416efd994/basespace_fetch/24666779-7333-4247-97d4-93d5956c74e7/call-fetch_bs/CL2021-00302751_R1.fastq.gz,NV-MN01149-210615,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000245,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00312932,21-00312932,SAMN30983618,NV_NSPHL_0000246,"aac(2')-Ic,blaA,erm(37)",ST215,Mycobacterium tuberculosis,not collected,,,2020-12-11,312932-NV-MN01149-220301,144.43,4387417,,,,35.27,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/fe01bec4-4067-4735-9f6b-0387d9b85fde/basespace_fetch/898b5d55-5af2-4f65-8e74-f1524a0fd9a9/call-fetch_bs/CL2021-00312932_R1.fastq.gz,NV-MN01149-220303,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000246,paired,RANDOM,GENOMIC,WGS,Mycobacterium tuberculosis,ILLUMINA,WGS of HAIs,
21-00325050,21-00325050,SAMN30861878,NV_NSPHL_0000247,"emrD,blaEC,acrF,mdtM,blaOXA-1,aac(6')-Ib-cr5,dfrA1,sul1,blaCTX-M-15,blaTEM,blaKPC-2",ST131,Escherichia coli,not collected,2021-01-13,UMC,2021-01-03,CL2021-00325050-NV-MN01149-210614,166.76,5229030,OXA-1;CTX-M-15;KPC-2,,,35.19,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/f7861544-6508-4ba0-bee7-87f970faaa0a/basespace_fetch/7b924f4d-1106-4ff6-a1f1-92dab06d61ff/call-fetch_bs/CL2021-00325050_R1.fastq.gz,NV-MN01149-210614,ILLUMINA,O25:H4,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000247,paired,RANDOM,GENOMIC,WGS,Escherichia coli,ILLUMINA,WGS of HAIs,
21-00325051,21-00325051,SAMN30861877,NV_NSPHL_0000248,"kdeA,fosA,oqxB,oqxA,emrD,catA1,blaKPC-3,sul2,aph(3'')-Ib,aph(6)-Id,mph(A),blaOXA-9,aadA1,aac(6')-Ib,dfrA14,blaTEM",ST258,Klebsiella pneumoniae,not collected,2021-01-13,Sunrise,2021-01-05,CL2021-00325051-NV-MN01149-210614,81.24,5613609,OXA-9.v1;KPC-3,OXA-9.v1;TEM-150*?;KPC-3,ST258,35.23,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/f7861544-6508-4ba0-bee7-87f970faaa0a/basespace_fetch/b7dcc93b-c57b-47a1-a0d5-6fe24d1639f0/call-fetch_bs/CL2021-00325051_R1.fastq.gz,NV-MN01149-210614,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000248,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00325054,21-00325054,SAMN30861876,NV_NSPHL_0000249,"blaSHV-28,fosA,kdeA,emrD,blaKPC-2,qnrB1,aac(3)-IIe,blaCTX-M-15,catB3,blaOXA-1,blaOXA,blaTEM,aac(6')-Ib",ST14,Klebsiella pneumoniae,not collected,2021-01-13,Horizon Specialty,2020-12-27,CL2021-00325054,69.83,5498925,OXA-1;TEM-122*?;CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;TEM-122*?;CTX-M-15;KPC-2,ST14,34.85,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/941c4e7b-5cf6-40a7-b8b3-3d273070de1c/basespace_fetch/99c927e1-4a5f-435f-bd41-2b3ab92ed77e/call-fetch_bs/attempt-2/CL2021-00325054_R1.fastq.gz,NV-MN01149-210610,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000249,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00325056,21-00325056,SAMN30861875,NV_NSPHL_0000250,"blaSHV-11,oqxB,oqxA,kdeA,fosA7,emrD,fosA,tet(A),qnrB1,blaKPC-2,blaTEM,blaCTX-M-15,aph(6)-Id,aph(3'')-Ib,sul2,blaOXA-2,sul1,aac(6')-Ib-cr5,blaOXA-1,catB3,dfrA14",No ST predicted,Klebsiella pneumoniae,not collected,2021-01-13,Kindred SNU,2020-12-21,CL2021-00325056,59.68,5580544,OXA-2;CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;OXA-2;CTX-M-15;KPC-2,ST1015-1LV,34.76,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/941c4e7b-5cf6-40a7-b8b3-3d273070de1c/basespace_fetch/b4ea03e0-b487-425f-a1b8-967212aa0675/call-fetch_bs/attempt-2/CL2021-00325056_R1.fastq.gz,NV-MN01149-210610,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000250,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00325057,21-00325057,SAMN30861874,NV_NSPHL_0000251,"fosA,oqxB,oqxA,emrD,kdeA,blaKPC-3,dfrA14,sul2,aph(3'')-Ib,aph(6)-Id,blaOXA-9,aadA1,aac(6')-Ib',blaSHV-12,blaTEM",ST258,Klebsiella pneumoniae,not collected,2021-01-13,Kindred FL,2020-12-16,CL2021-00325057-NV-MN01149-210609,63.91,5448579,OXA-9.v1*;KPC-3,OXA-9.v1;SHV-12;TEM-168?;KPC-3,ST258,33.05,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/f1dc6197-44fd-44d3-8fed-6e9aaf6d7dc0/basespace_fetch/d240be6a-a2b3-4dd9-b8e7-f66566cb4ed4/call-fetch_bs/CL2021-00325057_R1.fastq.gz,NV-MN01149-210609,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000251,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00325059,21-00325059,SAMN30861873,NV_NSPHL_0000252,"oqxA,oqxB14,emrD,blaSHV-76,kdeA,fosA,blaKPC-2,fosA7,aph(3'')-Ib,aph(6)-Id,blaTEM-1,blaCTX-M-15,dfrA14,qnrB1,aac(3)-IIe,catB3,blaOXA-1,aac(6')-Ib-cr5",ST405,Klebsiella pneumoniae,not collected,2021-01-13,Kindred Hospital Sahara,2020-12-15,CL2021-00325059-NV-MN01149-210609,88.18,5591719,OXA-1;TEM-1D.v1^;CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;TEM-1D.v1^;CTX-M-15;KPC-2,ST405,33.19,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/f1dc6197-44fd-44d3-8fed-6e9aaf6d7dc0/basespace_fetch/55618f24-678f-4d3d-af4c-39a4b765ce42/call-fetch_bs/CL2021-00325059_R1.fastq.gz,NV-MN01149-210609,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000252,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00325061,21-00325061,SAMN30861872,NV_NSPHL_0000253,"fosA,oqxA,oqxB,emrD,kdeA,blaKPC-2,aac(6')-Ib,blaSHV-12",ST258,Klebsiella pneumoniae,not collected,2021-01-13,Kindred Hospital Sahara,2020-12-20,CL2021-00325061-NV-MN01149-210608,80.57,5522121,SHV-12;KPC-2,SHV-12;KPC-2,ST258,34.19,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/9075c073-bd55-4b8a-8dce-49a9b75de482/basespace_fetch/ca34d176-2681-4b4d-bbff-77d3f2736fed/call-fetch_bs/CL2021-00325061_R1.fastq.gz,NV-MN01149-210608,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000253,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00325062,21-00325062,SAMN30861871,NV_NSPHL_0000254,"blaSHV-28,fosA,kdeA,emrD,blaKPC-2,qnrB1,blaCTX-M-15,aac(3)-IIe,blaOXA-1,catB3,blaOXA,blaTEM,aac(6')-Ib",ST14,Klebsiella pneumoniae,not collected,2021-01-13,Pam Specialty Hospital,2020-12-21,CL2021-00325062,119.06,5543471,OXA-1;TEM-122*?;CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;TEM-122*?;CTX-M-15;KPC-2,ST14,35.12,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/941c4e7b-5cf6-40a7-b8b3-3d273070de1c/basespace_fetch/cf8121d6-deda-49e5-b50c-aa423ada071f/call-fetch_bs/CL2021-00325062_R1.fastq.gz,NV-MN01149-210610,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000254,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00325063,21-00325063,SAMN30861870,NV_NSPHL_0000255,"fosA,blaSHV-28,kdeA,emrD,blaKPC-2,qnrB1,catB3,blaOXA-1,aac(6')-Ib,blaCTX-M-15,aac(3)-IIe,blaOXA,blaTEM",ST14,Klebsiella pneumoniae,not collected,2021-01-13,Kindred SNU,2020-12-26,CL2021-00325063,71.84,5538710,OXA-1;TEM-122*?;CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;TEM-122*?;CTX-M-15;KPC-2,ST14,35.45,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/3f8ad2aa-30d2-4517-955c-4b62ed159098/basespace_fetch/6cb01dbf-e473-491e-90c2-2858da5a906f/call-fetch_bs/CL2021-00325063_R1.fastq.gz,NV-MN01149-210526,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000255,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00333645,21-00333645,SAMN30861869,NV_NSPHL_0000256,"blaSHV-28,fosA,qnrB1,kdeA,emrD,blaKPC-2,blaCTX-M-15,catB3,blaOXA-1,blaOXA,aac(6')-Ib",ST14,Klebsiella pneumoniae,not collected,2021-02-03,UMC,2021-01-24,CL2021-00333645-NV-MN01149-210609,86.69,5476483,CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;CTX-M-15;KPC-2,ST14,33.25,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/f1dc6197-44fd-44d3-8fed-6e9aaf6d7dc0/basespace_fetch/96aafbcb-cbf8-4446-be47-b71bf346c0e2/call-fetch_bs/CL2021-00333645_R1.fastq.gz,NV-MN01149-210609,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000256,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00333648,21-00333648,SAMN30861868,NV_NSPHL_0000257,"qnrB1,fosA,kdeA,blaSHV-28,emrD,blaKPC-2,catB3,blaOXA-1,aac(6')-Ib,blaOXA,blaCTX-M-15,aac(3)-IIe",ST14,Klebsiella pneumoniae,not collected,2021-02-03,UMC,2021-01-09,CL2021-00333648-NV-MN01149-210609,56.95,5486416,CTX-M-15,qnrB1.v2^;OXA-1;CTX-M-15;KPC-2,ST14,33.15,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/f1dc6197-44fd-44d3-8fed-6e9aaf6d7dc0/basespace_fetch/061c772e-8b7d-41a7-8308-957415d48cab/call-fetch_bs/CL2021-00333648_R1.fastq.gz,NV-MN01149-210609,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000257,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
