taxid,parent_taxid,name,rank
644337,29459,Brucella melitensis bv. 1,no rank
491,487,Neisseria meningitidis serogroup B,serogroup
1280,1279,Staphylococcus aureus,species
216495,1311,Streptococcus agalactiae serogroup III,serogroup
42897,623,Shigella flexneri 2a,serotype
83333,562,Escherichia coli K-12,strain
1301,1300,Streptococcus,genus
301447,1314,Streptococcus pyogenes serotype M1,serotype
111527,32008,pseudomallei group,species group
2039,2038,Tropheryma whipplei,species
54736,590,Salmonella bongori,species
303,136845,Pseudomonas putida,species
287,136841,Pseudomonas aeruginosa,species
340,339,Xanthomonas campestris pv. campestris,no rank
29461,234,Brucella suis,species
519,517,Bordetella parapertussis,species
53413,338,Xanthomonas axonopodis,species
445,444,Legionella,genus
2371,2370,Xylella fastidiosa,species
781,114277,Rickettsia conorii,species
672,662,Vibrio vulnificus,species
83334,562,Escherichia coli O157:H7,serotype
301448,1314,Streptococcus pyogenes serotype M3,serotype
323,251701,Pseudomonas syringae pv. tomato,no rank
385964,632,Yersinia pestis subsp. pestis,subspecies
1396,86661,Bacillus cereus,species
1279,90964,Staphylococcus,genus
301451,1314,Streptococcus pyogenes serotype M18,serotype
1313,1301,Streptococcus pneumoniae,species
1392,86661,Bacillus anthracis,species
210,209,Helicobacter pylori,species
234,2826938,Brucella,genus
2038,2805591,Tropheryma,genus
487,482,Neisseria meningitidis,species
482,481,Neisseria,genus
1763,1762,Mycobacterium,genus
136845,286,Pseudomonas putida group,species group
90964,1385,Staphylococcaceae,family
28901,590,Salmonella enterica,species
32008,119060,Burkholderia,genus
338,32033,Xanthomonas,genus
444,118969,Legionellaceae,family
662,641,Vibrio,genus
1485,31979,Clostridium,genus
1300,186826,Streptococcaceae,family
2370,32033,Xylella,genus
339,338,Xanthomonas campestris,species
209,72293,Helicobacter,genus
114292,780,typhus group,species group
1903410,91347,Pectobacteriaceae,family
86661,1386,Bacillus cereus group,species group
517,506,Bordetella,genus
590,543,Salmonella,genus
77643,1763,Mycobacterium tuberculosis complex,species group
29459,234,Brucella melitensis,species
561,543,Escherichia,genus
623,620,Shigella flexneri,species
1314,1301,Streptococcus pyogenes,species
1903411,91347,Yersiniaceae,family
1311,1301,Streptococcus agalactiae,species
136841,286,Pseudomonas aeruginosa group,species group
1649845,629,Yersinia pseudotuberculosis complex,species group
114277,780,spotted fever group,species group
251701,136849,Pseudomonas syringae group genomosp. 3,species
780,33988,Rickettsia,genus
506,80840,Alcaligenaceae,family
1385,91061,Bacillales,order
186826,91061,Lactobacillales,order
136849,286,Pseudomonas syringae group,species group
2826938,118882,Brucella/Ochrobactrum group,no rank
543,91347,Enterobacteriaceae,family
72293,213849,Helicobacteraceae,family
32033,135614,Xanthomonadaceae,family
91347,1236,Enterobacterales,order
2805591,85006,Tropherymataceae,family
286,135621,Pseudomonas,genus
1386,186817,Bacillus,genus
31979,186802,Clostridiaceae,family
1762,85007,Mycobacteriaceae,family
620,543,Shigella,genus
481,206351,Neisseriaceae,family
119060,80840,Burkholderiaceae,family
118969,1236,Legionellales,order
641,135623,Vibrionaceae,family
118882,356,Brucellaceae,family
213849,29547,Campylobacterales,order
85006,1760,Micrococcales,order
186817,1385,Bacillaceae,family
85007,1760,Corynebacteriales,order
80840,28216,Burkholderiales,order
91061,1239,Bacilli,class
186802,186801,Eubacteriales,order
206351,28216,Neisseriales,order
135621,72274,Pseudomonadaceae,family
135623,1236,Vibrionales,order
135614,1236,Xanthomonadales,order
33988,775,Rickettsieae,tribe
1236,1224,Gammaproteobacteria,class
1760,201174,Actinomycetia,class
1239,1783272,Firmicutes,phylum
72274,1236,Pseudomonadales,order
29547,68525,Epsilonproteobacteria,class
356,28211,Hyphomicrobiales,order
775,766,Rickettsiaceae,family
186801,1239,Clostridia,class
1224,2,Proteobacteria,phylum
28216,1224,Betaproteobacteria,class
1783272,2,Terrabacteria group,clade
766,28211,Rickettsiales,order
68525,1224,delta/epsilon subdivisions,subphylum
2,131567,Bacteria,superkingdom
201174,1783272,Actinobacteria,phylum
28211,1224,Alphaproteobacteria,class
131567,1,cellular organisms,no rank
1,0,root,no rank
