,GCA_000002545.2,GCA_001051215.1,GCA_001417835.1,GCA_001761485.1,GCA_001854445.1,GCA_001854445.2,GCA_003013715.2,GCA_003033855.1,GCA_003054405.1,GCA_003054445.1,GCA_003086655.1,GCA_003709285.1,GCA_004328465.1,GCA_008275145.1,GCA_009498055.1,GCA_009498075.1,GCA_009498095.1,GCA_009498115.1,GCA_009498135.1,GCA_014217455.1,GCA_014217725.1,GCA_014490615.1,GCA_014673535.1,GCA_016495645.1,GCA_016495665.1,GCA_016495685.1,GCA_016625955.1,GCA_016772135.1,GCA_016772155.1,GCA_016772175.1,GCA_016772195.1,GCA_016772215.1,GCA_016772235.1,GCA_016809505.1,GCA_018219195.1,GCA_019039235.1,GCA_019039275.1,GCA_019039295.1,GCA_019039315.1,GCA_019039335.1,GCA_019039355.1,GCA_019039375.1,GCA_019039395.1,GCA_019039415.1,GCA_019039435.1,GCA_019039455.1,GCA_019039475.1,GCA_019039495.1,GCA_019039515.1,GCA_019039535.1,GCA_019039555.1,GCA_019039575.1,GCA_019039595.1,GCA_019039615.1,GCA_019039635.1,GCA_019039655.1,GCA_019039675.1,GCA_019039695.1,GCA_019039715.1,GCA_019039735.1,GCA_019039755.1,GCA_019039775.1,GCA_019332045.1,GCA_020450195.1,GCA_020450215.1,GCA_020450235.1,GCA_020450265.1,GCA_021172205.1,GCA_022695735.1,GCA_023272835.1,GCA_023508825.1
GCA_003086655.1,0.9883,0.0320,0.9903,0.9937,0.9902,0.9902,0.9922,0.9902,0.9902,0.9900,0.0000,0.1611,0.0294,0.9923,0.9919,0.9919,0.9919,0.9919,0.9919,0.9923,0.9884,0.9936,0.9920,0.9922,0.9922,0.9922,0.9901,0.9920,0.9922,0.9923,0.9924,0.9923,0.9920,0.9923,0.0679,0.9921,0.9921,0.9920,0.9920,0.9920,0.9920,0.9921,0.9920,0.9921,0.9920,0.9921,0.9920,0.9920,0.9921,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9921,0.9921,0.9921,0.9920,0.9921,0.9920,0.9885,0.9885,0.9885,0.9885,0.0975,0.1640,0.9935,0.1560
GCA_003709285.1,0.9884,0.1636,0.9902,0.9937,0.9901,0.9901,0.9921,0.9901,0.9901,0.9899,0.1611,0.0000,0.1624,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9921,0.9885,0.9936,0.9919,0.9921,0.9921,0.9921,0.9900,0.9919,0.9921,0.9921,0.9922,0.9921,0.9919,0.9921,0.1708,0.9919,0.9920,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9919,0.9885,0.9885,0.9885,0.9885,0.1622,0.1497,0.9935,0.1056
GCA_004328465.1,0.9882,0.0042,0.9901,0.9938,0.9902,0.9902,0.9921,0.9902,0.9902,0.9901,0.0294,0.1624,0.0000,0.9922,0.9920,0.9920,0.9920,0.9920,0.9920,0.9923,0.9884,0.9937,0.9920,0.9922,0.9922,0.9922,0.9901,0.9920,0.9922,0.9922,0.9924,0.9923,0.9920,0.9922,0.0767,0.9920,0.9921,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9921,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9884,0.9884,0.9884,0.9884,0.1061,0.1655,0.9935,0.1568
GCA_008275145.1,0.9931,0.9922,0.9922,0.9930,0.9921,0.9921,0.3109,0.9923,0.9923,0.9922,0.9923,0.9922,0.9922,0.0000,0.9904,0.9904,0.9903,0.9904,0.9904,0.3043,0.9929,0.9929,0.2988,0.3098,0.3094,0.3103,0.9921,0.2985,0.0126,0.3014,0.3023,0.3018,0.2999,0.4314,0.9922,0.2995,0.2995,0.2994,0.2995,0.2995,0.2995,0.2996,0.2994,0.2992,0.2996,0.2995,0.2995,0.2994,0.2994,0.2995,0.2994,0.2993,0.2995,0.2994,0.2994,0.2994,0.2993,0.2996,0.2995,0.2995,0.2994,0.2998,0.2994,0.9928,0.9928,0.9928,0.9928,0.9923,0.9925,0.9930,0.9921
GCA_009498055.1,0.9922,0.9920,0.9917,0.9936,0.9918,0.9918,0.9909,0.9915,0.9915,0.9914,0.9919,0.9922,0.9920,0.9904,0.0000,0.0006,0.0010,0.0012,0.0001,0.9909,0.9921,0.9936,0.9908,0.9908,0.9908,0.9908,0.9918,0.9909,0.9904,0.9909,0.9910,0.9910,0.9908,0.9910,0.9921,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9922,0.9922,0.9922,0.9922,0.9919,0.9920,0.9935,0.9923
GCA_009498075.1,0.9922,0.9920,0.9917,0.9936,0.9918,0.9918,0.9909,0.9915,0.9915,0.9914,0.9919,0.9922,0.9920,0.9904,0.0006,0.0000,0.0016,0.0011,0.0007,0.9909,0.9921,0.9936,0.9908,0.9908,0.9908,0.9908,0.9918,0.9909,0.9904,0.9909,0.9910,0.9910,0.9908,0.9910,0.9921,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9922,0.9922,0.9922,0.9922,0.9919,0.9920,0.9935,0.9923
GCA_009498095.1,0.9922,0.9920,0.9918,0.9936,0.9919,0.9919,0.9909,0.9914,0.9914,0.9913,0.9919,0.9922,0.9920,0.9903,0.0010,0.0016,0.0000,0.0006,0.0011,0.9909,0.9921,0.9936,0.9908,0.9908,0.9908,0.9908,0.9918,0.9909,0.9904,0.9909,0.9910,0.9910,0.9908,0.9910,0.9921,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9922,0.9922,0.9922,0.9922,0.9919,0.9920,0.9935,0.9923
GCA_009498115.1,0.9922,0.9920,0.9918,0.9936,0.9919,0.9919,0.9909,0.9915,0.9915,0.9914,0.9919,0.9922,0.9920,0.9904,0.0012,0.0011,0.0006,0.0000,0.0013,0.9909,0.9921,0.9936,0.9908,0.9908,0.9908,0.9908,0.9918,0.9909,0.9904,0.9909,0.9910,0.9910,0.9908,0.9910,0.9921,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9908,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9908,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9922,0.9922,0.9922,0.9922,0.9919,0.9920,0.9935,0.9923
GCA_009498135.1,0.9922,0.9920,0.9917,0.9936,0.9918,0.9918,0.9909,0.9915,0.9914,0.9913,0.9919,0.9922,0.9920,0.9904,0.0001,0.0007,0.0011,0.0013,0.0000,0.9909,0.9921,0.9936,0.9908,0.9908,0.9908,0.9908,0.9918,0.9909,0.9904,0.9909,0.9910,0.9910,0.9908,0.9910,0.9921,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9909,0.9922,0.9922,0.9922,0.9922,0.9919,0.9920,0.9935,0.9923
GCA_014217455.1,0.9928,0.9922,0.9920,0.9929,0.9919,0.9919,0.1462,0.9927,0.9926,0.9925,0.9923,0.9921,0.9923,0.3043,0.9909,0.9909,0.9909,0.9909,0.9909,0.0000,0.9928,0.9928,0.0945,0.1438,0.1434,0.1445,0.9919,0.0955,0.3001,0.0088,0.0137,0.0191,0.0979,0.4198,0.9922,0.0962,0.0964,0.0960,0.0961,0.0962,0.0961,0.0963,0.0963,0.0960,0.0963,0.0962,0.0961,0.0961,0.0963,0.0961,0.0960,0.0961,0.0962,0.0960,0.0960,0.0960,0.0961,0.0963,0.0962,0.0962,0.0960,0.0965,0.0960,0.9926,0.9926,0.9926,0.9926,0.9925,0.9924,0.9930,0.9921
GCA_014217725.1,0.1669,0.9883,0.9890,0.9931,0.9888,0.9888,0.9928,0.9907,0.9909,0.9909,0.9884,0.9885,0.9884,0.9929,0.9921,0.9921,0.9921,0.9921,0.9921,0.9928,0.0000,0.9931,0.9926,0.9928,0.9927,0.9928,0.9888,0.9927,0.9930,0.9928,0.9928,0.9928,0.9927,0.9925,0.9884,0.9927,0.9927,0.9926,0.9926,0.9927,0.9926,0.9927,0.9926,0.9927,0.9926,0.9927,0.9926,0.9927,0.9927,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9927,0.9927,0.9927,0.9926,0.9927,0.9926,0.1780,0.1780,0.1780,0.1781,0.9881,0.9882,0.9932,0.9884
GCA_014490615.1,0.9931,0.9937,0.9937,0.0852,0.9937,0.9937,0.9930,0.9939,0.9938,0.9939,0.9936,0.9936,0.9937,0.9929,0.9936,0.9936,0.9936,0.9936,0.9936,0.9928,0.9931,0.0000,0.9928,0.9930,0.9930,0.9930,0.9938,0.9928,0.9929,0.9928,0.9928,0.9929,0.9928,0.9926,0.9935,0.9928,0.9929,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9931,0.9931,0.9931,0.9931,0.9936,0.9938,0.0852,0.9937
GCA_014673535.1,0.9926,0.9920,0.9921,0.9928,0.9920,0.9920,0.1432,0.9926,0.9925,0.9924,0.9920,0.9919,0.9920,0.2988,0.9908,0.9908,0.9908,0.9908,0.9908,0.0945,0.9926,0.9928,0.0000,0.1410,0.1406,0.1415,0.9920,0.0018,0.2943,0.0939,0.0954,0.0965,0.0058,0.4169,0.9920,0.0039,0.0040,0.0037,0.0038,0.0039,0.0038,0.0040,0.0039,0.0045,0.0039,0.0039,0.0040,0.0037,0.0041,0.0041,0.0037,0.0037,0.0039,0.0037,0.0037,0.0037,0.0037,0.0040,0.0039,0.0039,0.0037,0.0041,0.0037,0.9925,0.9925,0.9925,0.9925,0.9922,0.9922,0.9929,0.9919
GCA_016495645.1,0.9927,0.9922,0.9920,0.9930,0.9920,0.9920,0.0105,0.9924,0.9922,0.9922,0.9922,0.9921,0.9922,0.3098,0.9908,0.9908,0.9908,0.9908,0.9908,0.1438,0.9928,0.9930,0.1410,0.0000,0.0017,0.0080,0.9919,0.1405,0.3049,0.1416,0.1388,0.1394,0.1393,0.4242,0.9922,0.1407,0.1408,0.1406,0.1407,0.1407,0.1407,0.1409,0.1403,0.1402,0.1408,0.1408,0.1407,0.1406,0.1405,0.1402,0.1406,0.1405,0.1407,0.1406,0.1406,0.1406,0.1405,0.1408,0.1408,0.1407,0.1406,0.1409,0.1406,0.9926,0.9926,0.9926,0.9926,0.9924,0.9924,0.9931,0.9922
GCA_016495665.1,0.9927,0.9922,0.9920,0.9930,0.9920,0.9920,0.0102,0.9924,0.9922,0.9922,0.9922,0.9921,0.9922,0.3094,0.9908,0.9908,0.9908,0.9908,0.9908,0.1434,0.9927,0.9930,0.1406,0.0017,0.0000,0.0080,0.9919,0.1401,0.3046,0.1413,0.1385,0.1391,0.1389,0.4241,0.9922,0.1403,0.1403,0.1402,0.1402,0.1403,0.1402,0.1405,0.1398,0.1398,0.1404,0.1404,0.1403,0.1402,0.1401,0.1397,0.1401,0.1401,0.1403,0.1402,0.1402,0.1401,0.1401,0.1404,0.1404,0.1403,0.1401,0.1405,0.1401,0.9926,0.9926,0.9926,0.9926,0.9923,0.9924,0.9931,0.9922
GCA_016495685.1,0.9927,0.9921,0.9921,0.9930,0.9921,0.9921,0.0041,0.9924,0.9922,0.9922,0.9922,0.9921,0.9922,0.3103,0.9908,0.9908,0.9908,0.9908,0.9908,0.1445,0.9928,0.9930,0.1415,0.0080,0.0080,0.0000,0.9920,0.1411,0.3055,0.1423,0.1394,0.1401,0.1399,0.4236,0.9921,0.1413,0.1413,0.1411,0.1412,0.1413,0.1412,0.1414,0.1408,0.1407,0.1413,0.1413,0.1412,0.1412,0.1411,0.1407,0.1411,0.1410,0.1413,0.1411,0.1411,0.1411,0.1410,0.1414,0.1413,0.1413,0.1411,0.1414,0.1411,0.9926,0.9926,0.9926,0.9926,0.9923,0.9924,0.9931,0.9921
GCA_016625955.1,0.9890,0.9901,0.1171,0.9939,0.1197,0.1197,0.9920,0.9910,0.9910,0.9908,0.9901,0.9900,0.9901,0.9921,0.9918,0.9918,0.9918,0.9918,0.9918,0.9919,0.9888,0.9938,0.9920,0.9919,0.9919,0.9920,0.0000,0.9920,0.9922,0.9919,0.9920,0.9919,0.9920,0.9921,0.9901,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9891,0.9891,0.9891,0.9891,0.9898,0.9899,0.9938,0.9902
GCA_016772135.1,0.9926,0.9920,0.9921,0.9928,0.9920,0.9920,0.1428,0.9926,0.9925,0.9925,0.9920,0.9919,0.9920,0.2985,0.9909,0.9909,0.9909,0.9909,0.9909,0.0955,0.9927,0.9928,0.0018,0.1405,0.1401,0.1411,0.9920,0.0000,0.2939,0.0927,0.0948,0.0959,0.0045,0.4165,0.9920,0.0025,0.0027,0.0024,0.0024,0.0025,0.0024,0.0027,0.0026,0.0032,0.0026,0.0026,0.0027,0.0024,0.0027,0.0027,0.0023,0.0024,0.0025,0.0024,0.0024,0.0023,0.0024,0.0027,0.0026,0.0026,0.0023,0.0028,0.0023,0.9925,0.9925,0.9925,0.9925,0.9922,0.9922,0.9929,0.9919
GCA_016772155.1,0.9931,0.9922,0.9922,0.9930,0.9921,0.9921,0.3064,0.9923,0.9923,0.9922,0.9922,0.9921,0.9922,0.0126,0.9904,0.9904,0.9904,0.9904,0.9904,0.3001,0.9930,0.9929,0.2943,0.3049,0.3046,0.3055,0.9922,0.2939,0.0000,0.2971,0.2971,0.2974,0.2954,0.4279,0.9922,0.2950,0.2950,0.2949,0.2949,0.2950,0.2950,0.2951,0.2949,0.2947,0.2951,0.2950,0.2950,0.2949,0.2949,0.2950,0.2949,0.2948,0.2950,0.2949,0.2949,0.2949,0.2948,0.2951,0.2950,0.2950,0.2949,0.2948,0.2949,0.9929,0.9929,0.9929,0.9929,0.9923,0.9924,0.9930,0.9921
GCA_016772175.1,0.9928,0.9922,0.9920,0.9929,0.9919,0.9919,0.1442,0.9927,0.9926,0.9926,0.9923,0.9921,0.9922,0.3014,0.9909,0.9909,0.9909,0.9909,0.9909,0.0088,0.9928,0.9928,0.0939,0.1416,0.1413,0.1423,0.9919,0.0927,0.2971,0.0000,0.0090,0.0125,0.0920,0.4178,0.9922,0.0926,0.0928,0.0925,0.0925,0.0926,0.0925,0.0928,0.0925,0.0924,0.0927,0.0927,0.0926,0.0925,0.0927,0.0925,0.0924,0.0925,0.0926,0.0925,0.0925,0.0924,0.0925,0.0927,0.0927,0.0927,0.0924,0.0929,0.0924,0.9926,0.9926,0.9926,0.9926,0.9924,0.9924,0.9929,0.9921
GCA_016772195.1,0.9927,0.9923,0.9920,0.9929,0.9920,0.9920,0.1414,0.9927,0.9926,0.9926,0.9924,0.9922,0.9924,0.3023,0.9910,0.9910,0.9910,0.9910,0.9910,0.0137,0.9928,0.9928,0.0954,0.1388,0.1385,0.1394,0.9920,0.0948,0.2971,0.0090,0.0000,0.0130,0.0967,0.4179,0.9923,0.0950,0.0952,0.0948,0.0949,0.0950,0.0949,0.0952,0.0948,0.0944,0.0951,0.0950,0.0950,0.0949,0.0948,0.0945,0.0948,0.0949,0.0950,0.0948,0.0948,0.0948,0.0949,0.0951,0.0950,0.0951,0.0948,0.0947,0.0948,0.9926,0.9926,0.9926,0.9926,0.9926,0.9925,0.9929,0.9922
GCA_016772215.1,0.9927,0.9923,0.9920,0.9929,0.9919,0.9919,0.1420,0.9927,0.9926,0.9926,0.9923,0.9921,0.9923,0.3018,0.9910,0.9910,0.9910,0.9910,0.9910,0.0191,0.9928,0.9929,0.0965,0.1394,0.1391,0.1401,0.9919,0.0959,0.2974,0.0125,0.0130,0.0000,0.0964,0.4183,0.9923,0.0974,0.0975,0.0972,0.0973,0.0974,0.0973,0.0975,0.0973,0.0969,0.0974,0.0974,0.0973,0.0973,0.0973,0.0972,0.0972,0.0973,0.0974,0.0972,0.0972,0.0972,0.0973,0.0975,0.0974,0.0974,0.0972,0.0975,0.0972,0.9926,0.9926,0.9926,0.9926,0.9925,0.9925,0.9930,0.9922
GCA_016772235.1,0.9926,0.9920,0.9921,0.9928,0.9920,0.9920,0.1415,0.9926,0.9925,0.9924,0.9920,0.9919,0.9920,0.2999,0.9908,0.9908,0.9908,0.9908,0.9908,0.0979,0.9927,0.9928,0.0058,0.1393,0.1389,0.1399,0.9920,0.0045,0.2954,0.0920,0.0967,0.0964,0.0000,0.4168,0.9920,0.0030,0.0032,0.0029,0.0030,0.0030,0.0030,0.0032,0.0030,0.0037,0.0031,0.0031,0.0032,0.0029,0.0032,0.0033,0.0028,0.0029,0.0030,0.0029,0.0029,0.0028,0.0029,0.0032,0.0031,0.0031,0.0028,0.0033,0.0028,0.9925,0.9925,0.9925,0.9925,0.9922,0.9922,0.9929,0.9919
GCA_016809505.1,0.9925,0.9922,0.9923,0.9926,0.9921,0.9921,0.4249,0.9923,0.9924,0.9924,0.9923,0.9921,0.9922,0.4314,0.9910,0.9910,0.9910,0.9910,0.9910,0.4198,0.9925,0.9926,0.4169,0.4242,0.4241,0.4236,0.9921,0.4165,0.4279,0.4178,0.4179,0.4183,0.4168,0.0000,0.9923,0.4169,0.4169,0.4168,0.4168,0.4168,0.4168,0.4170,0.4166,0.4169,0.4169,0.4169,0.4168,0.4167,0.4168,0.4166,0.4167,0.4167,0.4168,0.4168,0.4168,0.4167,0.4167,0.4170,0.4169,0.4169,0.4167,0.4171,0.4167,0.9924,0.9924,0.9924,0.9924,0.9923,0.9925,0.9926,0.9922
