taxid,parent_taxid,name,rank,lineage_taxids,lineage,nchildren,ngenomes
99286,237,Flavobacterium frigidarium,species,"2, 976, 117743, 200644, 49546, 237, 99286",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium frigidarium,0,1
150146,237,Flavobacterium gillisiae,species,"2, 976, 117743, 200644, 49546, 237, 150146",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium gillisiae,0,1
150172,237,Flavobacterium tegetincola,species,"2, 976, 117743, 200644, 49546, 237, 150172",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium tegetincola,0,1
178355,237,Flavobacterium omnivorum,species,"2, 976, 117743, 200644, 49546, 237, 178355",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium omnivorum,0,1
178356,237,Flavobacterium xinjiangense,species,"2, 976, 117743, 200644, 49546, 237, 178356",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium xinjiangense,0,1
180441,237,Flavobacterium limicola,species,"2, 976, 117743, 200644, 49546, 237, 180441",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium limicola,0,1
206041,237,Flavobacterium gelidilacus,species,"2, 976, 117743, 200644, 49546, 237, 206041",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium gelidilacus,0,1
229203,237,Flavobacterium degerlachei,species,"2, 976, 117743, 200644, 49546, 237, 229203",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium degerlachei,0,1
229204,237,Flavobacterium frigoris,species,"2, 976, 117743, 200644, 49546, 237, 229204",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium frigoris,0,1
229205,237,Flavobacterium micromati,species,"2, 976, 117743, 200644, 49546, 237, 229205",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium micromati,0,1
249351,237,Flavobacterium psychrolimnae,species,"2, 976, 117743, 200644, 49546, 237, 249351",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium psychrolimnae,0,1
249352,237,Flavobacterium fryxellicola,species,"2, 976, 117743, 200644, 49546, 237, 249352",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium fryxellicola,0,1
262320,237,Flavobacterium frigidimaris,species,"2, 976, 117743, 200644, 49546, 237, 262320",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium frigidimaris,0,1
271155,237,Flavobacterium antarcticum,species,"2, 976, 117743, 200644, 49546, 237, 271155",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium antarcticum,0,1
271156,237,Flavobacterium weaverense,species,"2, 976, 117743, 200644, 49546, 237, 271156",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium weaverense,0,1
271157,237,Flavobacterium segetis,species,"2, 976, 117743, 200644, 49546, 237, 271157",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium segetis,0,1
280093,237,Flavobacterium granuli,species,"2, 976, 117743, 200644, 49546, 237, 280093",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium granuli,0,1
281361,237,Flavobacterium denitrificans,species,"2, 976, 117743, 200644, 49546, 237, 281361",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium denitrificans,0,1
295428,237,Flavobacterium cheniae,species,"2, 976, 117743, 200644, 49546, 237, 295428",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium cheniae,0,1
312277,237,Flavobacterium indicum,species,"2, 976, 117743, 200644, 49546, 237, 312277",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium indicum,0,1
329186,237,Flavobacterium saliperosum,species,"2, 976, 117743, 200644, 49546, 237, 329186",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium saliperosum,0,1
344881,237,Flavobacterium soli,species,"2, 976, 117743, 200644, 49546, 237, 344881",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium soli,0,1
350893,237,Flavobacterium daejeonense,species,"2, 976, 117743, 200644, 49546, 237, 350893",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium daejeonense,0,1
350894,237,Flavobacterium suncheonense,species,"2, 976, 117743, 200644, 49546, 237, 350894",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium suncheonense,0,1
362413,237,Flavobacterium aquidurense,species,"2, 976, 117743, 200644, 49546, 237, 362413",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium aquidurense,0,1
362418,237,Flavobacterium reichenbachii,species,"2, 976, 117743, 200644, 49546, 237, 362418",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium reichenbachii,0,1
370974,237,Flavobacterium filum,species,"2, 976, 117743, 200644, 49546, 237, 370974",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium filum,0,1
370975,237,Flavobacterium croceum,species,"2, 976, 117743, 200644, 49546, 237, 370975",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium croceum,0,1
370979,237,Flavobacterium defluvii,species,"2, 976, 117743, 200644, 49546, 237, 370979",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium defluvii,0,1
386300,237,Flavobacterium glaciei,species,"2, 976, 117743, 200644, 49546, 237, 386300",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium glaciei,0,1
387094,237,Flavobacterium hercynium,species,"2, 976, 117743, 200644, 49546, 237, 387094",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium hercynium,0,1
402734,237,Flavobacterium terrigena,species,"2, 976, 117743, 200644, 49546, 237, 402734",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium terrigena,0,1
415425,237,Flavobacterium terrae,species,"2, 976, 117743, 200644, 49546, 237, 415425",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium terrae,0,1
416016,237,Flavobacterium cucumis,species,"2, 976, 117743, 200644, 49546, 237, 416016",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium cucumis,0,1
426226,237,Flavobacterium subsaxonicum,species,"2, 976, 117743, 200644, 49546, 237, 426226",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium subsaxonicum,0,1
428988,237,Flavobacterium lindanitolerans,species,"2, 976, 117743, 200644, 49546, 237, 428988",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium lindanitolerans,0,1
443612,237,Flavobacterium resistens,species,"2, 976, 117743, 200644, 49546, 237, 443612",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium resistens,0,1
459471,237,Flavobacterium tiangeerense,species,"2, 976, 117743, 200644, 49546, 237, 459471",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium tiangeerense,0,1
459526,237,Flavobacterium anhuiense,species,"2, 976, 117743, 200644, 49546, 237, 459526",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium anhuiense,0,1
468056,237,Flavobacterium fluvii,species,"2, 976, 117743, 200644, 49546, 237, 468056",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium fluvii,0,1
490189,237,Flavobacterium caeni,species,"2, 976, 117743, 200644, 49546, 237, 490189",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium caeni,0,1
498292,237,Flavobacterium swingsii,species,"2, 976, 117743, 200644, 49546, 237, 498292",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium swingsii,0,1
498301,237,Flavobacterium rivuli,species,"2, 976, 117743, 200644, 49546, 237, 498301",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium rivuli,0,1
503361,237,Flavobacterium sasangense,species,"2, 976, 117743, 200644, 49546, 237, 503361",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium sasangense,0,1
510946,237,Flavobacterium cauense,species,"2, 976, 117743, 200644, 49546, 237, 510946",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium cauense,0,1
551990,237,Flavobacterium glycines,species,"2, 976, 117743, 200644, 49546, 237, 551990",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium glycines,0,1
591204,237,Flavobacterium macrobrachii,species,"2, 976, 117743, 200644, 49546, 237, 591204",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium macrobrachii,0,1
604089,237,Flavobacterium sinopsychrotolerans,species,"2, 976, 117743, 200644, 49546, 237, 604089",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium sinopsychrotolerans,0,1
657326,237,Flavobacterium beibuense,species,"2, 976, 117743, 200644, 49546, 237, 657326",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium beibuense,0,1
683124,237,Flavobacterium haoranii,species,"2, 976, 117743, 200644, 49546, 237, 683124",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium haoranii,0,1
687844,237,Flavobacterium ginsenosidimutans,species,"2, 976, 117743, 200644, 49546, 237, 687844",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium ginsenosidimutans,0,1
706186,237,Flavobacterium dankookense,species,"2, 976, 117743, 200644, 49546, 237, 706186",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium dankookense,0,1
728056,237,Flavobacterium oncorhynchi,species,"2, 976, 117743, 200644, 49546, 237, 728056",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium oncorhynchi,0,1
739143,237,Flavobacterium phragmitis,species,"2, 976, 117743, 200644, 49546, 237, 739143",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium phragmitis,0,1
913024,237,Flavobacterium ummariense,species,"2, 976, 117743, 200644, 49546, 237, 913024",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium ummariense,0,1
935223,237,Flavobacterium xueshanense,species,"2, 976, 117743, 200644, 49546, 237, 935223",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium xueshanense,0,1
935224,237,Flavobacterium urumqiense,species,"2, 976, 117743, 200644, 49546, 237, 935224",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium urumqiense,0,1
946677,237,Flavobacterium chilense,species,"2, 976, 117743, 200644, 49546, 237, 946677",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium chilense,0,1
946678,237,Flavobacterium araucananum,species,"2, 976, 117743, 200644, 49546, 237, 946678",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium araucananum,0,1
1038845,237,Flavobacterium rakeshii,species,"2, 976, 117743, 200644, 49546, 237, 1038845",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium rakeshii,0,1
1101402,237,Flavobacterium aciduliphilum,species,"2, 976, 117743, 200644, 49546, 237, 1101402",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium aciduliphilum,0,1
1114861,237,Flavobacterium collinsii,species,"2, 976, 117743, 200644, 49546, 237, 1114861",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium collinsii,0,1
1114867,237,Flavobacterium plurextorum,species,"2, 976, 117743, 200644, 49546, 237, 1114867",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium plurextorum,0,1
1114873,237,Flavobacterium tructae,species,"2, 976, 117743, 200644, 49546, 237, 1114873",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium tructae,0,2
1114874,237,Flavobacterium piscis,species,"2, 976, 117743, 200644, 49546, 237, 1114874",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium piscis,0,1
1124188,237,Flavobacterium fontis,species,"2, 976, 117743, 200644, 49546, 237, 1124188",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium fontis,0,1
1128970,237,Flavobacterium noncentrifugens,species,"2, 976, 117743, 200644, 49546, 237, 1128970",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium noncentrifugens,0,1
1159016,237,Flavobacterium marinum,species,"2, 976, 117743, 200644, 49546, 237, 1159016",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium marinum,0,1
1202724,237,Flavobacterium akiainvivens,species,"2, 976, 117743, 200644, 49546, 237, 1202724",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium akiainvivens,0,1
1236486,237,Flavobacterium aquaticum,species,"2, 976, 117743, 200644, 49546, 237, 1236486",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium aquaticum,0,1
1265740,237,Flavobacterium cutihirudinis,species,"2, 976, 117743, 200644, 49546, 237, 1265740",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium cutihirudinis,0,1
1299341,237,Flavobacterium urocaniciphilum,species,"2, 976, 117743, 200644, 49546, 237, 1299341",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium urocaniciphilum,0,1
1306519,237,Flavobacterium commune,species,"2, 976, 117743, 200644, 49546, 237, 1306519",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium commune,0,1
1341165,237,Flavobacterium enshiense,species,"2, 976, 117743, 200644, 49546, 237, 1341165",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium enshiense,0,1
1353778,237,Flavobacterium lacus,species,"2, 976, 117743, 200644, 49546, 237, 1353778",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium lacus,0,1
1355330,237,Flavobacterium faecale,species,"2, 976, 117743, 200644, 49546, 237, 1355330",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium faecale,0,1
1393049,237,Flavobacterium daemonense,species,"2, 976, 117743, 200644, 49546, 237, 1393049",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium daemonense,0,1
1401027,237,Flavobacterium limnosediminis,species,"2, 976, 117743, 200644, 49546, 237, 1401027",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium limnosediminis,0,1
1476463,237,Flavobacterium palustre,species,"2, 976, 117743, 200644, 49546, 237, 1476463",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium palustre,0,1
1492737,237,Flavobacterium gilvum,species,"2, 976, 117743, 200644, 49546, 237, 1492737",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium gilvum,0,1
1492738,237,Flavobacterium seoulense,species,"2, 976, 117743, 200644, 49546, 237, 1492738",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium seoulense,0,1
1540163,237,Flavobacterium endophyticum,species,"2, 976, 117743, 200644, 49546, 237, 1540163",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium endophyticum,0,1
1544455,237,Flavobacterium jejuense,species,"2, 976, 117743, 200644, 49546, 237, 1544455",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium jejuense,0,1
1617283,237,Flavobacterium nitrogenifigens,species,"2, 976, 117743, 200644, 49546, 237, 1617283",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium nitrogenifigens,0,1
1646119,237,Flavobacterium gossypii,species,"2, 976, 117743, 200644, 49546, 237, 1646119",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium gossypii,0,1
1677894,237,Flavobacterium lutivivi,species,"2, 976, 117743, 200644, 49546, 237, 1677894",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium lutivivi,0,1
1678728,237,Flavobacterium kingsejongi,species,"2, 976, 117743, 200644, 49546, 237, 1678728",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium kingsejongi,0,1
1682742,237,Flavobacterium aquicola,species,"2, 976, 117743, 200644, 49546, 237, 1682742",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium aquicola,0,1
1685414,237,Flavobacterium tistrianum,species,"2, 976, 117743, 200644, 49546, 237, 1685414",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium tistrianum,0,1
1756020,237,Flavobacterium orientale,species,"2, 976, 117743, 200644, 49546, 237, 1756020",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium orientale,0,1
1763534,237,Flavobacterium crassostreae,species,"2, 976, 117743, 200644, 49546, 237, 1763534",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium crassostreae,0,1
1767027,237,Flavobacterium suaedae,species,"2, 976, 117743, 200644, 49546, 237, 1767027",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium suaedae,0,1
1784713,237,Flavobacterium arcticum,species,"2, 976, 117743, 200644, 49546, 237, 1784713",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium arcticum,0,1
1834436,237,Flavobacterium quisquiliarum,species,"2, 976, 117743, 200644, 49546, 237, 1834436",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium quisquiliarum,0,1
1852019,237,Flavobacterium solisilvae,species,"2, 976, 117743, 200644, 49546, 237, 1852019",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium solisilvae,0,1
1852020,237,Flavobacterium silvaticum,species,"2, 976, 117743, 200644, 49546, 237, 1852020",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium silvaticum,0,1
1862387,237,Flavobacterium fluviatile,species,"2, 976, 117743, 200644, 49546, 237, 1862387",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium fluviatile,0,1
1921138,237,Flavobacterium sufflavum,species,"2, 976, 117743, 200644, 49546, 237, 1921138",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium sufflavum,0,1
1932779,237,Flavobacterium undicola,species,"2, 976, 117743, 200644, 49546, 237, 1932779",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium undicola,0,1
1940408,237,Flavobacterium pokkalii,species,"2, 976, 117743, 200644, 49546, 237, 1940408",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium pokkalii,0,1
2022802,237,Flavobacterium cyanobacteriorum,species,"2, 976, 117743, 200644, 49546, 237, 2022802",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium cyanobacteriorum,0,1
2023067,237,Flavobacterium aurantiibacter,species,"2, 976, 117743, 200644, 49546, 237, 2023067",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium aurantiibacter,0,1
2026654,237,Flavobacterium luteum,species,"2, 976, 117743, 200644, 49546, 237, 2026654",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium luteum,0,1
2026681,237,Flavobacterium foetidum,species,"2, 976, 117743, 200644, 49546, 237, 2026681",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium foetidum,0,1
2045105,237,Flavobacterium limi,species,"2, 976, 117743, 200644, 49546, 237, 2045105",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium limi,0,1
2080416,237,Flavobacterium alvei,species,"2, 976, 117743, 200644, 49546, 237, 2080416",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium alvei,0,1
2133765,237,Flavobacterium circumlabens,species,"2, 976, 117743, 200644, 49546, 237, 2133765",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium circumlabens,0,1
2133766,237,Flavobacterium cupreum,species,"2, 976, 117743, 200644, 49546, 237, 2133766",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium cupreum,0,1
2133767,237,Flavobacterium psychroterrae,species,"2, 976, 117743, 200644, 49546, 237, 2133767",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium psychroterrae,0,1
2162713,237,Flavobacterium magnum,species,"2, 976, 117743, 200644, 49546, 237, 2162713",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium magnum,0,1
2169409,237,Flavobacterium laiguense,species,"2, 976, 117743, 200644, 49546, 237, 2169409",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium laiguense,0,1
2169410,237,Flavobacterium psychrotolerans,species,"2, 976, 117743, 200644, 49546, 237, 2169410",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium psychrotolerans,0,1
2172098,237,Flavobacterium pallidum,species,"2, 976, 117743, 200644, 49546, 237, 2172098",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium pallidum,0,1
