curated_genus,curated_species,speciesname_standard_format,species_ngenomes,original_taxon_count,lca_taxid,lca_taxon_name,lca_taxon_rank,matched_name,matched_nametype,matched_speciesname_only,matched_taxid,matched_taxon_name,matched_taxon_rank,matched_taxon_unique
Acidithiobacillus,ferrooxidans,True,4,3,920,Acidithiobacillus ferrooxidans,species,Acidithiobacillus ferrooxidans,primary,False,920,Acidithiobacillus ferrooxidans,species,True
Acidithiobacillus,thiooxidans,True,3,3,930,Acidithiobacillus thiooxidans,species,Acidithiobacillus thiooxidans,primary,False,930,Acidithiobacillus thiooxidans,species,True
Acidovorax,avenae,True,2,2,80867,Acidovorax avenae,species,Acidovorax avenae,primary,False,80867,Acidovorax avenae,species,True
Acidovorax,citrulli,True,4,2,80869,Acidovorax citrulli,species,Acidovorax citrulli,primary,False,80869,Acidovorax citrulli,species,True
Acidovorax,radicis,True,2,2,758826,Acidovorax radicis,species,Acidovorax radicis,primary,False,758826,Acidovorax radicis,species,True
Acinetobacter,baumannii,True,1277,735,470,Acinetobacter baumannii,species,Acinetobacter baumannii,primary,False,470,Acinetobacter baumannii,species,True
Acinetobacter,baylyi,True,4,3,202950,Acinetobacter baylyi,species,Acinetobacter baylyi,primary,False,202950,Acinetobacter baylyi,species,True
Acinetobacter,beijerinckii,True,3,3,262668,Acinetobacter beijerinckii,species,Acinetobacter beijerinckii,primary,False,262668,Acinetobacter beijerinckii,species,True
Acinetobacter,bereziniae,True,5,3,106648,Acinetobacter bereziniae,species,Acinetobacter bereziniae,primary,False,106648,Acinetobacter bereziniae,species,True
Acinetobacter,bouvetii,True,3,2,202951,Acinetobacter bouvetii,species,Acinetobacter bouvetii,primary,False,202951,Acinetobacter bouvetii,species,True
Acinetobacter,brisouii,True,3,2,396323,Acinetobacter brisouii,species,Acinetobacter brisouii,primary,False,396323,Acinetobacter brisouii,species,True
Acinetobacter,calcoaceticus,True,10,8,471,Acinetobacter calcoaceticus,species,Acinetobacter calcoaceticus,primary,False,471,Acinetobacter calcoaceticus,species,True
Acinetobacter,gerneri,True,3,3,202952,Acinetobacter gerneri,species,Acinetobacter gerneri,primary,False,202952,Acinetobacter gerneri,species,True
Acinetobacter,guillouiae,True,4,4,106649,Acinetobacter guillouiae,species,Acinetobacter guillouiae,primary,False,106649,Acinetobacter guillouiae,species,True
Acinetobacter,gyllenbergii,True,4,4,134534,Acinetobacter gyllenbergii,species,Acinetobacter gyllenbergii,primary,False,134534,Acinetobacter gyllenbergii,species,True
Acinetobacter,haemolyticus,True,8,8,29430,Acinetobacter haemolyticus,species,Acinetobacter haemolyticus,primary,False,29430,Acinetobacter haemolyticus,species,True
Acinetobacter,indicus,True,4,3,756892,Acinetobacter indicus,species,Acinetobacter indicus,primary,False,756892,Acinetobacter indicus,species,True
Acinetobacter,johnsonii,True,5,5,40214,Acinetobacter johnsonii,species,Acinetobacter johnsonii,primary,False,40214,Acinetobacter johnsonii,species,True
Acinetobacter,junii,True,10,7,40215,Acinetobacter junii,species,Acinetobacter junii,primary,False,40215,Acinetobacter junii,species,True
Acinetobacter,lwoffii,True,8,7,28090,Acinetobacter lwoffii,species,Acinetobacter lwoffii,primary,False,28090,Acinetobacter lwoffii,species,True
Acinetobacter,nosocomialis,True,14,2,106654,Acinetobacter nosocomialis,species,Acinetobacter nosocomialis,primary,False,106654,Acinetobacter nosocomialis,species,True
Acinetobacter,oleivorans,True,3,3,1148157,Acinetobacter oleivorans,species,Acinetobacter oleivorans,primary,False,1148157,Acinetobacter oleivorans,species,True
Acinetobacter,parvus,True,4,3,134533,Acinetobacter parvus,species,Acinetobacter parvus,primary,False,134533,Acinetobacter parvus,species,True
Acinetobacter,pittii,True,62,7,48296,Acinetobacter pittii,species,Acinetobacter pittii,primary,False,48296,Acinetobacter pittii,species,True
Acinetobacter,radioresistens,True,5,4,40216,Acinetobacter radioresistens,species,Acinetobacter radioresistens,primary,False,40216,Acinetobacter radioresistens,species,True
Acinetobacter,rudis,True,2,2,632955,Acinetobacter rudis,species,Acinetobacter rudis,primary,False,632955,Acinetobacter rudis,species,True
Acinetobacter,schindleri,True,4,4,108981,Acinetobacter schindleri,species,Acinetobacter schindleri,primary,False,108981,Acinetobacter schindleri,species,True
Acinetobacter,soli,True,5,4,487316,Acinetobacter soli,species,Acinetobacter soli,primary,False,487316,Acinetobacter soli,species,True
Acinetobacter,tandoii,True,3,2,202954,Acinetobacter tandoii,species,Acinetobacter tandoii,primary,False,202954,Acinetobacter tandoii,species,True
Acinetobacter,tjernbergiae,True,3,2,202955,Acinetobacter tjernbergiae,species,Acinetobacter tjernbergiae,primary,False,202955,Acinetobacter tjernbergiae,species,True
Acinetobacter,towneri,True,3,2,202956,Acinetobacter towneri,species,Acinetobacter towneri,primary,False,202956,Acinetobacter towneri,species,True
Acinetobacter,ursingii,True,8,4,108980,Acinetobacter ursingii,species,Acinetobacter ursingii,primary,False,108980,Acinetobacter ursingii,species,True
Acinetobacter,venetianus,True,9,3,52133,Acinetobacter venetianus,species,Acinetobacter venetianus,primary,False,52133,Acinetobacter venetianus,species,True
Actinoalloteichus,cyanogriseus,True,3,2,65497,Actinoalloteichus cyanogriseus,species,Actinoalloteichus cyanogriseus,primary,False,65497,Actinoalloteichus cyanogriseus,species,True
Actinobacillus,pleuropneumoniae,True,23,16,715,Actinobacillus pleuropneumoniae,species,Actinobacillus pleuropneumoniae,primary,False,715,Actinobacillus pleuropneumoniae,species,True
Actinobacillus,suis,True,2,2,716,Actinobacillus suis,species,Actinobacillus suis,primary,False,716,Actinobacillus suis,species,True
Actinobaculum,massiliense,True,2,2,202789,Actinobaculum massiliense,species,Actinobaculum massiliense,primary,False,202789,Actinobaculum massiliense,species,True
Actinomyces,georgiae,True,2,2,52768,Schaalia georgiae,species,Actinomyces georgiae,Synonym,False,52768,Schaalia georgiae,species,True
Actinomyces,graevenitzii,True,2,2,55565,Actinomyces graevenitzii,species,Actinomyces graevenitzii,primary,False,55565,Actinomyces graevenitzii,species,True
Actinomyces,johnsonii,True,2,2,544581,Actinomyces johnsonii,species,Actinomyces johnsonii,primary,False,544581,Actinomyces johnsonii,species,True
Actinomyces,massiliensis,True,2,2,461393,Actinomyces massiliensis,species,Actinomyces massiliensis,primary,False,461393,Actinomyces massiliensis,species,True
Actinomyces,neuii,True,2,2,33007,Winkia neuii,species,Actinomyces neuii,Synonym,False,33007,Winkia neuii,species,True
Actinomyces,odontolyticus,True,2,2,1660,Schaalia odontolytica,species,,,,,,,
Actinomyces,oris,True,2,2,544580,Actinomyces oris,species,Actinomyces oris,primary,False,544580,Actinomyces oris,species,True
Actinomyces,urogenitalis,True,2,2,103621,Actinomyces urogenitalis,species,Actinomyces urogenitalis,primary,False,103621,Actinomyces urogenitalis,species,True
Actinotignum,schaalii,True,2,2,59505,Actinotignum schaalii,species,Actinotignum schaalii,primary,False,59505,Actinotignum schaalii,species,True
Aerococcus,christensenii,True,3,2,87541,Aerococcus christensenii,species,Aerococcus christensenii,primary,False,87541,Aerococcus christensenii,species,True
Aerococcus,urinae,True,2,2,1376,Aerococcus urinae,species,Aerococcus urinae,primary,False,1376,Aerococcus urinae,species,True
Aerococcus,urinaeequi,True,3,2,51665,Aerococcus urinaeequi,species,Aerococcus urinaeequi,primary,False,51665,Aerococcus urinaeequi,species,True
Aerococcus,viridans,True,2,2,1377,Aerococcus viridans,species,Aerococcus viridans,primary,False,1377,Aerococcus viridans,species,True
Aeromonas,allosaccharophila,True,3,1,656,Aeromonas allosaccharophila,species,Aeromonas allosaccharophila,primary,False,656,Aeromonas allosaccharophila,species,True
Aeromonas,caviae,True,9,2,648,Aeromonas caviae,species,Aeromonas caviae,primary,False,648,Aeromonas caviae,species,True
Aeromonas,dhakensis,True,2,1,196024,Aeromonas dhakensis,species,Aeromonas dhakensis,primary,False,196024,Aeromonas dhakensis,species,True
Aeromonas,diversa,True,2,1,1268237,Aeromonas diversa CDC 2478-85,strain,Aeromonas diversa,primary,False,502790,Aeromonas diversa,species,True
Aeromonas,enteropelogenes,True,3,1,29489,Aeromonas enteropelogenes,species,Aeromonas enteropelogenes,primary,False,29489,Aeromonas enteropelogenes,species,True
Aeromonas,hydrophila,True,29,10,644,Aeromonas hydrophila,species,Aeromonas hydrophila,primary,False,644,Aeromonas hydrophila,species,True
Aeromonas,jandaei,True,2,2,650,Aeromonas jandaei,species,Aeromonas jandaei,primary,False,650,Aeromonas jandaei,species,True
Aeromonas,media,True,4,2,651,Aeromonas media,species,Aeromonas media,primary,False,651,Aeromonas media,species,True
Aeromonas,salmonicida,True,11,8,645,Aeromonas salmonicida,species,Aeromonas salmonicida,primary,False,645,Aeromonas salmonicida,species,True
Aeromonas,schubertii,True,3,1,652,Aeromonas schubertii,species,Aeromonas schubertii,primary,False,652,Aeromonas schubertii,species,True
Aeromonas,taiwanensis,True,2,1,633417,Aeromonas taiwanensis,species,Aeromonas taiwanensis,primary,False,633417,Aeromonas taiwanensis,species,True
Aeromonas,veronii,True,27,8,654,Aeromonas veronii,species,Aeromonas veronii,primary,False,654,Aeromonas veronii,species,True
Aggregatibacter,actinomycetemcomitans,True,35,32,714,Aggregatibacter actinomycetemcomitans,species,Aggregatibacter actinomycetemcomitans,primary,False,714,Aggregatibacter actinomycetemcomitans,species,True
Aggregatibacter,aphrophilus,True,4,3,732,Aggregatibacter aphrophilus,species,Aggregatibacter aphrophilus,primary,False,732,Aggregatibacter aphrophilus,species,True
Agrobacterium,tumefaciens,True,15,10,358,Agrobacterium tumefaciens,species,Agrobacterium tumefaciens,primary,False,358,Agrobacterium tumefaciens,species,True
Akkermansia,muciniphila,True,2,2,239935,Akkermansia muciniphila,species,Akkermansia muciniphila,primary,False,239935,Akkermansia muciniphila,species,True
Alcaligenes,faecalis,True,7,5,511,Alcaligenes faecalis,species,Alcaligenes faecalis,primary,False,511,Alcaligenes faecalis,species,True
Algibacter,lectus,True,2,1,221126,Algibacter lectus,species,Algibacter lectus,primary,False,221126,Algibacter lectus,species,True
Alicycliphilus,denitrificans,True,2,2,179636,Alicycliphilus denitrificans,species,Alicycliphilus denitrificans,primary,False,179636,Alicycliphilus denitrificans,species,True
Aliivibrio,fischeri,True,5,5,668,Aliivibrio fischeri,species,Aliivibrio fischeri,primary,False,668,Aliivibrio fischeri,species,True
Aliivibrio,wodanis,True,6,1,80852,Aliivibrio wodanis,species,Aliivibrio wodanis,primary,False,80852,Aliivibrio wodanis,species,True
Altererythrobacter,marensis,True,2,1,543877,Altererythrobacter marensis,species,Altererythrobacter marensis,primary,False,543877,Altererythrobacter marensis,species,True
Alteromonas,australica,True,2,1,589873,Alteromonas australica,species,Alteromonas australica,primary,False,589873,Alteromonas australica,species,True
Alteromonas,macleodii,True,8,4,28108,Alteromonas macleodii,species,Alteromonas macleodii,primary,False,28108,Alteromonas macleodii,species,True
Alteromonas,mediterranea,True,8,8,314275,Alteromonas mediterranea,species,Alteromonas mediterranea,primary,False,314275,Alteromonas mediterranea,species,True
Alteromonas,stellipolaris,True,4,2,233316,Alteromonas stellipolaris,species,Alteromonas stellipolaris,primary,False,233316,Alteromonas stellipolaris,species,True
Amycolatopsis,mediterranei,True,6,4,33910,Amycolatopsis mediterranei,species,Amycolatopsis mediterranei,primary,False,33910,Amycolatopsis mediterranei,species,True
Amycolatopsis,methanolica,True,2,1,1068978,Amycolatopsis methanolica 239,strain,Amycolatopsis methanolica,primary,False,1814,Amycolatopsis methanolica,species,True
Amycolatopsis,regifaucium,True,2,1,546365,Amycolatopsis regifaucium,species,Amycolatopsis regifaucium,primary,False,546365,Amycolatopsis regifaucium,species,True
Amycolatopsis,vancoresmycina,True,2,2,208444,Amycolatopsis vancoresmycina,species,Amycolatopsis vancoresmycina,primary,False,208444,Amycolatopsis vancoresmycina,species,True
Anaerococcus,hydrogenalis,True,2,2,33029,Anaerococcus hydrogenalis,species,Anaerococcus hydrogenalis,primary,False,33029,Anaerococcus hydrogenalis,species,True
Anaerococcus,lactolyticus,True,2,2,33032,Anaerococcus lactolyticus,species,Anaerococcus lactolyticus,primary,False,33032,Anaerococcus lactolyticus,species,True
Anaerococcus,tetradius,True,2,2,33036,Anaerococcus tetradius,species,Anaerococcus tetradius,primary,False,33036,Anaerococcus tetradius,species,True
Anaerostipes,hadrus,True,2,2,649756,Anaerostipes hadrus,species,Anaerostipes hadrus,primary,False,649756,Anaerostipes hadrus,species,True
Anaplasma,marginale,True,14,12,770,Anaplasma marginale,species,Anaplasma marginale,primary,False,770,Anaplasma marginale,species,True
Anaplasma,phagocytophilum,True,21,20,948,Anaplasma phagocytophilum,species,Anaplasma phagocytophilum,primary,False,948,Anaplasma phagocytophilum,species,True
Aneurinibacillus,migulanus,True,5,1,47500,Aneurinibacillus migulanus,species,Aneurinibacillus migulanus,primary,False,47500,Aneurinibacillus migulanus,species,True
Anoxybacillus,gonensis,True,2,1,198467,Anoxybacillus gonensis,species,Anoxybacillus gonensis,primary,False,198467,Anoxybacillus gonensis,species,True
Aphanizomenon,flos-aquae,False,2,2,1176,Aphanizomenon flos-aquae,species,Aphanizomenon flos-aquae,primary,False,1176,Aphanizomenon flos-aquae,species,True
Arcobacter,butzleri,True,11,11,28197,Arcobacter butzleri,species,Arcobacter butzleri,primary,False,28197,Arcobacter butzleri,species,True
Arcobacter,lanthieri,True,3,1,1355374,Arcobacter lanthieri,species,Arcobacter lanthieri,primary,False,1355374,Arcobacter lanthieri,species,True
Ardenticatena,maritima,True,2,1,872965,Ardenticatena maritima,species,Ardenticatena maritima,primary,False,872965,Ardenticatena maritima,species,True
Arenimonas,composti,True,2,1,1121013,Arenimonas composti TR7-09 = DSM 18010,strain,Arenimonas composti,primary,False,370776,Arenimonas composti,species,True
Arenimonas,oryziterrae,True,2,1,1121015,Arenimonas oryziterrae DSM 21050 = YC6267,strain,Arenimonas oryziterrae,primary,False,498055,Arenimonas oryziterrae,species,True
Arthrospira,platensis,True,3,3,118562,Arthrospira platensis,species,Arthrospira platensis,primary,False,118562,Arthrospira platensis,species,True
Asticcacaulis,benevestitus,True,2,1,1121022,Asticcacaulis benevestitus DSM 16100 = ATCC BAA-896,strain,Asticcacaulis benevestitus,primary,False,347481,Asticcacaulis benevestitus,species,True
Atopobium,minutum,True,2,2,1381,Atopobium minutum,species,Atopobium minutum,primary,False,1381,Atopobium minutum,species,True
Atopobium,rimae,True,2,2,1383,Lancefieldella rimae,species,Atopobium rimae,Synonym,False,1383,Lancefieldella rimae,species,True
Atopobium,vaginae,True,4,2,82135,Fannyhessea vaginae,species,Atopobium vaginae,Synonym,False,82135,Fannyhessea vaginae,species,True
Aurantimonas,coralicida,True,2,2,182270,Aurantimonas coralicida,species,Aurantimonas coralicida,primary,False,182270,Aurantimonas coralicida,species,True
Aurantimonas,manganoxydans,True,2,1,287752,Aurantimonas manganoxydans SI85-9A1,strain,Aurantimonas manganoxydans,primary,False,651183,Aurantimonas manganoxydans,species,True
Aureimonas,ureilytica,True,4,2,401562,Aureimonas ureilytica,species,Aureimonas ureilytica,primary,False,401562,Aureimonas ureilytica,species,True
Avibacterium,paragallinarum,True,5,4,728,Avibacterium paragallinarum,species,Avibacterium paragallinarum,primary,False,728,Avibacterium paragallinarum,species,True
Azospirillum,brasilense,True,4,3,191,Azospirillum,genus,,,,,,,
Azospirillum,thiophilum,True,2,1,528244,Azospirillum thiophilum,species,Azospirillum thiophilum,primary,False,528244,Azospirillum thiophilum,species,True
Azotobacter,vinelandii,True,4,4,354,Azotobacter vinelandii,species,Azotobacter vinelandii,primary,False,354,Azotobacter vinelandii,species,True
Bacillus,akibai,True,2,1,1236973,Bacillus akibai JCM 9157,strain,Bacillus akibai,Synonym,False,1411,Alkalihalobacillus akibai,species,True
Bacillus,amyloliquefaciens,True,20,8,1390,Bacillus amyloliquefaciens,species,Bacillus amyloliquefaciens,primary,False,1390,Bacillus amyloliquefaciens,species,True
Bacillus,anthracis,True,103,36,1392,Bacillus anthracis,species,Bacillus anthracis,primary,False,1392,Bacillus anthracis,species,True
Bacillus,aryabhattai,True,4,1,412384,Bacillus aryabhattai,species,Bacillus aryabhattai,primary,False,412384,Bacillus aryabhattai,species,True
Bacillus,atrophaeus,True,19,18,1452,Bacillus atrophaeus,species,Bacillus atrophaeus,primary,False,1452,Bacillus atrophaeus,species,True
Bacillus,azotoformans,True,2,2,1454,Bacillus azotoformans,species,Bacillus azotoformans,primary,False,1454,Bacillus azotoformans,species,True
Bacillus,badius,True,4,2,1455,Bacillus badius,species,Bacillus badius,primary,False,1455,Bacillus badius,species,True
Bacillus,boroniphilus,True,2,1,1294265,Bacillus boroniphilus JCM 21738,strain,Bacillus boroniphilus,Synonym,False,308892,Mesobacillus boroniphilus,species,True
Bacillus,cereus,True,196,109,1396,Bacillus cereus,species,Bacillus cereus,primary,False,1396,Bacillus cereus,species,True
Bacillus,circulans,True,2,2,1397,Bacillus circulans,species,Bacillus circulans,primary,False,1397,Bacillus circulans,species,True
Bacillus,clausii,True,2,2,79880,Alkalihalobacillus clausii,species,Bacillus clausii,Synonym,False,79880,Alkalihalobacillus clausii,species,True
Bacillus,coagulans,True,20,9,1398,Bacillus coagulans,species,Bacillus coagulans,primary,False,1398,Bacillus coagulans,species,True
Bacillus,coahuilensis,True,3,3,408580,Bacillus coahuilensis,species,Bacillus coahuilensis,primary,False,408580,Bacillus coahuilensis,species,True
Bacillus,cytotoxicus,True,2,2,580165,Bacillus cytotoxicus,species,Bacillus cytotoxicus,primary,False,580165,Bacillus cytotoxicus,species,True
Bacillus,endophyticus,True,3,2,135735,Bacillus endophyticus,species,Bacillus endophyticus,primary,False,135735,Bacillus endophyticus,species,True
Bacillus,firmus,True,3,3,1399,Cytobacillus firmus,species,Bacillus firmus,Synonym,False,1399,Cytobacillus firmus,species,True
Bacillus,gaemokensis,True,2,1,574375,Bacillus gaemokensis,species,Bacillus gaemokensis,primary,False,574375,Bacillus gaemokensis,species,True
Bacillus,ginsengihumi,True,2,2,363870,Bacillus ginsengihumi,species,Bacillus ginsengihumi,primary,False,363870,Bacillus ginsengihumi,species,True
Bacillus,glycinifermentans,True,2,1,1664069,Bacillus glycinifermentans,species,Bacillus glycinifermentans,primary,False,1664069,Bacillus glycinifermentans,species,True
Bacillus,hemicellulosilyticus,True,2,1,1236971,Bacillus hemicellulosilyticus JCM 9152,strain,Bacillus hemicellulosilyticus,Synonym,False,127886,Alkalihalobacillus hemicellulosilyticus,species,True
Bacillus,licheniformis,True,18,11,1402,Bacillus licheniformis,species,Bacillus licheniformis,primary,False,1402,Bacillus licheniformis,species,True
Bacillus,marisflavi,True,4,1,189381,Bacillus marisflavi,species,Bacillus marisflavi,primary,False,189381,Bacillus marisflavi,species,True
Bacillus,megaterium,True,9,5,1404,Bacillus megaterium,species,Bacillus megaterium,primary,False,1404,Bacillus megaterium,species,True
Bacillus,methanolicus,True,2,1,796606,Bacillus methanolicus MGA3,strain,Bacillus methanolicus,primary,False,1471,Bacillus methanolicus,species,True
Bacillus,mojavensis,True,3,2,72360,Bacillus mojavensis,species,Bacillus mojavensis,primary,False,72360,Bacillus mojavensis,species,True
Bacillus,mycoides,True,9,4,1405,Bacillus mycoides,species,Bacillus mycoides,primary,False,1405,Bacillus mycoides,species,False
Bacillus,nakamurai,True,2,1,1793963,Bacillus nakamurai,species,Bacillus nakamurai,primary,False,1793963,Bacillus nakamurai,species,True
Bacillus,paralicheniformis,True,6,2,1648923,Bacillus paralicheniformis,species,Bacillus paralicheniformis,primary,False,1648923,Bacillus paralicheniformis,species,True
Bacillus,pumilus,True,22,5,1408,Bacillus pumilus,species,Bacillus pumilus,primary,False,1408,Bacillus pumilus,species,True
Bacillus,safensis,True,4,3,561879,Bacillus safensis,species,Bacillus safensis,primary,False,561879,Bacillus safensis,species,True
Bacillus,siamensis,True,2,2,659243,Bacillus siamensis,species,Bacillus siamensis,primary,False,659243,Bacillus siamensis,species,True
Bacillus,smithii,True,3,3,1479,Bacillus smithii,species,Bacillus smithii,primary,False,1479,Bacillus smithii,species,True
Bacillus,sonorensis,True,3,2,119858,Bacillus sonorensis,species,Bacillus sonorensis,primary,False,119858,Bacillus sonorensis,species,True
Bacillus,subtilis,True,75,39,1423,Bacillus subtilis,species,Bacillus subtilis,primary,False,1423,Bacillus subtilis,species,True
Bacillus,thermoamylovorans,True,5,1,35841,Bacillus thermoamylovorans,species,Bacillus thermoamylovorans,primary,False,35841,Bacillus thermoamylovorans,species,True
Bacillus,thuringiensis,True,19,15,1428,Bacillus thuringiensis,species,Bacillus thuringiensis,primary,False,1428,Bacillus thuringiensis,species,True
Bacillus,trypoxylicola,True,2,2,519424,Alkalihalobacillus trypoxylicola,species,Bacillus trypoxylicola,Synonym,False,519424,Alkalihalobacillus trypoxylicola,species,True
Bacillus,velezensis,True,16,4,492670,Bacillus velezensis,species,Bacillus velezensis,primary,False,492670,Bacillus velezensis,species,True
Bacillus,vietnamensis,True,2,2,218284,Bacillus vietnamensis,species,Bacillus vietnamensis,primary,False,218284,Bacillus vietnamensis,species,True
Bacillus,vireti,True,2,2,220686,Neobacillus vireti,species,Bacillus vireti,Synonym,False,220686,Neobacillus vireti,species,True
Bacillus,wakoensis,True,2,1,1236970,Bacillus wakoensis JCM 9140,strain,Bacillus wakoensis,Synonym,False,127891,Alkalihalobacillus wakoensis,species,True
Bacillus,weihenstephanensis,True,3,2,1405,Bacillus mycoides,species,Bacillus weihenstephanensis,GenbankSynonym,False,1405,Bacillus mycoides,species,False
Bacteroides,barnesiae,True,2,1,1121094,Bacteroides barnesiae DSM 18169 = JCM 13652,strain,Bacteroides barnesiae,Synonym,False,376804,Phocaeicola barnesiae,species,True
Bacteroides,caccae,True,2,2,47678,Bacteroides caccae,species,Bacteroides caccae,primary,False,47678,Bacteroides caccae,species,True
Bacteroides,cellulosilyticus,True,5,4,246787,Bacteroides cellulosilyticus,species,Bacteroides cellulosilyticus,primary,False,246787,Bacteroides cellulosilyticus,species,True
Bacteroides,coprophilus,True,4,3,387090,Phocaeicola coprophilus,species,Bacteroides coprophilus,Synonym,False,387090,Phocaeicola coprophilus,species,True
Bacteroides,dorei,True,5,5,357276,Phocaeicola dorei,species,Bacteroides dorei,Synonym,False,357276,Phocaeicola dorei,species,True
Bacteroides,eggerthii,True,3,2,28111,Bacteroides eggerthii,species,Bacteroides eggerthii,primary,False,28111,Bacteroides eggerthii,species,True
Bacteroides,finegoldii,True,2,1,997888,Bacteroides finegoldii CL09T03C10,strain,Bacteroides finegoldii,primary,False,338188,Bacteroides finegoldii,species,True
Bacteroides,fragilis,True,99,81,817,Bacteroides fragilis,species,Bacteroides fragilis,primary,False,817,Bacteroides fragilis,species,True
Bacteroides,gallinarum,True,2,1,1121096,Bacteroides gallinarum DSM 18171 = JCM 13658,strain,Bacteroides gallinarum,primary,False,376806,Bacteroides gallinarum,species,True
Bacteroides,graminisolvens,True,2,1,1121097,Bacteroides graminisolvens DSM 19988 = JCM 15093,strain,Bacteroides graminisolvens,primary,False,477666,Bacteroides graminisolvens,species,True
Bacteroides,intestinalis,True,2,2,329854,Bacteroides intestinalis,species,Bacteroides intestinalis,primary,False,329854,Bacteroides intestinalis,species,True
Bacteroides,massiliensis,True,3,1,1121098,Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,strain,Bacteroides massiliensis,Synonym,False,204516,Phocaeicola massiliensis,species,True
Bacteroides,nordii,True,2,2,291645,Bacteroides nordii,species,Bacteroides nordii,primary,False,291645,Bacteroides nordii,species,True
Bacteroides,ovatus,True,11,8,28116,Bacteroides ovatus,species,Bacteroides ovatus,primary,False,28116,Bacteroides ovatus,species,True
Bacteroides,propionicifaciens,True,2,1,1121099,Bacteroides propionicifaciens DSM 19291 = JCM 14649,strain,Bacteroides propionicifaciens,primary,False,392838,Bacteroides propionicifaciens,species,True
Bacteroides,pyogenes,True,5,4,310300,Bacteroides pyogenes,species,Bacteroides pyogenes,primary,False,310300,Bacteroides pyogenes,species,True
Bacteroides,salyersiae,True,3,2,291644,Bacteroides salyersiae,species,Bacteroides salyersiae,primary,False,291644,Bacteroides salyersiae,species,True
Bacteroides,stercoris,True,3,3,46506,Bacteroides stercoris,species,Bacteroides stercoris,primary,False,46506,Bacteroides stercoris,species,True
Bacteroides,thetaiotaomicron,True,6,3,818,Bacteroides thetaiotaomicron,species,Bacteroides thetaiotaomicron,primary,False,818,Bacteroides thetaiotaomicron,species,True
Bacteroides,uniformis,True,9,7,820,Bacteroides uniformis,species,Bacteroides uniformis,primary,False,820,Bacteroides uniformis,species,True
Bacteroides,vulgatus,True,8,8,821,Phocaeicola vulgatus,species,Bacteroides vulgatus,Synonym,False,821,Phocaeicola vulgatus,species,True
Bacteroides,xylanisolvens,True,4,2,371601,Bacteroides xylanisolvens,species,Bacteroides xylanisolvens,primary,False,371601,Bacteroides xylanisolvens,species,True
Bartonella,bacilliformis,True,15,13,774,Bartonella bacilliformis,species,Bartonella bacilliformis,primary,False,774,Bartonella bacilliformis,species,True
Bartonella,birtlesii,True,5,5,111504,Bartonella birtlesii,species,Bartonella birtlesii,primary,False,111504,Bartonella birtlesii,species,True
Bartonella,bovis,True,2,2,155194,Bartonella bovis,species,Bartonella bovis,primary,False,155194,Bartonella bovis,species,True
Bartonella,clarridgeiae,True,2,2,56426,Bartonella clarridgeiae,species,Bartonella clarridgeiae,primary,False,56426,Bartonella clarridgeiae,species,True
Bartonella,doshiae,True,2,1,1094553,Bartonella doshiae NCTC 12862 = ATCC 700133,strain,Bartonella doshiae,primary,False,33044,Bartonella doshiae,species,True
Bartonella,elizabethae,True,3,2,807,Bartonella elizabethae,species,Bartonella elizabethae,primary,False,807,Bartonella elizabethae,species,True
