id,name,rank,isroot,isleaf,ncbi_id,threshold,diameter,inferred_threshold_method,min_inter_dist,min_inter_taxon_id,min_inter_taxon_name,min_inter_overlaps_diameter
43,Azospirillum,genus,True,False,191,0.9256535977125168,0.9530471,min_inter,0.9743722,981,Mesorhizobium plurifarium,False
44,Saccharicrinis,genus,True,False,1618113,0.0092283748090267,0.009228375,diameter,0.99469537,1487,Bacillus thuringiensis,False
45,Campylobacter,genus,True,False,194,0.9348789036273956,0.9990478,min_inter,0.98408306,583,Helicobacter pullorum,True
46,Ferrimicrobium,genus,True,False,121038,0.0225748401135206,0.02257484,diameter,0.99656945,720,Rhizobium leguminosarum,False
47,Mannheimia,genus,True,False,75984,0.9120935797691344,0.96179575,min_inter,0.9600985,1507,Bibersteinia trehalosi,True
48,Helicobacter,genus,True,False,209,0.9306383579969406,0.9990564,min_inter,0.9796193,803,Neisseria meningitidis,True
49,Hydrogenovibrio,genus,True,False,28884,0.0094490712508559,0.009449071,diameter,0.99611765,790,Acinetobacter gerneri,False
50,Achromobacter,genus,True,False,222,0.8978877037763595,0.9315043,min_inter,0.94514495,823,Bordetella bronchiseptica,False
51,Thermoanaerobacterium,genus,True,False,28895,0.5631146430969238,0.56311464,diameter,0.9884257,1717,Thermoanaerobacter thermocopriae,False
52,Alteromonas,genus,True,False,226,0.9373199820518492,0.98972297,min_inter,0.9866526,937,Vibrio cholerae,True
53,Brucella,genus,True,False,234,0.8435227751731872,0.95969623,min_inter,0.8879187,833,Ochrobactrum anthropi,True
54,Flavobacterium,genus,True,False,237,0.9362788289785384,0.99726176,min_inter,0.98555666,1499,Bacillus safensis,True
55,Parageobacillus,genus,True,False,1906945,0.9290785819292068,0.95610374,min_inter,0.97797745,668,Geobacillus stearothermophilus,False
56,Francisella,genus,True,False,262,0.9446604877710342,0.96783215,min_inter,0.99437946,809,Paeniclostridium sordellii,False
57,Paracoccus,genus,True,False,265,0.926197588443756,0.9682774,min_inter,0.97494483,1244,Rhodobacter sphaeroides,False
58,Thermus,genus,True,False,270,0.9360873818397522,0.94217163,min_inter,0.98535514,461,Meiothermus ruber,False
59,Comamonas,genus,True,False,283,0.926008066534996,0.979642,min_inter,0.97474533,728,Alicycliphilus denitrificans,True
60,Pseudomonas,genus,True,False,286,0.9209223449230194,0.9918033,min_inter,0.96939194,590,Achromobacter xylosoxidans,True
61,Thermotoga,genus,True,False,2335,0.9367951154708862,0.9367951,diameter,0.99767023,1543,Pseudothermotoga hypogea,False
62,Thauera,genus,True,False,33057,0.0041606659069657,0.004160666,diameter,0.9809359,1533,Rubrivivax benzoatilyticus,False
63,Roseomonas,genus,True,False,125216,0.3762376308441162,0.37623763,diameter,0.975658,1855,Aurantimonas coralicida,False
64,Marinagarivorans,genus,True,False,1792291,0.2114578932523727,0.2114579,diameter,0.9904294,937,Vibrio cholerae,False
65,Desulfocurvibacter,genus,True,False,2582840,0.6428963541984558,0.64289635,diameter,0.9869974,1135,Desulfovibrio gigas,False
66,Geobacillus,genus,True,False,129337,0.9290785819292068,0.95925117,min_inter,0.97797745,613,Parageobacillus toebii,False
67,Brevundimonas,genus,True,False,41275,0.4556882381439209,0.45568824,diameter,0.9767677,504,Caulobacter henricii,False
68,Hydrogenophaga,genus,True,False,47420,0.033665657043457,0.033665657,diameter,0.97050333,728,Alicycliphilus denitrificans,False
69,Chania,genus,True,False,1745211,0.0005545081803575,0.0005545082,diameter,0.97056776,886,Serratia fonticola,False
70,Akkermansia,genus,True,False,239934,0.2524214088916778,0.2524214,diameter,0.9944711,1847,Nocardiopsis dassonvillei,False
71,Sulfurospirillum,genus,True,False,57665,0.6762281656265259,0.67622817,diameter,0.9956932,578,Helicobacter pylori,False
72,Xylella,genus,True,False,2370,0.598002016544342,0.598002,diameter,0.9943929,1518,Stenotrophomonas acidaminiphila,False
73,Limosilactobacillus,genus,True,False,2742598,0.9316923081874848,0.99800825,min_inter,0.98072875,1168,Lactiplantibacillus plantarum,True
74,Sporomusa,genus,True,False,2375,0.0076793604530394,0.0076793605,diameter,0.9939956,1555,Clostridium sporogenes,False
75,Xanthomonas,genus,True,False,338,0.9140852302312852,0.9843814,min_inter,0.962195,1680,Pseudoxanthomonas suwonensis,True
76,Bergeyella,genus,True,False,59735,0.4764420986175537,0.4764421,diameter,0.9908654,1176,Capnocytophaga canimorsus,False
77,Phocaeicola,genus,True,False,909656,0.912254336476326,0.9927323,min_inter,0.9602677,1066,Bacteroides salyersiae,True
78,Marinilabilia,genus,True,False,59738,0.006437768228352,0.006437768,diameter,0.99559724,564,Saccharicrinis fermentans,False
79,Kutzneria,genus,True,False,43356,0.0070178904570639,0.0070178905,diameter,0.9714851,1747,Amycolatopsis vancoresmycina,False
80,Azotobacter,genus,True,False,352,0.2133098840713501,0.21330988,diameter,0.9734181,638,Pseudomonas thermotolerans,False
81,Agrobacterium,genus,True,False,357,0.9212276637554168,0.9270978,min_inter,0.96971333,722,Rhizobium etli,False
82,Thermosipho,genus,True,False,2420,0.3556397259235382,0.35563973,diameter,0.99495304,1717,Thermoanaerobacter thermocopriae,False
83,Terrisporobacter,genus,True,False,1505652,0.0104594696313142,0.01045947,diameter,0.9832098,809,Paeniclostridium sordellii,False
84,Bradyrhizobium,genus,True,False,374,0.9255605638027192,0.9669746,min_inter,0.9742743,981,Mesorhizobium plurifarium,False
85,Wenxinia,genus,True,False,653686,0.004814876243472,0.0048148762,diameter,0.9768791,619,Paracoccus sanguinis,False
86,Teredinibacter,genus,True,False,2425,0.8020896911621094,0.8020897,diameter,0.9957272,1159,Herbaspirillum rubrisubalbicans,False
87,Rhizobium,genus,True,False,379,0.9142671644687652,0.9713598,min_inter,0.9623865,1546,Sinorhizobium fredii,True
88,Caballeronia,genus,True,False,1827195,0.1276300102472305,0.12763001,diameter,0.97209406,1739,Paraburkholderia caribensis,False
89,Propionimicrobium,genus,True,False,203133,0.4546026289463043,0.45460263,diameter,0.9928997,1715,Propionibacterium acidifaciens,False
90,Erysipelatoclostridium,genus,True,False,1505663,0.5127498507499695,0.51274985,diameter,0.98304677,965,Faecalitalea cylindroides,False
91,Caldibacillus,genus,True,False,1276290,0.3627764284610748,0.36277643,diameter,0.989938,668,Geobacillus stearothermophilus,False
92,Alicycliphilus,genus,True,False,201096,0.4314164519309997,0.43141645,diameter,0.96681434,892,Acidovorax avenae,False
93,Anaerostipes,genus,True,False,207244,0.5115271806716919,0.5115272,diameter,0.98448545,1148,Dorea formicigenerans,False
94,Methylobacterium,genus,True,False,407,0.9143504589796064,0.96592236,min_inter,0.96247417,1234,Methylorubrum extorquens,True
95,Komagataeibacter,genus,True,False,1434011,0.9286960273981094,0.973221,min_inter,0.97757477,1573,Gluconacetobacter diazotrophicus,False
96,Methylococcus,genus,True,False,413,0.2949492037296295,0.2949492,diameter,0.9879025,1532,Rubrivivax gelatinosus,False
97,Fulvimarina,genus,True,False,217510,0.0016273392830044,0.0016273393,diameter,0.9801495,1855,Aurantimonas coralicida,False
98,Methylobacter,genus,True,False,429,0.6630164980888367,0.6630165,diameter,0.9944047,1904,Pseudomonas syringae subgroup 3,False
99,Lawsonella,genus,True,False,1847725,0.1357548236846923,0.13575482,diameter,0.9936314,1694,Corynebacterium otitidis,False
100,Pontibacillus,genus,True,False,289201,0.9446951985359192,0.99537444,min_inter,0.994416,1895,Bacillus pumilus subgroup 1,True
101,Acetobacter,genus,True,False,434,0.9275382280349732,0.99456984,min_inter,0.976356,754,Gluconobacter albidus,True
102,Oceanobacillus,genus,True,False,182709,0.3866840302944183,0.38668403,diameter,0.9922009,749,Virgibacillus halodenitrificans,False
103,Virgibacillus,genus,True,False,84406,0.3823416531085968,0.38234165,diameter,0.9922009,748,Oceanobacillus picturae,False
104,Trueperella,genus,True,False,1069494,0.4151515066623688,0.4151515,diameter,0.9907763,1849,Curtobacterium flaccumfaciens,False
105,Actinotignum,genus,True,False,1653174,0.0039914031513035,0.003991403,diameter,0.99229586,1241,Actinobaculum massiliense,False
106,Gluconobacter,genus,True,False,441,0.9275382280349732,0.9800242,min_inter,0.976356,743,Acetobacter aceti,True
107,Legionella,genus,True,False,445,0.8999573826789855,0.99875635,min_inter,0.94732356,766,Fluoribacter dumoffii,True
108,Fluoribacter,genus,True,False,461,0.2206076681613922,0.22060767,diameter,0.94732356,759,Legionella cherrii,False
109,Tatlockia,genus,True,False,465,0.0003428767377045,0.00034287674,diameter,0.99175096,757,Legionella pneumophila,False
110,Tetragenococcus,genus,True,False,51668,0.9419297188520432,0.9724988,min_inter,0.99150497,1443,Enterococcus faecium,False
111,Acinetobacter,genus,True,False,469,0.917154386639595,0.9918111,min_inter,0.96542567,1075,Mycobacteroides abscessus,True
112,Moraxella,genus,True,False,475,0.9441107213497162,0.95658773,min_inter,0.99380076,1772,Enhydrobacter aerosaccus,False
113,Paraclostridium,genus,True,False,1849822,0.6112056970596313,0.6112057,diameter,0.95789886,809,Paeniclostridium sordellii,False
114,Fannyhessea,genus,True,False,2767327,0.6447668075561523,0.6447668,diameter,0.9957806,1472,Atopobium minutum,False
115,Neisseria,genus,True,False,482,0.9171803772449492,0.9895186,min_inter,0.965453,840,Eikenella corrodens,True
116,Mariprofundus,genus,True,False,377315,0.4647516310214996,0.46475163,diameter,0.995927,1519,Stenotrophomonas maltophilia,False
117,Paeniclostridium,genus,True,False,1849828,0.5796024203300476,0.5796024,diameter,0.95789886,799,Paraclostridium bifermentans,False
118,Solobacterium,genus,True,False,123375,0.5262082815170288,0.5262083,diameter,0.98859054,1443,Enterococcus faecium,False
119,Peptoniphilus,genus,True,False,162289,0.9175290137529372,0.9835469,min_inter,0.96582,1841,Anaerococcus lactolyticus,True
120,Psychrobacter,genus,True,False,497,0.0227684341371059,0.022768434,diameter,0.99484736,1772,Enhydrobacter aerosaccus,False
121,Planomicrobium,genus,True,False,162291,0.3632955253124237,0.36329553,diameter,0.9937436,667,Geobacillus thermoleovorans,False
122,Parabacteroides,genus,True,False,375288,0.9172076135873796,0.9930426,min_inter,0.9654817,1056,Bacteroides fragilis,True
123,Alcaligenes,genus,True,False,507,0.9090211391448976,0.90902114,diameter,0.98715234,628,Pseudomonas aeruginosa,False
124,Mycoplasmopsis,genus,True,False,2767358,0.93701171875,0.99423176,min_inter,0.9863281,495,Mycoplasma meleagridis,True
125,Bordetella,genus,True,False,517,0.8978877037763595,0.9778782,min_inter,0.94514495,590,Achromobacter xylosoxidans,True
126,Finegoldia,genus,True,False,150022,0.5955997705459595,0.5955998,diameter,0.96990645,1840,Anaerococcus hydrogenalis,False
127,Robbsia,genus,True,False,2038280,0.169342964887619,0.16934296,diameter,0.9887186,1384,Burkholderia contaminans,False
128,Acidiphilium,genus,True,False,522,0.012114685960114,0.012114686,diameter,0.9826547,981,Mesorhizobium plurifarium,False
129,Ochrobactrum,genus,True,False,528,0.5293433666229248,0.52934337,diameter,0.8879187,600,Brucella intermedia,False
130,Ardenticatena,genus,True,False,1382931,0.0044766901992261,0.00447669,diameter,0.9924237,823,Bordetella bronchiseptica,False
131,Laribacter,genus,True,False,168470,0.280442327260971,0.28044233,diameter,0.98846084,590,Achromobacter xylosoxidans,False
132,Chromobacterium,genus,True,False,535,0.9347003668546676,0.97242725,min_inter,0.9838951,590,Achromobacter xylosoxidans,False
133,Eikenella,genus,True,False,538,0.6616402864456177,0.6616403,diameter,0.965453,806,Neisseria elongata,False
134,Zymomonas,genus,True,False,541,0.5145900845527649,0.5145901,diameter,0.99205416,1785,Sphingobium yanoikuyae,False
135,Cytobacillus,genus,True,False,2675230,0.7733952403068542,0.77339524,diameter,0.99136025,1491,Bacillus methanolicus,False
136,Citrobacter,genus,True,False,544,0.8785912364721298,0.965135,min_inter,0.9248329,1880,Enterobacter hormaechei subgroup 2,True
137,Pannonibacter,genus,True,False,227873,0.4086077511310577,0.40860775,diameter,0.97528654,1542,Tistrella mobilis,False
138,Alkalihalobacillus,genus,True,False,2675234,0.9442533016204834,0.9963921,min_inter,0.99395084,1895,Bacillus pumilus subgroup 1,True
139,Enterobacter,genus,True,False,547,0.8785912364721298,0.98847836,min_inter,0.9248329,845,Citrobacter freundii,True
140,Neobacillus,genus,True,False,2675232,0.0022087774705141,0.0022087775,diameter,0.9932146,842,Cytobacillus firmus,False
141,Varibaculum,genus,True,False,184869,0.3596673607826233,0.35966736,diameter,0.99048406,454,Mobiluncus curtisii,False
142,Erwinia,genus,True,False,551,0.9239853292703628,0.9888502,min_inter,0.97261614,510,Pantoea agglomerans,True
143,Hafnia,genus,True,False,568,0.9360712438821792,0.94035167,min_inter,0.98533815,1884,Enterobacter cloacae subgroup 2,False
144,Thalassobacter,genus,True,False,266808,0.5994477868080139,0.5994478,diameter,0.9876843,1522,Phaeobacter gallaeciensis,False
145,Klebsiella,genus,True,False,570,0.8818059176206589,0.95557266,min_inter,0.92821676,1879,Enterobacter hormaechei subgroup 1,True
146,Pseudoleptotrichia,genus,True,False,2755140,0.4689655303955078,0.46896553,diameter,0.9891247,1438,Leptotrichia hofstadii,False
147,Morganella,genus,True,False,581,0.8318562507629395,0.83185625,diameter,0.9795897,869,Klebsiella pneumoniae,False
148,Proteus,genus,True,False,583,0.5902292132377625,0.5902292,diameter,0.96096545,875,Providencia stuartii,False
149,Providencia,genus,True,False,586,0.9129171818494796,0.98362255,min_inter,0.96096545,873,Proteus mirabilis,True
150,Salmonella,genus,True,False,590,0.880026552081108,0.8868819,min_inter,0.92634374,1893,Escherichia coli subgroup 2,False
151,Parvimonas,genus,True,False,543311,0.5219907164573669,0.5219907,diameter,0.98688364,1423,Streptococcus constellatus,False
152,Pedobacter,genus,True,False,84567,0.0002931261842604,0.00029312618,diameter,0.99571514,1763,Sphingobacterium spiritivorum,False
153,Serratia,genus,True,False,613,0.8941637992858886,0.98677874,min_inter,0.94122505,1880,Enterobacter hormaechei subgroup 2,True
154,Verrucosispora,genus,True,False,84593,0.010695893317461,0.010695893,diameter,0.9669298,1003,Salinispora arenicola,False
155,Xenorhabdus,genus,True,False,626,0.933513405919075,0.9690404,min_inter,0.9826457,1053,Photorhabdus temperata,False
156,Acidovorax,genus,True,False,12916,0.9184736222028732,0.9761799,min_inter,0.96681434,728,Alicycliphilus denitrificans,True
157,Yersinia,genus,True,False,629,0.9237202703952788,0.9809267,min_inter,0.9723371,867,Klebsiella aerogenes,True
158,Edwardsiella,genus,True,False,635,0.934931281208992,0.95268095,min_inter,0.9841382,885,Serratia rubidaea,False
159,Epibacterium,genus,True,False,1649279,0.0006908121868036,0.0006908122,diameter,0.9779489,1523,Phaeobacter italicus,False
160,Aeromonas,genus,True,False,642,0.9284255892038344,0.9732014,min_inter,0.9772901,937,Vibrio cholerae,False
161,Gardnerella,genus,True,False,2701,0.9188278079032898,0.96604276,min_inter,0.96718717,801,Neisseria gonorrhoeae,False
162,Franconibacter,genus,True,False,1649295,0.9019255340099336,0.9093285,min_inter,0.9493953,1883,Enterobacter cloacae subgroup 1,False
163,Photobacterium,genus,True,False,657,0.941651239991188,0.9943813,min_inter,0.99121183,1709,Aliivibrio fischeri,True
164,Vibrio,genus,True,False,662,0.9116854310035704,0.9950455,min_inter,0.9596689,877,Salmonella enterica,True
165,Faecalitalea,genus,True,False,1573534,0.5708501935005188,0.5708502,diameter,0.98304677,726,[Clostridium] innocuum,False
166,Leucobacter,genus,True,False,55968,0.6857787370681763,0.68577874,diameter,0.97707736,1850,Curtobacterium oceanosedimentum,False
167,Aureimonas,genus,True,False,414371,0.9201525449752808,0.92015254,diameter,0.9731774,1856,Aurantimonas manganoxydans,False
168,Jonquetella,genus,True,False,428711,0.1421847939491272,0.1421848,diameter,0.99374825,562,Azospirillum brasilense,False
169,Thermoclostridium,genus,True,False,2304691,0.000562640663702,0.00056264066,diameter,0.9945955,970,Hungateiclostridium thermocellum,False
170,Hungateiclostridium,genus,True,False,2304692,0.9406545370817184,0.98645025,min_inter,0.9901627,1717,Thermoanaerobacter thermocopriae,False
171,Marinobacter,genus,True,False,2742,0.5909497141838074,0.5909497,diameter,0.9927606,628,Pseudomonas aeruginosa,False
172,Jejuia,genus,True,False,762551,0.0129230767488479,0.012923077,diameter,0.9896964,1711,Algibacter lectus,False
173,Halomonas,genus,True,False,2745,0.94199438393116,0.9889514,min_inter,0.99157304,1542,Tistrella mobilis,False
174,Carnobacterium,genus,True,False,2747,0.9416755318641662,0.9933448,min_inter,0.9912374,1442,Enterococcus faecalis,True
175,Plesiomonas,genus,True,False,702,0.5021988749504089,0.5021989,diameter,0.9924541,910,Edwardsiella ictaluri,False
176,Mesorhizobium,genus,True,False,68287,0.9201703727245332,0.93815964,min_inter,0.9686004,722,Rhizobium etli,False
177,Moritella,genus,True,False,58050,0.0030734841711819,0.0030734842,diameter,0.993986,1709,Aliivibrio fischeri,False
178,Brochothrix,genus,True,False,2755,0.0118294917047023,0.011829492,diameter,0.9939459,1458,Enterococcus moraviensis,False
179,Actinobacillus,genus,True,False,713,0.8921291828155518,0.8921292,diameter,0.9771529,577,Mannheimia varigena,False
180,Haemophilus,genus,True,False,724,0.9221957147121428,0.99111515,min_inter,0.97073233,1286,Aggregatibacter aphrophilus,True
181,Altererythrobacter,genus,True,False,361177,0.0004829751269426,0.00048297513,diameter,0.98819256,1791,Sphingopyxis terrae,False
182,Sorangium,genus,True,False,39643,0.8719925880432129,0.8719926,diameter,0.9747883,1798,Streptomyces ruber,False
183,Anoxybacillus,genus,True,False,150247,0.0052726338617503,0.005272634,diameter,0.9857713,669,Geobacillus kaustophilus,False
184,Sulfitobacter,genus,True,False,60136,0.9359424799680708,0.987211,min_inter,0.9852026,497,Thalassobius mediterraneus,True
185,Pasteurella,genus,True,False,745,0.4119856655597687,0.41198567,diameter,0.9730617,988,Haemophilus influenzae,False
186,Endozoicomonas,genus,True,False,305899,0.94540776014328,0.9927835,min_inter,0.99516606,972,Marinobacter hydrocarbonoclasticus,False
187,Salinispora,genus,True,False,168694,0.9185833036899568,0.92298895,min_inter,0.9669298,888,Verrucosispora maris,False
188,Anaplasma,genus,True,False,768,0.9474623769521712,0.99817765,min_inter,0.9973288,1151,Ehrlichia ruminantium,True
189,Glycomyces,genus,True,False,58113,0.0060706404037773,0.0060706404,diameter,0.9716797,1817,Streptomyces viridochromogenes,False
190,Smaragdicoccus,genus,True,False,613121,0.0009460737928748,0.0009460738,diameter,0.98104787,1755,Nocardia seriolae,False
191,Bartonella,genus,True,False,773,0.9459370851516724,0.99626017,min_inter,0.99572325,1330,Candidatus Liberibacter americanus,True
192,Coxiella,genus,True,False,776,0.1943565458059311,0.19435655,diameter,0.9971802,1460,Lactococcus lactis,False
193,Rickettsia,genus,True,False,780,0.937899985909462,0.9845281,min_inter,0.98726314,474,Mycoplasma arginini,False
194,Candidatus Profftella,genus,True,False,1381133,0.0046403710730373,0.004640371,diameter,0.99520767,479,Mycoplasma hyopneumoniae,False
195,Ketogulonicigenium,genus,True,False,92944,0.0039726877585053,0.0039726878,diameter,0.98270047,618,Paracoccus pantotrophus,False
196,Veillonella,genus,True,False,29465,0.9438587993383408,0.9950471,min_inter,0.9935356,1351,Staphylococcus epidermidis,True
197,Ruegeria,genus,True,False,97050,0.6421458125114441,0.6421458,diameter,0.9877877,1523,Phaeobacter italicus,False
198,Pelosinus,genus,True,False,365348,0.1677151024341583,0.1677151,diameter,0.99465793,686,Sporomusa ovata,False
199,Olsenella,genus,True,False,133925,0.2968192398548126,0.29681924,diameter,0.9888597,1678,Brevibacterium casei,False
200,Chlamydia,genus,True,False,810,0.9345652043819428,0.9980769,min_inter,0.98375285,925,Gardnerella vaginalis,True
201,Photorhabdus,genus,True,False,29487,0.933513405919075,0.9364655,min_inter,0.9826457,889,Xenorhabdus nematophila,False
202,Bacteroides,genus,True,False,816,0.912254336476326,0.9985372,min_inter,0.9602677,703,Phocaeicola dorei,True
203,Hungatella,genus,True,False,1649459,0.2887663543224334,0.28876635,diameter,0.98532176,1344,[Clostridium] symbiosum,False
204,Mycobacteroides,genus,True,False,670516,0.917154386639595,0.92375404,min_inter,0.96542567,785,Acinetobacter lwoffii,False
205,Bellilinea,genus,True,False,475960,0.0023242300376296,0.00232423,diameter,0.99498093,823,Bordetella bronchiseptica,False
206,Leptolinea,genus,True,False,475966,0.0007634559297002,0.00076345593,diameter,0.9963466,889,Xenorhabdus nematophila,False
207,Butyrivibrio,genus,True,False,830,0.94498653113842,0.9904613,min_inter,0.99472266,1264,Blautia wexlerae,False
208,Fibrobacter,genus,True,False,832,0.0013723068404942,0.0013723068,diameter,0.9957187,720,Rhizobium leguminosarum,False
209,Porphyromonas,genus,True,False,836,0.9379383206367492,0.99905366,min_inter,0.9873035,1506,Tannerella forsythia,True
210,Prevotella,genus,True,False,838,0.9386567145586012,0.99860495,min_inter,0.9880597,1089,Porphyromonas gulae,True
211,Wohlfahrtiimonas,genus,True,False,582472,0.5268333554267883,0.52683336,diameter,0.996269,961,Vibrio anguillarum,False
212,Roseburia,genus,True,False,841,0.5377451181411743,0.5377451,diameter,0.9828629,1148,Dorea formicigenerans,False
213,Sanguibacteroides,genus,True,False,1635148,0.1674230992794037,0.1674231,diameter,0.987603,1066,Bacteroides salyersiae,False
214,Fusobacterium,genus,True,False,848,0.938735195994377,0.99639595,min_inter,0.9881423,1338,Peptostreptococcus anaerobius,True
215,Brachyspira,genus,True,False,29521,0.9424417734146118,0.96068597,min_inter,0.992044,711,Terrisporobacter glycolicus,False
216,Mycetocola,genus,True,False,76634,0.0005286343512125,0.00052863435,diameter,0.95303506,1815,Streptomyces rimosus,False
217,Dichelobacter,genus,True,False,869,0.1177660897374153,0.11776609,diameter,0.995362,1576,Kingella kingae,False
218,Desulfovibrio,genus,True,False,872,0.9376475542783737,0.99790955,min_inter,0.9869974,665,Desulfocurvibacter africanus,True
219,Rhodothermus,genus,True,False,29548,0.6356812715530396,0.6356813,diameter,0.99203926,1009,Glycomyces tenuis,False
220,Labrenzia,genus,True,False,478070,0.9391821891069412,0.9867543,min_inter,0.98861283,848,Pannonibacter phragmitetus,False
221,Taylorella,genus,True,False,29574,0.9373455196619034,0.975625,min_inter,0.9866795,1395,Deinococcus radiodurans,False
222,Acidaminococcus,genus,True,False,904,0.145308643579483,0.14530864,diameter,0.99379843,1145,Megasphaera elsdenii,False
223,Mageeibacillus,genus,True,False,1637257,0.2566371560096741,0.25663716,diameter,0.9907752,1468,Aerococcus christensenii,False
224,Megasphaera,genus,True,False,906,0.4428057670593261,0.44280577,diameter,0.9913442,981,Mesorhizobium plurifarium,False
