name,assembly_size,assembly_ncontigs,assembly_n50,fastq_nreads,fastq_nnucs,est_coverage
18AC0018937-BAP_S11,3779675,1069,9911,2667831,346924720,91.7869181874103
18AC0018937-BA_S10,2114726,219,39279,4106294,511820679,242.02694769913455
18AC0018937_S7,2109915,204,34842,3425485,424616387,201.24810098985031
18AC0018938-1_S14,4855576,843,16011,1684158,219955525,45.29957413909287
19AC0002347_S3,4664433,1984,3956,1869784,247088456,52.97288137700767
19AC0002348_S4,2113515,544,7378,1647325,211888188,100.25393148380778
19AC0002349B1_S10,653490,775,2628,366778,51686925,79.09367396593674
19AC0002349B2_S11,5202389,646,17675,1494758,198729773,38.19971420822242
19AC0002349_S5,5203589,887,12103,2071624,287016151,55.15734447897403
19AC0002350_S7,4586503,1099,9992,1482368,193371003,42.160880086636816
19AC0002351_S8,2382572,873,7951,1241763,135673320,56.94405877345994
19AC0006459_S1,6514693,1776,7462,2746042,372212140,57.13425636480491
19AC0006460_S2,5329882,673,19255,3627993,459075744,86.13244045552979
19AC0006461_S3,1890245,227,22166,3767582,477267904,252.48997034775914
19AC0011209-1_S9,8589141,6156,2698,1536139,210137600,24.465496607868005
19AC0011209PEA_S8,3478657,4652,11750,1424390,209179593,60.132284671929426
19AC0011210_S5,1874280,319,14297,2300565,294721738,157.24530913204003
19AC0011211-1_S6,3740723,696,14267,1750098,223307496,59.69634640148442
19AC0011211-2_S7,2978857,465,16968,1943076,237720944,79.80273776149711
19AC0011212ANO_S9,2460467,619,19988,1451419,191646505,77.89029684202227
19AC0011212_S8,1898929,306,13887,2030650,259301262,136.5513202442008
19AC0011213_S10,4759936,1093,9812,1009399,130814260,27.48235690563907
19AC0015929_S6,4363684,1023,8203,2387843,285006027,65.31316818541397
19AC0015930_S7,4336068,1159,8563,1813590,223381675,51.517106050919864
19AC0015931_S8,4990629,723,19849,2162559,258307418,51.75848936075994
19AC0016708_S8,5795620,996,12140,2373611,307153823,52.99757799855753
19AC0016709_S9,3820764,1010,9944,2588893,307820439,80.56515372318206
19AC0016710_S10,1788508,249,27744,1648509,229710557,128.4369748415998
19AC0016711_S11,2563002,243,33958,1409420,205236898,80.07676076725652
19AC0016712_S12,2693869,591,17305,2477895,329794107,122.42395862605049
20AC0000919-C1_S1,5582905,752,20555,1694462,216466504,38.77309465233601
20AC0000920-B1_S3,6635643,930,17150,2150487,267775736,40.35415045685851
20AC0000920-B2_S4,2357903,1029,9212,2628151,320504259,135.92766920437356
20AC0000921-B_S5,2752523,852,14399,3871289,440172917,159.91616309836468
20AC0000922-BANO2_S7,2071406,247,24292,2431840,300307056,144.97739989166777
20AC0000922-BO2_S6,2050364,337,22589,1869577,232913261,113.59605465175939
20AC0000922-C2ANO2_S9,6235421,2586,5875,1725588,222648282,35.70701673551794
20AC0000923-C_S11,2544941,457,16461,2138316,279107503,109.67150240418147
