Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	N50	N75	L50	L75	# N's per 100 kbp
19_93278	742	372	212	148	56	15	4875851	4739905	4318421	3836598	2404870	997908	454	107707	4797836	25061	11767	56	127	0.00
19_94885	531	313	204	145	57	15	4605495	4526230	4224433	3773153	2375744	942928	361	88310	4561252	25720	13487	54	115	0.00
19_95802	530	321	205	145	57	15	4619354	4541324	4223098	3775638	2386095	948873	371	88310	4577531	25755	13486	54	115	0.00
19_96397	534	282	183	123	59	21	4545981	4458425	4209461	3767684	2741910	1422789	329	137155	4491890	33759	14695	42	91	0.00
19_97716	591	347	214	146	58	15	4775607	4679772	4312658	3805082	2393832	930522	407	88342	4722294	25362	12293	57	123	0.00
19_97720	625	346	216	144	58	15	4788810	4680729	4331842	3795856	2415761	951957	412	88342	4726772	25389	12294	56	122	0.00
19_98003	607	343	213	144	59	15	4786321	4683534	4328388	3814903	2457852	962525	406	88340	4728010	25389	12513	56	121	0.00
19_98077	587	355	212	147	58	15	4795263	4701895	4316090	3835053	2401519	930098	416	88342	4745272	25362	12491	57	123	0.00
19_98314	583	354	218	148	58	14	4802669	4709651	4335157	3809701	2390396	881913	417	88342	4755178	25008	12064	58	127	0.00
19_99618	504	289	197	132	55	17	4560905	4485705	4258132	3779252	2502895	1232774	333	141861	4515940	27963	14687	46	101	0.00
19_99928	623	338	210	143	58	16	4768641	4664793	4311504	3810221	2452311	1025945	400	88310	4708700	25720	12481	55	119	0.00
20_00022658	554	344	212	148	58	16	4813335	4734576	4378924	3905546	2459513	1033142	395	90590	4771317	25355	13222	56	120	0.00
20_00022773	532	318	202	146	57	17	4680301	4601326	4289714	3868443	2442333	1096038	367	90590	4636552	25720	14019	53	113	0.00
2000027886	160	81	54	43	25	15	2158666	2129524	2059719	1977115	1645900	1267065	95	208059	2140308	59582	28582	12	24	0.00
20_00087722	64	25	20	19	18	15	4688329	4676118	4665918	4659104	4644943	4525388	30	1121645	4679342	406310	228307	4	7	0.00
20_00087750	60	25	20	19	18	15	4686975	4675833	4665633	4658819	4644658	4525103	30	1121572	4679090	613244	228307	3	6	0.00
20_00155734	153	96	72	62	48	41	5675531	5653420	5602788	5529206	5322120	5062755	109	303917	5662654	129822	84598	15	28	0.00
20_00155735	109	55	36	34	31	24	5633005	5616021	5582966	5567013	5501393	5257395	63	468414	5620962	273080	160338	8	14	0.00
20_00155736	144	78	51	47	42	34	5493492	5465472	5409940	5381132	5287770	4982764	98	654180	5480164	147303	94200	11	22	0.00
20_00155737	132	83	63	56	43	36	5474012	5453940	5409148	5351254	5142984	4917638	98	279994	5464429	148541	98134	14	25	0.00
20_00159423	123	78	61	57	44	38	5367185	5350268	5314501	5282939	5082912	4858777	87	283852	5357093	129389	98134	14	26	0.00
20_00159425	143	92	73	63	48	39	5661912	5640990	5601173	5529252	5275137	4976037	104	331334	5650044	130563	92094	16	28	0.00
20_00159426	108	75	58	51	41	31	5727080	5716323	5681144	5627881	5479720	5105804	79	504185	5718877	181279	95540	10	20	0.00
20_00159428	96	64	49	44	40	31	6336645	6323831	6287040	6255685	6190628	5877801	73	508247	6329974	194502	116004	9	19	0.00
20_00159432	190	59	30	27	23	18	4246379	4191636	4130116	4107101	4055648	3870919	97	414643	4217229	272906	168137	7	11	0.00
20_00159433	98	65	52	48	43	35	5502808	5489675	5458951	5430288	5343681	5017887	73	292000	5495493	152323	112307	13	24	0.00
20_00159436	160	102	57	51	44	31	5639343	5611984	5519418	5473979	5376160	4917858	121	438782	5626783	170060	89500	10	22	0.00
20_00175806	192	110	66	52	36	30	5757793	5728400	5619282	5511100	5273621	5089227	125	463360	5738973	199387	99494	10	20	0.00
20_00175807	94	51	38	33	28	24	5485483	5468971	5443930	5410851	5319968	5196457	62	851483	5476255	269398	162470	7	13	0.00
20_00175809	192	107	68	55	40	29	5678798	5644977	5550117	5453704	5216010	4805017	132	397522	5662401	176849	94203	11	23	0.00
20_00194248	187	104	72	60	44	33	5658351	5628507	5552680	5468247	5209151	4847899	121	324654	5641007	142289	95231	12	24	0.00
20_00194250	105	50	35	34	30	23	5568021	5550290	5520571	5510626	5418734	5184939	56	743369	5554674	272684	144390	6	13	0.00
20_00230865	171	86	64	57	43	30	5720387	5688590	5634991	5586581	5367667	4908228	105	556506	5701855	167632	98222	11	23	0.00
20_00249817	122	63	48	39	35	22	5549906	5530528	5494563	5424516	5365984	4908800	74	453088	5537777	336517	122186	7	14	0.00
20_00249818	143	68	57	49	39	32	6411302	6382621	6356686	6298841	6150286	5934776	88	445749	6396039	236253	126825	11	20	0.00
20_00249820	123	59	40	34	28	19	5543948	5515720	5474252	5438541	5322942	4990226	80	1055091	5530417	344313	143417	5	11	0.00
20_00249824	121	48	34	31	29	20	6345196	6321886	6285531	6263223	6234573	5905144	58	1642486	6328618	364740	195425	5	10	0.00
20_00249825	101	54	41	34	32	22	5416386	5398357	5364925	5314249	5289568	4944319	67	849882	5406819	250099	147391	7	13	0.00
20_00249831	189	79	56	50	35	24	5842785	5804506	5746632	5706266	5450138	5057036	95	802011	5816116	255695	109068	8	17	0.00
20_00249833	173	89	63	56	42	31	5631800	5599780	5538182	5488433	5264317	4884504	111	579119	5614926	165790	95237	10	22	0.00
20_00249835	130	71	56	53	45	36	5549253	5527809	5493819	5475842	5339853	5016968	83	328149	5536811	137477	95785	13	25	0.00
20_00249838	117	66	48	41	30	23	5487047	5466915	5427409	5378212	5184428	4936448	79	539708	5475691	249120	157404	8	14	0.00
20_00249842	138	90	68	56	42	35	5661182	5643355	5595424	5506988	5266616	5020873	103	412551	5652080	160161	95185	12	23	0.00
20_00249844	108	72	46	40	31	26	5474593	5457674	5392178	5355167	5204659	5056746	86	498479	5467253	223670	143377	8	16	0.00
20_00249846	138	66	36	31	25	19	5508091	5480499	5414503	5384887	5266056	5056995	83	851483	5492331	323643	157123	6	12	0.00
20_00249847	99	55	37	31	27	20	5482125	5464062	5424370	5388330	5316944	5053667	69	891435	5473475	304259	158546	6	12	0.00
20_00249848	344	252	167	129	77	26	5415052	5377791	5166537	4886689	4007818	2221071	276	151149	5395699	43528	23781	37	79	0.00
20_00249851	142	63	41	34	29	21	5506815	5473016	5418221	5370824	5277559	4974284	89	975878	5491479	317176	157519	6	12	0.00
20_00249852	167	87	63	56	43	33	5669096	5641186	5582195	5531320	5333923	5009849	101	368189	5650762	151500	98222	12	23	0.00
20_00249854	113	55	35	34	32	27	5622371	5603596	5557612	5551900	5523845	5358167	65	745025	5610123	268963	144390	8	15	0.00
20_00249856	119	54	38	35	28	20	5517055	5493828	5451587	5430926	5316217	5016029	65	851361	5501120	304257	157519	6	12	0.00
20_00249857	82	43	30	27	24	21	5577106	5562360	5531210	5506882	5452508	5342429	52	892549	5568823	349761	218408	6	11	0.00
20_00249861	156	102	65	55	39	28	5628758	5607176	5513992	5439413	5183890	4777282	117	426392	5617932	176849	95878	11	21	0.00
20_00249863	576	375	243	177	78	14	5590933	5512572	5165438	4669580	3072489	918816	417	86009	5542461	27226	14240	67	135	0.00
20_00249866	171	87	65	56	43	30	5718277	5686154	5628614	5561293	5350018	4903255	107	556857	5700334	181934	95237	10	22	0.00
20_00249869	246	201	140	111	63	38	5653109	5631060	5480350	5264720	4507610	3621955	220	237876	5645987	64263	32213	24	54	0.00
20_00249870	124	72	54	48	39	30	5405478	5385143	5339972	5294432	5137915	4830432	84	430278	5394563	205233	98222	10	20	0.00
20_00249871	177	91	64	54	41	32	5713172	5680532	5613554	5545835	5335536	5046462	114	328943	5695931	178455	99494	12	23	0.00
20_00283099	135	54	39	34	30	23	5561838	5530702	5495638	5463801	5397810	5150400	70	975866	5541683	270421	158512	7	13	0.00
20_00283100	129	50	36	34	31	26	5611053	5585661	5551500	5536189	5479551	5294411	64	609324	5595374	250163	127608	7	14	0.00
20_00283101	124	66	50	47	43	33	5547659	5527356	5487464	5464384	5401573	5015025	76	654232	5534297	152323	104826	11	22	0.00
20_00283103	131	62	40	33	27	19	5504736	5476808	5433797	5391515	5287881	5005053	80	975744	5489465	329725	157519	6	12	0.00
20_00283104	567	372	239	159	54	7	4715034	4637227	4284838	3704215	1984906	455914	412	79269	4667251	21819	12166	69	141	0.00
20_00283117	130	82	57	52	43	28	5368039	5345467	5292811	5262658	5118190	4572097	98	540101	5356721	163584	86633	10	21	0.00
20_00283118	143	84	61	53	41	30	5407669	5382787	5334899	5271685	5078712	4706118	99	551524	5394596	201354	83666	10	21	0.00
20_00302749	83	40	31	30	29	23	5366109	5349436	5328529	5323350	5312708	5083391	51	851482	5357165	323505	143417	6	13	0.00
20_00302752	52	25	20	17	17	13	5329047	5319564	5306071	5280918	5280918	5144046	31	1422214	5323794	541310	394137	3	6	0.00
20_00302753	116	58	45	42	37	30	4968111	4949705	4916038	4896795	4826510	4549899	66	453729	4955281	190878	103715	9	18	0.00
20_00302754	82	35	24	21	18	13	4894300	4874740	4849036	4827353	4785882	4603459	51	1525982	4886527	522791	282243	3	6	0.00
20_00302756	133	63	44	40	31	22	5119997	5094307	5046241	5012956	4850277	4498159	79	571627	5106160	263259	115602	7	14	0.00
20_00302757	130	67	51	48	38	29	5383139	5361736	5327776	5304242	5143809	4810816	78	557282	5369397	189984	106064	10	19	0.00
20_00302758	106	65	54	52	42	28	5281750	5262721	5237737	5225870	5050326	4595859	79	326230	5272676	158541	98764	11	21	0.00
20_00302759	117	86	61	52	42	33	5606657	5593681	5535654	5464191	5278563	4968713	94	402580	5599655	146832	95245	12	24	0.00
20_00302762	139	81	59	52	41	31	5409518	5385831	5338444	5284046	5086974	4758289	94	551524	5395893	165462	96631	11	22	0.00
20_00307547	92	52	39	34	32	27	5594590	5576815	5548131	5507444	5476175	5288512	66	690987	5586705	276096	108892	7	15	0.00
20_00307549	197	73	44	37	30	22	5564700	5516723	5456749	5412859	5279313	4984698	101	794459	5537284	303663	116904	6	13	0.00
20_00307550	156	79	60	53	38	29	5540866	5512099	5467090	5418126	5183740	4890846	96	519939	5523831	182034	99494	11	21	0.00
20_00307551	106	63	40	38	36	29	5624980	5609305	5555114	5543130	5511478	5260594	70	508228	5614621	216439	112204	9	17	0.00
20_00317566	144	69	41	36	28	20	5536797	5504466	5447112	5414642	5268092	5000325	89	892094	5518019	290004	159737	6	12	0.00
20_00317568	175	78	43	35	30	21	5686755	5647230	5558941	5502761	5406095	5092640	99	893315	5661921	308956	158622	6	12	0.00
20_00317570	81	39	30	28	27	21	5364649	5348096	5328319	5313532	5302890	5080424	52	977436	5356536	305465	182096	6	12	0.00
20_00317573	162	83	58	50	40	31	5635509	5604437	5541147	5484880	5322255	5025132	106	501494	5620153	190144	99494	10	21	0.00
20_00317578	160	99	65	54	40	28	5679497	5657684	5575629	5494472	5251157	4810327	111	413384	5666789	176852	98221	10	21	0.00
2100008333	138	72	52	45	28	13	2153572	2128453	2069455	2017637	1729541	1130997	88	207867	2139747	58372	36479	12	24	0.00
2100009562	141	75	58	48	27	12	2134007	2110522	2067681	2004554	1619727	1039892	85	207523	2117848	49291	25681	13	26	0.00
2100009816	233	84	60	47	26	13	2177976	2126317	2058512	1963253	1597870	1093512	112	174246	2145947	54632	24113	13	27	0.00
2100010258	164	98	67	54	29	12	2141881	2116416	2030647	1930768	1509259	832379	115	105247	2128151	46984	22534	17	33	0.00
2100010653	130	65	50	39	25	15	2106372	2083458	2043308	1965852	1714610	1328050	79	207990	2092736	64371	35590	11	21	0.00
21_00249822	140	65	38	32	27	22	5459944	5433202	5367177	5331117	5239488	5057630	79	896979	5442639	314404	147391	7	13	0.00
21_00302750	81	45	33	31	29	21	5404648	5388390	5358451	5344044	5313506	5009246	54	851638	5394798	344403	157479	6	11	0.00
21_00302751	139	65	42	36	30	22	5548340	5516790	5468364	5429547	5315098	5028294	83	962609	5529690	232298	143379	6	13	0.00
21_00312932	129	86	61	57	46	34	4396655	4376349	4323652	4294526	4117717	3685053	101	295862	4387417	101850	64247	14	28	0.00
21_00325050	116	60	46	39	29	22	5242407	5220175	5182525	5136480	4987193	4760734	72	729445	5229030	218581	134440	7	15	0.00
21_00325051	195	96	64	52	39	31	5633944	5596664	5512960	5423758	5187476	4922828	120	325097	5613609	206479	98210	11	22	0.00
21_00325054	136	54	40	36	32	24	5517505	5486585	5453395	5426813	5364071	5080322	72	851338	5498925	223591	143419	7	14	0.00
21_00325056	117	61	36	36	32	28	5593351	5575355	5513586	5513586	5442387	5304229	69	468424	5580544	230910	144157	9	16	0.00
21_00325057	127	81	62	57	44	34	5458995	5441656	5401332	5361960	5127899	4803917	91	301695	5448579	137388	98186	13	25	0.00
21_00325059	99	58	42	37	34	28	5600655	5582972	5550103	5512780	5456262	5239387	70	533966	5591719	236464	119011	8	17	0.00
21_00325061	119	85	69	58	45	32	5529906	5516001	5474491	5391691	5162307	4704826	94	417129	5522121	143579	87469	12	24	0.00
21_00325062	144	56	38	35	27	20	5562599	5526756	5477611	5458214	5313593	5059006	80	977436	5543471	313783	190129	7	12	0.00
21_00325063	123	59	36	33	27	21	5552140	5525041	5471022	5452764	5338814	5105627	78	977261	5538710	304257	190314	7	12	0.00
21_00333645	117	65	46	40	32	25	5488379	5468959	5424596	5385721	5234880	4999783	76	869914	5476483	188813	107173	6	15	0.00
21_00333648	134	80	51	46	37	24	5499804	5475339	5411283	5377711	5213271	4724215	96	977242	5486416	208144	105529	8	17	0.00
21_00334467	121	86	62	59	46	29	4397004	4380416	4331415	4310303	4102936	3500209	99	298384	4389895	103976	64247	13	26	0.00
21_00336476	92	59	47	42	38	30	5401239	5385909	5354315	5314965	5235761	4939077	71	447797	5394052	198923	112521	9	19	0.00
21_00336477	95	62	46	42	39	29	5483649	5471151	5432324	5406024	5346428	5004433	68	596419	5474950	220925	96857	8	18	0.00
21_00336483	87	55	43	41	37	28	5356350	5341986	5309723	5295016	5221525	4910253	64	547261	5348295	182714	112669	10	19	0.00
21_00336485	152	74	55	51	43	32	5582824	5555109	5509485	5481876	5344804	4954888	87	445504	5564742	141655	98226	11	23	0.00
21_00336491	70	35	30	24	21	16	4943149	4930952	4916529	4875161	4828154	4662056	42	1058838	4935968	313028	230769	5	9	0.00
21_00336493	114	50	40	33	26	22	5484469	5459244	5435154	5388461	5260686	5127396	66	690666	5470702	242719	164442	7	13	0.00
21_00336494	137	71	53	49	38	29	5470922	5449866	5409680	5377045	5187536	4899782	81	430021	5456192	206495	99898	10	20	0.00
21_00340612	105	61	47	40	39	30	5593989	5575122	5542109	5487473	5474886	5111240	74	551835	5584279	228598	98310	8	18	0.00
21_00340616	137	53	39	36	33	27	5612595	5584256	5553028	5529322	5471775	5237749	69	533592	5595639	228791	120427	8	16	0.00
21_00340620	156	75	57	54	40	34	5841885	5815051	5763286	5744079	5493033	5295152	86	399988	5823069	191846	96318	11	21	0.00
21_00340623	108	73	45	39	33	25	5440539	5423632	5367174	5324759	5212690	4951633	83	851637	5431191	232298	125862	8	15	0.00
21_00342440	97	49	31	26	24	20	5130471	5111877	5070078	5038947	4999719	4856159	61	616260	5119361	293296	193488	6	12	0.00
21_00342461	105	63	43	41	38	33	5574040	5557713	5512233	5494824	5441022	5271502	71	508228	5563974	197922	112204	10	20	0.00
21_00345447	87	49	39	37	34	28	5598772	5581247	5559387	5543964	5500691	5267485	62	609468	5590486	250123	108892	7	16	0.00
21_00345448	130	67	38	34	27	19	5547063	5516060	5447747	5423464	5287753	4985597	90	540101	5532970	345202	178874	7	12	0.00
21_00345449	125	73	47	42	35	26	5544489	5518760	5457529	5417170	5303376	4971700	92	851638	5531808	250298	105529	8	15	0.00
21_00345450	77	54	40	39	37	31	5648120	5639768	5612348	5604943	5565829	5358351	58	515327	5642836	230870	119666	9	18	0.00
21_00349260	45	17	13	12	12	11	4892140	4885295	4879239	4874092	4874092	4840383	17	1657913	4885295	863097	507067	2	4	0.00
21_00349262	112	76	63	55	48	33	4592305	4581435	4553050	4503044	4395427	3859422	81	301211	4584612	115555	68449	14	27	0.00
21_00349263	192	104	69	60	45	32	5574009	5543622	5458644	5392754	5166370	4729097	119	573556	5554461	135886	86573	12	24	0.00
21_00349264	133	72	56	47	34	29	5232824	5209897	5164219	5109809	4882719	4698696	87	504799	5219952	185678	105424	10	20	0.00
21_00349265	142	74	54	50	38	29	5470939	5448353	5402225	5370515	5166395	4849957	84	430047	5455733	190109	99838	10	20	0.00
21_00349266	400	146	122	103	69	33	5214092	5150882	5092853	4953749	4354751	3086646	157	327286	5159447	62201	34192	24	54	0.00
21_00349881	78	42	28	25	24	20	5417174	5404251	5365828	5343288	5321459	5182719	50	1151623	5409210	384497	200186	5	10	0.00
21_00352139	79	37	30	28	27	23	5486526	5473127	5455963	5441053	5417382	5294728	42	837434	5476241	404145	146079	5	11	0.00
21_00352982	49	25	20	18	17	15	4702458	4694743	4682986	4671115	4660222	4577579	28	937095	4696892	481290	227951	4	7	0.00
21_00354151	103	58	41	35	32	25	5538565	5521497	5483943	5447496	5399972	5183042	71	977261	5529587	269392	143419	7	14	0.00
21_00355229	144	91	62	57	47	34	5514665	5492686	5426120	5386718	5221801	4786205	105	325490	5502707	136614	94907	13	26	0.00
21_00355232	100	62	41	37	31	25	5518121	5500208	5461231	5433575	5323517	5112080	77	584577	5510435	250295	129934	7	14	0.00
21_00355235	87	46	35	33	28	21	5490399	5475089	5447698	5434442	5353445	5124623	56	1018813	5481673	304258	158464	6	11	0.00
21_00355237	191	93	64	58	41	32	5697277	5663032	5593234	5545052	5261115	4925367	109	426235	5674842	143618	92382	11	23	0.00
21_00355240	123	60	36	36	33	28	5595021	5574009	5516491	5516491	5461270	5285975	72	591918	5581708	217251	119706	9	17	0.00
21_00357388	179	77	55	45	34	23	5839843	5802608	5747271	5680419	5486670	5100092	98	801060	5816977	263581	115346	7	16	0.00
21_00357389	158	86	59	54	46	34	5528319	5504154	5444151	5409565	5273669	4851681	97	376689	5512001	134999	95238	13	25	0.00
21_00357391	74	43	34	32	29	22	5399794	5384219	5362321	5347614	5293069	5033999	55	977241	5393025	350526	158450	5	11	0.00
21_00357392	212	120	78	65	46	32	5683968	5646219	5552437	5451536	5129292	4587827	144	390594	5663272	131983	87030	14	27	0.00
21_00357393	121	73	57	52	42	34	5410869	5393001	5358269	5320386	5151528	4873276	82	430238	5399918	141340	96670	12	24	0.00
21_00357397	131	64	42	36	29	24	5549376	5522617	5473410	5437300	5331399	5165576	77	851638	5531387	269795	147351	7	13	0.00
21_00357398	162	94	69	58	43	32	5586238	5557004	5493958	5416655	5185190	4799944	117	430145	5572607	145149	95197	12	24	0.00
21_00357399	105	50	36	33	27	23	5485365	5466315	5435011	5416303	5302754	5164395	58	690356	5471845	243272	159692	7	14	0.00
21_00357400	174	94	63	54	41	30	5667357	5639451	5562802	5498919	5287432	4922671	108	384318	5649465	178475	99494	11	22	0.00
21_00357401	151	73	46	38	32	23	5694607	5663158	5598858	5536887	5419456	5107643	97	508222	5681495	341438	151785	7	13	0.00
21_00357402	103	64	47	46	40	28	5217199	5200875	5161337	5154599	5041359	4639463	74	385878	5207754	212485	96997	10	19	0.00
21_00360763	76	52	46	44	42	36	5450536	5441941	5429977	5416091	5383796	5128966	56	657019	5444951	143329	104906	12	22	0.00
21_00360765	114	75	47	40	35	29	5175207	5157496	5082470	5032994	4951609	4765034	94	524763	5169463	164800	102050	9	19	0.00
21_00360766	158	94	75	66	52	42	5556938	5530600	5483238	5419562	5194335	4875775	113	270111	5543317	112534	72750	17	31	0.00
21_00360767	149	109	75	62	47	36	5568293	5548227	5463727	5367513	5103400	4721035	126	317125	5562248	134149	85652	15	28	0.00
21_00360768	146	91	64	60	48	37	5504990	5481850	5412668	5382373	5173324	4791429	109	325330	5494551	126809	95150	15	28	0.00
21_00364020	213	104	77	66	48	36	5693597	5653382	5587659	5506404	5221079	4768398	127	270606	5667926	129389	87452	16	29	0.00
21_00364021	105	66	51	44	34	26	6028729	6012222	5982215	5926525	5752889	5503492	80	841737	6021298	229344	117550	7	16	0.00
21_00364027	125	76	51	48	43	34	5533074	5511911	5452837	5432701	5344315	4999811	91	657050	5523200	143332	94304	12	23	0.00
21_00364028	95	58	50	46	39	32	5455009	5441071	5420680	5386199	5274331	4991523	66	654231	5446950	156598	124789	11	21	0.00
