genome,assm_total_size,assm_ncontigs,assm_nkmers,assm_kmers_per_kb,assm_frac_singletons,assm_max_kmer_count,raw_nreads,raw_mean_read_len,raw_est_coverage,raw_nkmers
20AC0000920-B1_S3_L001_R1_001,6635643,930,7612,1.1471382652743676,0.9863373620599054,4,2150487,124.51864903159145,40.35415045685851,10042
19AC0006461_S3_L001_R1_001,1890245,227,2649,1.4014056378935005,0.9894299735749339,7,3767582,126.67750934153523,252.48997034775914,8451
18AC0012150R_S3_L001_R1_001,4024985,289,7489,1.8606280520300076,0.9949258913072506,3,1934372,141.4805771588919,67.99430730797755,10922
20AC0000922-BO2_S6_L001_R1_001,2050364,337,4542,2.2152164201088196,0.9964773227653017,3,1869577,124.58072654937453,113.59605465175939,8667
16AC1611141-CAP_S16_L001_R1_001,4220639,723,9307,2.2051163342801883,0.9960244976899109,2,1340197,139.63458804936886,44.33874965378465,13152
17AC0001411B_S10_L001_R1_001,2753607,228,6970,2.5312254072567364,0.993974175035868,3,4224840,123.15037563552703,188.94876175140462,19343
19AC0011211-2_S7_L001_R1_001,2978857,465,5456,1.83157499671854,0.9924853372434017,3,1943076,122.34258670273319,79.80273776149711,9355
17AC0006310_S6_L001_R1_001,5236288,2339,8258,1.5770713910312038,0.989949140227658,3,1270772,123.81627860859383,30.048435074617746,10241
17AC0001410B_S13_L001_R1_001,2985032,604,5440,1.8224260242436263,0.9924632352941176,3,4657878,125.53367821140871,195.88418415614976,15022
19AC0002347_S3_L001_R1_001,4664433,1984,6822,1.462557185407101,0.9871005570214013,3,1869784,132.148128339958,52.97288137700767,9882
19AC0002350_S7_L001_R1_001,4586503,1099,9693,2.113374830453616,0.9945321365934179,126,1482368,130.44736732039547,42.160880086636816,13446
19AC0011209-1_S9_L001_R1_001,8589141,6156,13165,1.532749316840881,0.9856437523737182,4,1536139,136.79595401197417,24.465496607868005,16961
20AC0000921-B_S5_L001_R1_001,2752523,852,6949,2.524592891685192,0.9932364368973953,4,3871289,113.70190058143424,159.91616309836468,14544
16AC1611139-CAP_S14_L001_R1_001,4913689,440,7474,1.5210567864592164,0.9899652127374899,3,1054659,140.21723040338156,30.095792387348894,9347
19AC0015929_S6_L001_R1_001,4363684,1023,9672,2.2164758034724787,0.9929693961952026,36,2387843,119.35710471752121,65.31316818541397,13563
18AC0018936-1_S12_L001_R1_001,200285,604,375,1.8723319270040193,0.9813333333333333,2,62682,100.39462684662263,31.41990663304791,4408
17AC0001410_S9_L001_R1_001,4827178,526,10270,2.127537041310679,0.9935735150925025,4,2663277,133.62501872692926,73.72432485398299,17532
17AC0012455-1A_S1_L001_R1_001,2371946,1826,5019,2.11598409070021,0.9934249850567842,3,2275970,122.74478442158728,117.77816484860953,14116
17AC0006314_S11_L001_R1_001,6088600,2493,6733,1.1058371382583845,0.9848507351849102,4,890126,132.9766257810692,19.440586013205007,7879
19AC0016712_S12_L001_R1_001,2693869,591,6831,2.535758049110777,0.9938515590689504,2,2477895,133.0944640511402,122.42395862605049,14047
18AC0017658_S3_L001_R1_001,4362125,927,9694,2.222311373470499,0.9938106044976274,36,2053484,125.4107346344067,59.03749594521019,13335
19AC0011211-1_S6_L001_R1_001,3740723,696,8452,2.259456260193551,0.9924278277330809,6,1750098,127.59713798884405,59.69634640148442,12358
19AC0002348_S4_L001_R1_001,2113515,544,3174,1.501763649654722,0.9899180844360429,3,1647325,128.62561303932134,100.25393148380779,6498
17AC0001408_S7_L001_R1_001,1964529,157,4383,2.231069126492915,0.997946611909651,4,4778804,129.18458070261931,314.2472271979696,17886
18AC0012153-C_S8_L001_R1_001,4818958,616,10400,2.1581429014322184,0.9918269230769231,4,1085060,151.0,33.99989375296485,14000
17AC0001412BR_S12_L001_R1_001,2048379,433,4389,2.1426698867738834,0.9952153110047847,3,3057451,128.54359399382034,191.86671021329548,12235
17AC0003893_S1_L001_R1_001,1891928,243,2649,1.4001589912512526,0.990562476406191,7,2226237,125.08464013490028,147.18744793670794,6153
17AC0006311_S7_L001_R1_001,1808596,118,4543,2.5118932033466845,0.9964780981730135,3,1625017,121.85759964357295,109.4886149256108,7218
18AC0017656_S1_L001_R1_001,1768110,143,2476,1.4003653618835932,0.997172859450727,3,3153125,132.48600388503468,236.26636973943926,7697
19AC0016710_S10_L001_R1_001,1788508,249,4503,2.5177410444907156,0.996224739062847,4,1648509,139.34443609346386,128.4369748415998,8725
20AC0000923-C_S11_L001_R1_001,2544941,457,5791,2.2754947953606783,0.9936107753410465,3,2138316,130.52678041973218,109.67150240418147,10755
18AC0017657_S2_L001_R1_001,1884783,236,2647,1.404405706121076,0.9909331318473744,7,2732260,131.69244764407486,190.90686142648784,6419
18AC0018936-ANO2_S16_L001_R1_001,5305178,1200,10098,1.9034234101098964,0.9946524064171123,4,1796225,127.96806357778118,43.327374689407215,13098
17AC0001410A_S12_L001_R1_001,2985418,570,5451,1.8258749696022467,0.9913777288570904,3,3864669,131.78021895277448,170.5914974050535,13484
20AC0000922-C2ANO2_S9_L001_R1_001,6235421,2586,12288,1.9706768797167025,0.9932454427083334,4,1725588,129.0274862829366,35.70701673551794,16265
19AC0016708_S8_L001_R1_001,5795620,996,9705,1.6745404288065815,0.9893869139618753,4,2373611,129.40360615113428,52.99757799855753,13143
19AC0016709_S9_L001_R1_001,3820764,1010,7375,1.9302422238065475,0.9955254237288136,3,2588893,118.90040994355502,80.56515372318206,11091
18AC0018937-BA_S10_L001_R1_001,2114726,219,5041,2.383760354769365,0.9970243999206506,4,4106294,124.64296979222628,242.02694769913455,15541
19AC0002349_S5_L001_R1_001,5203589,887,9890,1.9006112896310605,0.9932254802831143,3,2071624,138.5464500314729,55.15734447897403,14389
19AC0011213_S10_L001_R1_001,4759936,1093,10122,2.126499179820905,0.9929855759731279,4,1009399,129.59618545292793,27.48235690563907,12481
18AC0018934_S10_L001_R1_001,4876794,766,10737,2.2016513307718144,0.9946912545403744,4,2346760,120.41744575499838,57.94602868195786,14232
18AC0018935_S11_L001_R1_001,5867697,1054,11022,1.8784201024695037,0.9905643258936672,4,1756732,125.82610950332777,37.67112599713312,14138
18AC0007010CHO_S7_L001_R1_001,5337224,870,8279,1.5511809135235846,0.9917864476386037,4,2215327,122.63687798686153,50.90301381392274,11795
18AC0012152_S9_L001_R1_001,1887508,229,2645,1.4013185639478085,0.9905482041587902,7,3030748,130.62052074273413,209.73573727899432,6852
19AC0011210_S5_L001_R1_001,1874280,319,3407,1.8177646883069765,0.9953037863222777,2,2300565,128.10841597607543,157.24530913204003,7831
19AC0002351_S8_L001_R1_001,2382572,873,5495,2.306331141304439,0.9941765241128299,3,1241763,109.25862664614745,56.94405877345994,8366
