sp_idx,sp_name,sp_ngenomes,ngroups,n_to_remove,frac_to_remove,sp_needs_remove
1017,Enterococcus faecium,412,1,1,0.0024271844660194173,false
429,Klebsiella aerogenes,108,1,1,0.009259259259259259,false
1159,Arcobacter lanthieri,3,1,1,0.3333333333333333,false
592,Coxiella burnetii,25,1,1,0.04,false
198,Pseudomonas savastanoi,25,1,1,0.04,false
313,Legionella massiliensis,2,1,1,0.5,true
1198,Listeria ivanovii,6,1,1,0.16666666666666666,false
1062,Bacillus subtilis,75,1,1,0.013333333333333334,false
253,Chryseobacterium oranimense,2,1,1,0.5,true
1241,Bifidobacterium longum,55,1,1,0.01818181818181818,false
1055,Bacillus cereus,196,2,2,0.01020408163265306,false
465,Yersinia pseudotuberculosis,40,2,2,0.05,false
332,Acinetobacter oleivorans,3,1,1,0.3333333333333333,false
949,Burkholderia thailandensis,22,1,1,0.045454545454545456,false
164,Candidatus Filomicrobium marinum,2,1,1,0.5,true
1225,Bifidobacterium bifidum,24,1,1,0.041666666666666664,false
563,Pasteurella multocida,36,1,1,0.027777777777777776,false
1231,Bifidobacterium dentium,6,1,1,0.16666666666666666,false
1238,Bifidobacterium scardovii,4,1,1,0.25,false
1151,Scardovia inopinata,2,1,1,0.5,true
1061,Bacillus pumilus,22,2,2,0.09090909090909091,false
97,Leptospira interrogans,262,4,4,0.015267175572519083,false
1275,Corynebacterium aurimucosum,6,1,1,0.16666666666666666,false
479,Aeromonas hydrophila,29,1,1,0.034482758620689655,false
1016,Enterococcus faecalis,433,2,2,0.004618937644341801,false
354,Moraxella catarrhalis,23,1,1,0.043478260869565216,false
27,Mycoplasma hominis,11,1,1,0.09090909090909091,false
362,Neisseria elongata,4,1,1,0.25,false
924,Staphylococcus epidermidis,306,1,1,0.0032679738562091504,false
857,Aggregatibacter actinomycetemcomitans,35,1,1,0.02857142857142857,false
1095,Stenotrophomonas maltophilia,100,1,1,0.01,false
587,Bartonella henselae,11,1,1,0.09090909090909091,false
643,Mycobacteroides immunogenum,13,1,1,0.07692307692307693,false
461,Yersinia enterocolitica,140,1,1,0.007142857142857143,false
1353,Cronobacter sakazakii,45,3,3,0.06666666666666667,false
410,Alkalihalobacillus wakoensis,2,1,1,0.5,true
409,Alkalihalobacillus hemicellulosilyticus,2,1,1,0.5,true
407,Alkalihalobacillus akibai,2,1,1,0.5,true
894,Paenibacillus pini,2,1,1,0.5,true
400,Mesobacillus boroniphilus,2,1,1,0.5,true
627,Bacteroides uniformis,9,1,1,0.1111111111111111,false
1193,Nereida ignava,2,1,1,0.5,true
1099,Phaeobacter italicus,3,1,1,0.3333333333333333,false
376,Lancefieldella rimae,2,1,1,0.5,true
329,Acinetobacter baumannii,1277,1,1,0.0007830853563038371,false
485,Aeromonas veronii,27,2,2,0.07407407407407407,false
1052,Bacillus velezensis,16,1,1,0.0625,false
621,Chlamydia pecorum,12,1,1,0.08333333333333333,false
1262,Corynebacterium pseudotuberculosis,35,1,1,0.02857142857142857,false
947,Burkholderia cepacia,65,1,1,0.015384615384615385,false
961,Burkholderia diffusa,11,1,1,0.09090909090909091,false
444,Serratia marcescens,282,1,1,0.0035460992907801418,false
98,Leptospira borgpetersenii,36,1,1,0.027777777777777776,false
625,Bacteroides fragilis,99,1,1,0.010101010101010102,false
935,Staphylococcus condimenti,2,1,1,0.5,true
738,Lactiplantibacillus plantarum,83,1,1,0.012048192771084338,false
554,Haemophilus influenzae,109,5,5,0.045871559633027525,false
